Region,mean,std,count,Event,Period
Coastal,6.830492091388401,12.77543777413518,569,Sandy,Before
Rural,11.694193548387096,8.845413415698763,31,Sandy,Before
Coastal,11.253305084745762,16.813135450975324,590,Sandy,After
Rural,39.4690625,23.157135367907248,32,Sandy,After
Coastal,19.502619874913133,20.57814811177293,1439,Ian,Before
Rural,17.575964912280703,16.78492636475285,57,Ian,Before
Coastal,23.346504922644165,24.413052344842573,1422,Ian,After
Rural,25.939787234042555,28.24402133652526,47,Ian,After
Coastal,12.239116022099449,14.903023073301055,362,Harvey,Before
Rural,11.52025641025641,12.650581947749838,39,Harvey,Before
Coastal,11.918973684210526,13.892257681246608,380,Harvey,After
Rural,4.878974358974359,9.103940672175051,39,Harvey,After
Coastal,17.809161676646706,16.428728564155268,668,Rita,Before
Rural,13.337054263565893,15.08538724867032,129,Rita,Before
Coastal,14.909002976190475,15.496796737990422,672,Rita,After
Rural,15.063129770992369,18.04136597608479,131,Rita,After
Coastal,10.744885496183205,16.833454870002235,262,Michael,Before
Rural,9.92095238095238,12.806599823825955,21,Michael,Before
Coastal,12.244701195219124,19.943475910942865,251,Michael,After
Rural,18.889583333333334,20.44607233020279,24,Michael,After
