ID,LAT,LON,NAME,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score
BF1FP000001,26.5481,-78.7028,FREEPORT LUCAYA 7.4 WNW,0.0,Coastal,0,0,0.0,False,0.0
US1FLAL0002,29.5272,-82.4271,ARCHER 5.5 E,11.171652499167186,Coastal,11,0,0.0,False,0.0
US1FLAL0004,29.8006,-82.2836,BROOKER 6.6 SSE,10.55495095548435,Coastal,11,0,0.0,False,0.0
US1FLAL0007,29.5908,-82.4314,GAINESVILLE 8.1 SW,4.617237791310587,Coastal,11,0,0.0,False,0.0
US1FLAL0010,29.6802,-82.3988,GAINESVILLE 3.8 W,0.0,Coastal,11,0,0.0,False,0.0
US1FLAL0017,29.7869,-82.6276,HIGH SPRINGS 3.2 SW,24.125331479110233,Coastal,2,0,0.0,False,0.0
US1FLAL0026,29.6555,-82.3171,GAINESVILLE 1.7 SE,0.0,Coastal,11,0,0.0,False,0.0
US1FLAL0031,29.738,-82.4162,GAINESVILLE 6.5 NW,2.276140808030407,Coastal,11,0,0.0,False,0.0
US1FLAL0048,29.6778,-82.4264,GAINESVILLE 5.4 W,0.0,Coastal,11,0,0.0,False,0.0
US1FLAL0050,29.6478,-82.3618,GAINESVILLE 2.4 SW,0.0,Coastal,11,0,0.0,False,0.0
US1FLAL0051,29.5348,-82.2681,MICANOPY 2.1 NNE,13.932523333701685,Coastal,11,0,0.0,False,0.0
US1FLAL0054,29.5198,-82.3127,MICANOPY 2.1 WNW,13.615996043374766,Coastal,11,0,0.0,False,0.0
US1FLAL0055,29.6572,-82.4636,GAINESVILLE 7.7 W,2.4829881814800006,Coastal,11,0,0.0,False,0.0
US1FLAL0058,29.6056,-82.3601,GAINESVILLE 5.0 SSW,1.5177466447783496,Coastal,11,0,0.0,False,0.0
US1FLAL0060,29.6467,-82.4563,GAINESVILLE 7.5 WSW,2.2502958301428175,Coastal,9,0,0.0,False,0.0
US1FLAL0061,29.6416,-82.4246,GAINESVILLE 5.8 WSW,0.673673752129982,Coastal,1,0,0.0,False,0.0
US1FLAL0062,29.7091,-82.0662,MELROSE 1.7 W,22.307043787619577,Coastal,11,3,27.27,True,27.27
US1FLAL0063,29.6843,-82.3846,GAINESVILLE 3.0 WNW,0.0,Coastal,9,0,0.0,False,0.0
US1FLAL0071,29.6164,-82.1658,HAWTHORNE 5.0 WNW,15.458512372006386,Coastal,11,0,0.0,False,0.0
US1FLAL0072,29.6808,-82.3295,GAINESVILLE 0.6 NE,0.0,Coastal,1,0,0.0,False,0.0
US1FLAL0075,29.6692,-82.3496,GAINESVILLE 0.9 WSW,0.0,Coastal,11,0,0.0,False,0.0
US1FLAL0078,29.6007,-82.3453,GAINESVILLE 5.1 S,3.1194574831178556,Coastal,1,0,0.0,False,0.0
US1FLAL0079,29.6181,-82.3421,GAINESVILLE 3.9 S,1.5540386635088748,Coastal,11,0,0.0,False,0.0
US1FLAL0080,29.7377,-82.4169,GAINESVILLE 6.5 NW,2.2617524122427577,Coastal,11,0,0.0,False,0.0
US1FLAL0081,29.6164,-82.4514,GAINESVILLE 8.0 WSW,4.926791017666814,Coastal,10,0,0.0,False,0.0
US1FLAL0085,29.6958,-82.3586,GAINESVILLE 2.0 NW,0.0,Coastal,1,0,0.0,False,0.0
US1FLAL0086,29.5845,-82.4327,GAINESVILLE 8.5 SW,5.2962909139545244,Coastal,11,0,0.0,False,0.0
US1FLAL0095,29.656,-82.3233,GAINESVILLE 0.5 N,0.0,Coastal,1,0,0.0,False,0.0
US1FLAL0096,29.6122,-82.4445,GAINESVILLE 7.8 WSW,4.843304975683211,Coastal,11,0,0.0,False,0.0
US1FLAL0097,29.6834,-82.3853,GAINESVILLE 3.0 WNW,0.0,Coastal,11,0,0.0,False,0.0
US1FLAL0098,29.8455,-82.612,HIGH SPRINGS 2.0 NW,26.827385043988958,Coastal,11,0,0.0,False,0.0
US1FLAL0102,29.687,-82.6006,NEWBERRY 3.0 NNE,17.395187337001126,Coastal,0,0,0.0,False,0.0
US1FLBK0003,30.3212,-82.2757,SANDERSON 4.9 NNW,42.18003455592597,Coastal,0,0,0.0,False,0.0
US1FLBK0005,30.237,-82.2189,GLEN ST. MARY 4.4 SW,45.28727196180258,Coastal,0,0,0.0,False,0.0
US1FLBK0006,30.2985,-82.1624,GLEN ST. MARY 1.7 N,37.93931442612606,Coastal,11,2,18.18,False,18.18
US1FLBK0007,30.2161,-82.1606,MACCLENNY 4.9 SSW,38.998512064847894,Coastal,11,2,18.18,False,18.18
