Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2017-10-07,US1ALCF0004,0,21.57,-21.57,-1.92,False
2017-10-07,US1ALCS0007,0,8.67,-8.67,-0.18,False
2017-10-07,US1ALDL0011,0,23.69,-23.69,-2.2,False
2017-10-07,US1ALEL0004,0,9.15,-9.15,-0.25,False
2017-10-07,US1ALEL0018,0,10.88,-10.88,-0.48,False
2017-10-07,US1ALEL0022,0,11.73,-11.73,-0.59,False
2017-10-07,US1ALEL0024,0,9.81,-9.81,-0.34,False
2017-10-07,US1ALHS0013,0,25.09,-25.09,-2.39,False
2017-10-07,US1ALLE0007,0,25.86,-25.86,-2.49,False
2017-10-07,US1ALMC0003,0,16.17,-16.17,-1.19,False
2017-10-07,US1ALMY0006,0,20.32,-20.32,-1.75,False
2017-10-07,US1ALMY0011,0,18.98,-18.98,-1.57,False
2017-10-07,US1ALRS0001,0,22.92,-22.92,-2.1,False
2017-10-07,US1ALRS0003,0,17.46,-17.46,-1.36,False
2017-10-07,US1ALTP0007,0,8.07,-8.07,-0.1,False
2017-10-07,US1FLBY0007,0,4.2,-4.2,0.42,False
2017-10-07,US1FLBY0010,0,7.19,-7.19,0.02,False
2017-10-07,US1FLBY0011,0,4.27,-4.27,0.41,False
2017-10-07,US1FLBY0013,5,5.85,-0.85,0.87,False
2017-10-07,US1FLBY0015,0,9.0,-9.0,-0.23,False
2017-10-07,US1FLBY0016,18,6.41,11.59,2.54,False
2017-10-07,US1FLDX0002,0,21.07,-21.07,-1.85,False
2017-10-07,US1FLFR0002,0,23.66,-23.66,-2.2,False
2017-10-07,US1FLFR0003,0,7.82,-7.82,-0.07,False
2017-10-07,US1FLFR0006,0,8.61,-8.61,-0.18,False
2017-10-07,US1FLGD0002,0,3.59,-3.59,0.5,False
2017-10-07,US1FLGD0004,0,4.57,-4.57,0.37,False
2017-10-07,US1FLGD0007,0,3.49,-3.49,0.51,False
2017-10-07,US1FLJF0003,0,7.94,-7.94,-0.09,False
2017-10-07,US1FLJF0005,0,5.34,-5.34,0.26,False
2017-10-07,US1FLJF0007,0,9.24,-9.24,-0.26,False
2017-10-07,US1FLJF0009,0,11.68,-11.68,-0.59,False
2017-10-07,US1FLJF0010,0,5.39,-5.39,0.26,False
2017-10-07,US1FLJK0002,0,15.87,-15.87,-1.15,False
2017-10-07,US1FLJK0003,0,11.58,-11.58,-0.57,False
2017-10-07,US1FLLB0003,0,6.24,-6.24,0.14,False
2017-10-07,US1FLLN0004,3,5.44,-2.44,0.65,False
2017-10-07,US1FLLN0010,3,6.58,-3.58,0.5,False
2017-10-07,US1FLLN0018,3,4.58,-1.58,0.77,False
2017-10-07,US1FLLN0025,0,6.86,-6.86,0.06,False
2017-10-07,US1FLLN0028,0,6.22,-6.22,0.15,False
2017-10-07,US1FLLN0031,0,7.93,-7.93,-0.08,False
2017-10-07,US1FLLN0041,0,7.99,-7.99,-0.09,False
2017-10-07,US1FLLN0045,0,7.31,-7.31,-0.0,False
2017-10-07,US1FLLN0047,3,5.63,-2.63,0.63,False
2017-10-07,US1FLLN0051,23,5.28,17.72,3.36,False
2017-10-07,US1FLLN0055,0,6.8,-6.8,0.07,False
2017-10-07,US1FLLN0060,0,6.03,-6.03,0.17,False
2017-10-07,US1FLLN0063,5,5.28,-0.28,0.94,False
2017-10-07,US1FLLN0065,0,6.89,-6.89,0.06,False
2017-10-07,US1FLLN0066,18,4.53,13.47,2.79,False
2017-10-07,US1FLOK0001,0,5.8,-5.8,0.2,False
2017-10-07,US1FLOK0002,0,4.97,-4.97,0.31,False
2017-10-07,US1FLOK0015,0,7.3,-7.3,0.0,False
2017-10-07,US1FLOK0020,0,6.57,-6.57,0.1,False
