Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2011-10-25,US1CTFR0005,0,0.25,-0.25,0.33,False
2011-10-25,US1CTFR0009,0,1.3,-1.3,-0.28,False
2011-10-25,US1CTFR0020,0,0.24,-0.24,0.33,False
2011-10-25,US1CTHR0005,8,8.62,-0.62,0.11,False
2011-10-25,US1CTHR0006,0,5.26,-5.26,-2.57,False
2011-10-25,US1CTHR0007,5,6.08,-1.08,-0.15,False
2011-10-25,US1CTHR0008,10,8.79,1.21,1.17,False
2011-10-25,US1CTMD0002,0,4.72,-4.72,-2.25,False
2011-10-25,US1CTNH0009,0,0.48,-0.48,0.2,False
2011-10-25,US1CTNH0013,0,1.0,-1.0,-0.11,False
2011-10-25,US1CTNH0014,0,2.88,-2.88,-1.2,False
2011-10-25,US1CTNL0005,0,2.84,-2.84,-1.17,False
2011-10-25,US1CTTL0005,10,9.41,0.59,0.81,False
2011-10-25,US1CTWN0001,13,8.4,4.6,3.13,False
2011-10-25,US1MABE0003,46,14.75,31.25,18.52,True
2011-10-25,US1MABE0004,41,15.56,25.44,15.17,True
2011-10-25,US1MABE0005,51,15.51,35.49,20.98,True
2011-10-25,US1MAHD0009,13,11.64,1.36,1.25,False
2011-10-25,US1MAHS0002,13,14.63,-1.63,-0.47,False
2011-10-25,US1MAWR0006,8,10.51,-2.51,-0.98,False
2011-10-25,US1NJAT0001,10,6.97,3.03,2.22,False
2011-10-25,US1NJAT0002,10,6.97,3.03,2.22,False
2011-10-25,US1NJAT0005,28,8.99,19.01,11.45,True
2011-10-25,US1NJBG0002,0,0.41,-0.41,0.23,False
2011-10-25,US1NJBG0003,0,0.51,-0.51,0.17,False
2011-10-25,US1NJBG0008,0,0.41,-0.41,0.24,False
2011-10-25,US1NJBG0015,0,0.58,-0.58,0.14,False
2011-10-25,US1NJBG0017,0,0.43,-0.43,0.22,False
2011-10-25,US1NJBG0023,0,0.38,-0.38,0.25,False
2011-10-25,US1NJBG0029,0,0.4,-0.4,0.24,False
2011-10-25,US1NJBG0030,0,0.38,-0.38,0.25,False
2011-10-25,US1NJBG0033,0,0.51,-0.51,0.18,False
2011-10-25,US1NJBT0003,0,2.21,-2.21,-0.8,False
2011-10-25,US1NJBT0004,3,1.67,1.33,1.24,False
2011-10-25,US1NJBT0005,5,3.52,1.48,1.33,False
2011-10-25,US1NJBT0006,0,2.52,-2.52,-0.99,False
2011-10-25,US1NJBT0007,0,2.15,-2.15,-0.77,False
2011-10-25,US1NJBT0010,0,2.88,-2.88,-1.19,False
2011-10-25,US1NJBT0018,0,3.54,-3.54,-1.58,False
2011-10-25,US1NJBT0022,0,2.58,-2.58,-1.02,False
2011-10-25,US1NJBT0023,0,2.36,-2.36,-0.9,False
2011-10-25,US1NJBT0025,3,3.22,-0.22,0.34,False
2011-10-25,US1NJBT0027,0,2.61,-2.61,-1.04,False
2011-10-25,US1NJBT0028,5,3.24,1.76,1.49,False
2011-10-25,US1NJBT0029,5,3.26,1.74,1.47,False
2011-10-25,US1NJBT0032,5,3.46,1.54,1.36,False
2011-10-25,US1NJBT0035,0,2.59,-2.59,-1.02,False
2011-10-25,US1NJBT0037,0,2.32,-2.32,-0.87,False
2011-10-25,US1NJCN0001,0,3.14,-3.14,-1.35,False
2011-10-25,US1NJCN0005,20,5.23,14.77,9.0,True
2011-10-25,US1NJCN0011,3,4.25,-1.25,-0.25,False
2011-10-25,US1NJCN0015,5,4.52,0.48,0.75,False
2011-10-25,US1NJGL0001,10,5.96,4.04,2.8,False
2011-10-25,US1NJGL0006,23,6.33,16.67,10.1,True
2011-10-25,US1NJGL0011,58,6.44,51.56,30.26,True
2011-10-25,US1NJGL0012,5,5.34,-0.34,0.27,False
2011-10-25,US1NJHD0002,0,0.59,-0.59,0.13,False
2011-10-25,US1NJHN0001,0,1.1,-1.1,-0.17,False
2011-10-25,US1NJHN0004,0,1.33,-1.33,-0.3,False
2011-10-25,US1NJHN0005,5,1.48,3.52,2.5,False
2011-10-25,US1NJHN0007,0,1.25,-1.25,-0.25,False
2011-10-25,US1NJHN0008,0,1.16,-1.16,-0.2,False
2011-10-25,US1NJHN0009,0,1.42,-1.42,-0.35,False
2011-10-25,US1NJHN0010,5,1.89,3.11,2.27,False
2011-10-25,US1NJHN0011,3,1.53,1.47,1.32,False
2011-10-25,US1NJHN0012,5,1.16,3.84,2.69,False
2011-10-25,US1NJHN0015,5,1.84,3.16,2.3,False
2011-10-25,US1NJHN0018,0,1.08,-1.08,-0.15,False
2011-10-25,US1NJHN0019,0,1.39,-1.39,-0.33,False
2011-10-25,US1NJHN0021,0,1.11,-1.11,-0.17,False
2011-10-25,US1NJHN0022,0,1.93,-1.93,-0.65,False
2011-10-25,US1NJMC0001,3,1.94,1.06,1.08,False
2011-10-25,US1NJMC0003,0,2.07,-2.07,-0.73,False
2011-10-25,US1NJMC0005,5,1.88,3.12,2.27,False
2011-10-25,US1NJMC0008,0,1.98,-1.98,-0.67,False
2011-10-25,US1NJMC0009,3,1.7,1.3,1.22,False
2011-10-25,US1NJMC0011,0,1.95,-1.95,-0.66,False
2011-10-25,US1NJMC0016,0,1.96,-1.96,-0.66,False
2011-10-25,US1NJMC0022,0,2.14,-2.14,-0.77,False
2011-10-25,US1NJMD0002,3,1.75,1.25,1.2,False
2011-10-25,US1NJMD0009,10,1.78,8.22,5.22,True
2011-10-25,US1NJMD0023,0,1.24,-1.24,-0.24,False
2011-10-25,US1NJMD0024,3,1.39,1.61,1.4,False
2011-10-25,US1NJMD0031,0,1.33,-1.33,-0.3,False
2011-10-25,US1NJMD0033,0,1.26,-1.26,-0.26,False
2011-10-25,US1NJMN0008,0,0.87,-0.87,-0.03,False
2011-10-25,US1NJMN0015,0,1.12,-1.12,-0.18,False
2011-10-25,US1NJMN0017,3,1.42,1.58,1.38,False
2011-10-25,US1NJMN0019,0,1.07,-1.07,-0.15,False
2011-10-25,US1NJMN0020,0,0.9,-0.9,-0.05,False
2011-10-25,US1NJMN0024,0,0.84,-0.84,-0.01,False
2011-10-25,US1NJMN0029,0,0.89,-0.89,-0.04,False
2011-10-25,US1NJMN0032,0,0.8,-0.8,0.01,False
2011-10-25,US1NJMN0044,0,0.56,-0.56,0.14,False
2011-10-25,US1NJMN0048,0,1.62,-1.62,-0.46,False
2011-10-25,US1NJMN0049,0,0.81,-0.81,0.0,False
2011-10-25,US1NJMN0051,0,0.57,-0.57,0.14,False
2011-10-25,US1NJMS0002,0,1.18,-1.18,-0.21,False
2011-10-25,US1NJMS0006,0,0.64,-0.64,0.1,False
2011-10-25,US1NJMS0011,0,0.6,-0.6,0.12,False
2011-10-25,US1NJMS0014,0,0.91,-0.91,-0.05,False
