ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score,Event,Period
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1CTFR0003,41.1486,-73.4591,NEW CANAAN 1.9 ENE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1CTFR0005,41.1028,-73.4893,DARIEN 3.6 N,12,3,25.0,0.0,Coastal,9,0,0.0,False,12.5,Sandy,Before
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE,12,0,0.0,1.2591867138231896,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1CTFR0012,41.1306,-73.5961,STAMFORD 3.3 NW,12,12,100.0,1.1677609030426466,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1CTFR0016,41.4017,-73.481,DANBURY 0.5 W,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,12,1,8.33,0.5561186362934997,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1CTFR0063,41.2113,-73.4693,WILTON 1.9 NW,12,12,100.0,3.663010232182178,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE,12,1,8.33,1.7998164119780848,Coastal,11,1,9.09,False,8.71,Sandy,Before
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW,12,4,33.33,0.0,Coastal,8,1,12.5,True,22.92,Sandy,Before
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,12,11,91.67,1.3009013619350571,Coastal,1,0,0.0,True,45.84,Sandy,Before
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE,12,0,0.0,12.531369269065069,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW,12,10,83.33,0.6846830823625238,Coastal,2,0,0.0,True,41.66,Sandy,Before
US1CTLT0003,41.921,-73.055,WINSTED 0.7 SE,12,12,100.0,28.758162264380246,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1CTLT0005,41.961,-73.09,WINSTED 2.6 NNW,12,12,100.0,35.88416168577681,Coastal,0,0,0.0,True,50.0,Sandy,Before
