Region,mean,std,count,Event,Period
Coastal,37.19207386363637,42.90324912108088,352,Sandy,Before
Inland,37.03666666666667,42.82574180955259,27,Sandy,Before
Rural,29.56235294117647,39.54764957827172,221,Sandy,Before
Coastal,36.11106557377049,39.78497065594392,366,Sandy,After
Inland,30.059642857142855,40.27573706543459,28,Sandy,After
Rural,28.94719298245614,39.35536705857303,228,Sandy,After
Coastal,31.293069306930693,41.94115286797645,909,Ian,Before
Inland,31.295309734513275,41.53475104980503,113,Ian,Before
Rural,33.69772151898734,43.339916812341926,474,Ian,Before
Coastal,29.31756124721603,37.72277073384848,898,Ian,After
Inland,26.88728813559322,37.89334065620513,118,Ian,After
Rural,31.426732891832227,41.24188494498845,453,Ian,After
Coastal,26.843548387096774,37.48091200254276,124,Harvey,Before
Inland,28.07541666666667,37.40147552777737,72,Harvey,Before
Rural,29.965073170731703,38.69946869245043,205,Harvey,Before
Coastal,31.52511278195489,39.09471689132614,133,Harvey,After
Inland,29.777272727272727,38.05160666904479,77,Harvey,After
Rural,28.298181818181817,36.20461811205664,209,Harvey,After
Coastal,10.173116883116885,29.2996700670594,154,Rita,Before
Inland,15.053655913978496,34.81583634500336,93,Rita,Before
Rural,15.878781818181816,36.33437528670444,550,Rita,Before
Coastal,29.41962264150943,41.89489177475848,159,Rita,After
Inland,19.385212765957448,37.61568252018858,94,Rita,After
Rural,16.383709090909093,35.5282799652934,550,Rita,After
Coastal,26.368059701492538,41.25010832818855,67,Michael,Before
Inland,39.04685714285714,39.594143192220365,35,Michael,Before
Rural,34.06972375690608,41.60441753295675,181,Michael,Before
Coastal,39.81472222222222,41.91756490791273,72,Michael,After
Inland,37.142857142857146,45.38969146840105,35,Michael,After
Rural,37.00363095238095,41.847589038009424,168,Michael,After
