Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2016-08-23,US1LAAC0002,36,72.01,-36.01,-0.15,False
2016-08-23,US1LABG0002,0,90.3,-90.3,-0.95,False
2016-08-23,US1LACC0003,249,88.4,160.6,2.72,False
2016-08-23,US1LACC0006,5,93.6,-88.6,-0.92,False
2016-08-23,US1LACC0009,51,104.87,-53.87,-0.42,False
2016-08-23,US1LACC0014,51,113.61,-62.61,-0.54,False
2016-08-23,US1LACC0016,5,105.02,-100.02,-1.09,False
2016-08-23,US1LACC0017,203,129.65,73.35,1.45,False
2016-08-23,US1LACM0003,0,98.98,-98.98,-1.08,False
2016-08-23,US1LAEB0002,0,15.97,-15.97,0.14,False
2016-08-23,US1LAEB0009,0,45.24,-45.24,-0.29,False
2016-08-23,US1LAEB0023,183,21.45,161.55,2.74,False
2016-08-23,US1LAEB0027,127,21.05,105.95,1.92,False
2016-08-23,US1LAEB0033,0,15.15,-15.15,0.15,False
2016-08-23,US1LAEB0041,0,10.22,-10.22,0.22,False
2016-08-23,US1LAEB0042,0,20.44,-20.44,0.07,False
2016-08-23,US1LAEB0047,0,10.09,-10.09,0.23,False
2016-08-23,US1LAEB0053,0,21.25,-21.25,0.06,False
2016-08-23,US1LAJD0002,0,87.4,-87.4,-0.91,False
2016-08-23,US1LARP0007,46,18.43,27.57,0.78,False
2016-08-23,US1LASL0001,81,48.57,32.43,0.85,False
2016-08-23,US1LASM0002,147,36.18,110.82,1.99,False
2016-08-23,US1LAVM0002,23,86.15,-63.15,-0.55,False
2016-08-23,US1LAVM0004,58,79.56,-21.56,0.06,False
2016-08-23,US1LAWB0002,0,19.48,-19.48,0.09,False
2016-08-23,US1LAWF0004,0,31.44,-31.44,-0.09,False
2016-08-23,US1MSAD0004,13,34.98,-21.98,0.05,False
2016-08-23,US1TXAG0001,272,152.27,119.73,2.12,False
2016-08-23,US1TXAG0002,86,121.55,-35.55,-0.15,False
2016-08-23,US1TXAG0003,368,167.59,200.41,3.3,False
2016-08-23,US1TXAG0005,302,194.94,107.06,1.94,False
2016-08-23,US1TXAS0003,8,87.19,-79.19,-0.79,False
2016-08-23,US1TXAS0004,10,84.63,-74.63,-0.72,False
2016-08-23,US1TXAS0005,89,88.62,0.38,0.38,False
2016-08-23,US1TXAS0006,58,91.21,-33.21,-0.11,False
2016-08-23,US1TXAS0007,56,90.82,-34.82,-0.14,False
2016-08-23,US1TXAS0008,8,89.0,-81.0,-0.81,False
2016-08-23,US1TXAS0012,86,69.48,16.52,0.61,False
2016-08-23,US1TXAS0014,130,89.87,40.13,0.96,False
2016-08-23,US1TXAS0015,13,47.67,-34.67,-0.13,False
2016-08-23,US1TXAS0017,160,99.39,60.61,1.26,False
2016-08-23,US1TXBRZ018,25,124.23,-99.23,-1.08,False
2016-08-23,US1TXBRZ020,170,77.66,92.34,1.72,False
2016-08-23,US1TXBRZ021,0,103.86,-103.86,-1.15,False
2016-08-23,US1TXBRZ025,86,118.89,-32.89,-0.11,False
2016-08-23,US1TXBRZ027,53,101.46,-48.46,-0.34,False
2016-08-23,US1TXBRZ032,23,97.96,-74.96,-0.72,False
2016-08-23,US1TXBZS040,76,76.35,-0.35,0.37,False
2016-08-23,US1TXBZS075,64,60.33,3.67,0.43,False
2016-08-23,US1TXBZS077,102,69.11,32.89,0.85,False
2016-08-23,US1TXBZS088,122,80.82,41.18,0.98,False
2016-08-23,US1TXBZS096,0,75.71,-75.71,-0.73,False
2016-08-23,US1TXBZS097,0,78.11,-78.11,-0.77,False
2016-08-23,US1TXBZS098,94,81.41,12.59,0.56,False
2016-08-23,US1TXBZS099,234,73.65,160.35,2.72,False
2016-08-23,US1TXBZS100,264,69.48,194.52,3.22,False
2016-08-23,US1TXCHM008,71,128.8,-57.8,-0.47,False
2016-08-23,US1TXCLR006,81,85.72,-4.72,0.3,False
