Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2017-08-23,US1LAAC0002,0,53.37,-53.37,-4.05,True
2017-08-23,US1LAAC0003,0,45.73,-45.73,-3.37,False
2017-08-23,US1LAAV0001,117,134.7,-17.7,-0.86,False
2017-08-23,US1LABG0002,0,68.36,-68.36,-5.39,True
2017-08-23,US1LACC0003,191,58.05,132.95,12.62,True
2017-08-23,US1LACC0006,5,44.73,-39.73,-2.83,False
2017-08-23,US1LACC0009,147,58.4,88.6,8.65,True
2017-08-23,US1LACC0018,254,45.76,208.24,19.35,True
2017-08-23,US1LACM0003,0,59.19,-59.19,-4.57,True
2017-08-23,US1LAEB0002,485,290.92,194.08,18.09,True
2017-08-23,US1LAEB0009,0,134.4,-134.4,-11.3,True
2017-08-23,US1LAEB0014,56,196.22,-140.22,-11.82,True
2017-08-23,US1LAEB0023,18,136.15,-118.15,-9.84,True
2017-08-23,US1LAEB0027,249,179.67,69.33,6.93,True
2017-08-23,US1LAEB0031,0,144.22,-144.22,-12.18,True
2017-08-23,US1LAEB0033,579,259.06,319.94,29.35,True
2017-08-23,US1LAEB0041,533,243.24,289.76,26.65,True
2017-08-23,US1LAEB0042,8,122.58,-114.58,-9.52,True
2017-08-23,US1LAEB0046,478,258.0,220.0,20.41,True
2017-08-23,US1LAEB0053,351,230.43,120.57,11.51,True
2017-08-23,US1LAEB0056,23,120.88,-97.88,-8.03,True
2017-08-23,US1LAEB0059,10,120.19,-110.19,-9.13,True
2017-08-23,US1LAEB0060,122,235.37,-113.37,-9.42,True
2017-08-23,US1LAJD0002,38,63.75,-25.75,-1.58,False
2017-08-23,US1LALY0006,28,64.64,-36.64,-2.55,False
2017-08-23,US1LALY0007,10,61.33,-51.33,-3.87,True
2017-08-23,US1LARP0007,0,181.77,-181.77,-15.54,True
2017-08-23,US1LASL0001,0,62.24,-62.24,-4.84,True
2017-08-23,US1LASM0002,0,64.6,-64.6,-5.05,True
2017-08-23,US1LAVM0002,0,36.11,-36.11,-2.51,False
2017-08-23,US1LAVM0004,25,29.68,-4.68,0.31,False
2017-08-23,US1LAWB0002,401,194.19,206.81,19.23,True
2017-08-23,US1LAWF0004,0,109.47,-109.47,-9.07,True
2017-08-23,US1MSAD0004,8,32.11,-24.11,-1.43,False
2017-08-23,US1TXAG0002,0,19.03,-19.03,-0.98,False
2017-08-23,US1TXAG0003,0,3.83,-3.83,0.38,False
2017-08-23,US1TXAG0005,0,3.65,-3.65,0.4,False
2017-08-23,US1TXAG0006,0,4.67,-4.67,0.31,False
2017-08-23,US1TXAG0009,0,4.7,-4.7,0.3,False
2017-08-23,US1TXAS0003,0,13.28,-13.28,-0.46,False
2017-08-23,US1TXAS0005,0,9.65,-9.65,-0.14,False
2017-08-23,US1TXAS0006,0,8.71,-8.71,-0.05,False
