ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1LAAC0002,30.401,-92.2249,CHURCH POINT 0.7 WSW,14,0,0.0
US1LAAC0003,30.2353,-92.2843,RAYNE 1.0 W,14,1,7.14
US1LAAV0001,30.9517,-92.1921,BUNKIE 0.3 WSW,14,6,42.86
US1LABG0002,30.4713,-93.1591,RAGLEY 5.0 SE,14,0,0.0
US1LACC0003,30.2322,-92.9986,IOWA 0.9 ESE,14,0,0.0
US1LACC0005,30.2545,-93.2694,WESTLAKE 0.7 WNW,14,10,71.43
US1LACC0006,30.2339,-93.3205,SULPHUR 2.2 E,14,0,0.0
US1LACC0009,30.3698,-93.0669,IOWA 9.7 NNW,14,0,0.0
US1LACC0014,30.145,-93.1764,LAKE CHARLES 4.8 SSE,14,5,35.71
US1LACC0016,30.3912,-93.4114,DE QUINCY 4.4 SSE,14,14,100.0
US1LACC0017,30.2308,-93.2109,LAKE CHARLES 1.5 NNW,14,14,100.0
US1LACC0018,30.1842,-93.2011,LAKE CHARLES 1.8 S,14,8,57.14
US1LACM0003,30.0483,-93.2414,LAKE CHARLES 11.5 SSW,14,0,0.0
US1LAEB0002,30.4218,-91.1576,BATON ROUGE 2.7 SW,14,0,0.0
US1LAEB0005,30.3657,-91.1168,GARDERE 1.2 ENE,14,13,92.86
US1LAEB0009,30.6069,-91.0533,BROWNFIELDS 5.8 NE,14,0,0.0
US1LAEB0014,30.4393,-91.0685,BATON ROUGE 3.5 E,14,5,35.71
US1LAEB0019,30.5096,-91.0016,MONTICELLO 3.0 ENE,14,5,35.71
US1LAEB0023,30.5541,-91.054,BROWNFIELDS 4.0 E,14,0,0.0
US1LAEB0027,30.4507,-91.0843,BATON ROUGE 2.5 E,14,1,7.14
US1LAEB0031,30.5441,-91.005,CENTRAL 2.2 SE,14,0,0.0
US1LAEB0033,30.4118,-91.1786,LSU,14,0,0.0
US1LAEB0041,30.3876,-91.1372,BATON ROUGE 4.3 S,14,0,0.0
US1LAEB0042,30.3586,-91.078,INNISWOLD 2.8 S,14,0,0.0
US1LAEB0046,30.4421,-91.149,BATON ROUGE 1.4 WSW,14,0,0.0
US1LAEB0047,30.3818,-91.1373,BATON ROUGE 5.3 S,14,14,100.0
US1LAEB0053,30.4089,-91.1058,BATON ROUGE 3.0 SSE,14,9,64.29
US1LAEB0054,30.4281,-91.0243,BATON ROUGE 6.2 ESE,14,9,64.29
US1LAEB0056,30.6943,-91.2565,JACKSON 10.1 SSW,14,0,0.0
US1LAEB0059,30.357,-91.077,BATON ROUGE 7.0 SSE,14,9,64.29
US1LAEB0060,30.4005,-91.0896,BATON ROUGE 4.0 SSE,14,0,0.0
US1LAEB0063,30.3791,-91.0051,SHENANDOAH 1.5 S,14,14,100.0
US1LAEF0001,30.8404,-91.0159,CLINTON 1.4 S,14,14,100.0
US1LAJD0002,30.236,-92.823,WELSH 0.7 W,14,3,21.43
US1LALY0002,30.17,-92.0016,LAFAYETTE 3.5 SSE,14,14,100.0
US1LALY0006,30.2521,-92.0889,SCOTT 1.0 N,14,6,42.86
US1LALY0007,30.3357,-91.9781,CARENCRO 3.9 ENE,14,0,0.0
US1LAPC0002,30.6807,-91.4115,NEW ROADS 2.7 ESE,14,7,50.0
US1LARP0007,31.2624,-92.4946,ALEXANDRIA 2.8 SW,14,0,0.0
US1LARP0009,31.3195,-92.4223,PINEVILLE 1.0 SSW,14,1,7.14
US1LASL0001,30.4197,-91.9986,GRAND COTEAU 2.7 E,14,0,0.0
US1LASM0002,30.1221,-91.831,ST. MARTINVILLE 0.2 S,14,0,0.0
US1LAVM0002,29.9814,-92.2741,KAPLAN 1.6 SSE,14,0,0.0
US1LAVM0004,29.9762,-92.1072,ABBEVILLE 1.0 E,14,0,0.0
US1LAWB0002,30.3797,-91.2674,ADDIS 1.7 N,14,0,0.0
US1LAWF0004,30.8928,-91.3641,WAKEFIELD 0.9 WNW,14,0,0.0
US1LAWF0005,30.9799,-91.3573,ASHWOOD 5.7 SW,14,14,100.0
US1MSAD0001,31.4213,-91.3985,NATCHEZ 8.8 S,14,10,71.43
US1MSAD0004,31.4845,-91.2526,NATCHEZ 9.1 ESE,14,6,42.86
US1TXAG0001,31.3213,-94.8445,LUFKIN 7.0 W,14,1,7.14
US1TXAG0002,31.1464,-94.3856,ZAVALLA 2.0 ESE,14,0,0.0
US1TXAG0003,31.3034,-94.7627,LUFKIN 3.0 SW,14,0,0.0
US1TXAG0005,31.3212,-94.7211,LUFKIN 0.9 SSE,14,5,35.71
US1TXAG0006,31.3627,-94.8074,LUFKIN 5.2 WNW,14,0,0.0
US1TXAG0009,31.298,-94.8473,LUFKIN 7.6 WSW,14,1,7.14
US1TXAG0010,31.3283,-94.7815,HUDSON 0.9 E,14,13,92.86
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE,14,10,71.43
US1TXAS0003,29.881,-96.331,CAT SPRING 3.8 N,14,0,0.0
US1TXAS0004,29.9515,-96.2544,BELLVILLE 0.4 NE,14,2,14.29
US1TXAS0005,29.7757,-96.1581,SEALY 0.3 WNW,14,0,0.0
