ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region
US1LAAC0002,30.401,-92.2249,CHURCH POINT 0.7 WSW,14,0,0.0,291.2545908514847,Rural
US1LAAC0003,30.2353,-92.2843,RAYNE 1.0 W,14,1,7.14,296.3741615769725,Rural
US1LAAV0001,30.9517,-92.1921,BUNKIE 0.3 WSW,14,6,42.86,298.37960316503006,Rural
US1LABG0002,30.4713,-93.1591,RAGLEY 5.0 SE,14,0,0.0,226.8824401913998,Rural
US1LACC0003,30.2322,-92.9986,IOWA 0.9 ESE,14,0,0.0,234.32228913892698,Rural
US1LACC0005,30.2545,-93.2694,WESTLAKE 0.7 WNW,14,10,71.43,209.60474156960098,Rural
US1LACC0006,30.2339,-93.3205,SULPHUR 2.2 E,14,0,0.0,204.27790151698355,Rural
US1LACC0009,30.3698,-93.0669,IOWA 9.7 NNW,14,0,0.0,231.77253690121924,Rural
US1LACC0014,30.145,-93.1764,LAKE CHARLES 4.8 SSE,14,5,35.71,215.62791259559452,Rural
US1LACC0016,30.3912,-93.4114,DE QUINCY 4.4 SSE,14,14,100.0,201.1055939705717,Rural
US1LACC0017,30.2308,-93.2109,LAKE CHARLES 1.5 NNW,14,14,100.0,214.41076750360958,Rural
US1LACC0018,30.1842,-93.2011,LAKE CHARLES 1.8 S,14,8,57.14,214.1732876724448,Rural
US1LACM0003,30.0483,-93.2414,LAKE CHARLES 11.5 SSW,14,0,0.0,207.66278921345742,Rural
US1LAEB0002,30.4218,-91.1576,BATON ROUGE 2.7 SW,14,0,0.0,189.52786388229836,Rural
US1LAEB0005,30.3657,-91.1168,GARDERE 1.2 ENE,14,13,92.86,184.97258233525667,Rural
US1LAEB0009,30.6069,-91.0533,BROWNFIELDS 5.8 NE,14,0,0.0,183.404208965703,Rural
US1LAEB0014,30.4393,-91.0685,BATON ROUGE 3.5 E,14,5,35.71,181.31065256988882,Rural
US1LAEB0019,30.5096,-91.0016,MONTICELLO 3.0 ENE,14,5,35.71,176.25862494804758,Rural
US1LAEB0023,30.5541,-91.054,BROWNFIELDS 4.0 E,14,0,0.0,182.15740583422055,Rural
US1LAEB0027,30.4507,-91.0843,BATON ROUGE 2.5 E,14,1,7.14,182.98927008550464,Rural
US1LAEB0031,30.5441,-91.005,CENTRAL 2.2 SE,14,0,0.0,177.33648082959755,Rural
US1LAEB0033,30.4118,-91.1786,LSU,14,0,0.0,191.39633740289028,Rural
