ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
US1LAAC0002,30.401,-92.2249,CHURCH POINT 0.7 WSW,14.0,0.0,0.0,77.96800527093343,Rural,Low,14.0,0.0,0.0,77.96800527093343,Rural,Low
US1LAAC0003,30.2353,-92.2843,RAYNE 1.0 W,,,,,,,14.0,1.0,7.14,61.214275821490716,Rural,Low
US1LAAV0001,30.9517,-92.1921,BUNKIE 0.3 WSW,14.0,5.0,35.71,146.34499391641685,Rural,High,14.0,6.0,42.86,146.34499391641685,Rural,High
US1LABG0002,30.4713,-93.1591,RAGLEY 5.0 SE,14.0,0.0,0.0,89.97970998193524,Rural,Low,14.0,0.0,0.0,89.97970998193524,Rural,Low
US1LACC0003,30.2322,-92.9986,IOWA 0.9 ESE,14.0,0.0,0.0,62.590256249964625,Rural,Low,14.0,0.0,0.0,62.590256249964625,Rural,Low
US1LACC0005,30.2545,-93.2694,WESTLAKE 0.7 WNW,14.0,13.0,92.86,61.49628068042411,Inland,High,14.0,10.0,71.43,61.49628068042411,Inland,High
US1LACC0006,30.2339,-93.3205,SULPHUR 2.2 E,14.0,0.0,0.0,59.28697390051594,Inland,Low,14.0,0.0,0.0,59.28697390051594,Inland,Low
US1LACC0009,30.3698,-93.0669,IOWA 9.7 NNW,14.0,1.0,7.14,78.20090430839623,Rural,High,14.0,0.0,0.0,78.20090430839623,Rural,Low
US1LACC0014,30.145,-93.1764,LAKE CHARLES 4.8 SSE,14.0,0.0,0.0,47.880204540024764,Coastal,Low,14.0,5.0,35.71,47.880204540024764,Coastal,High
US1LACC0016,30.3912,-93.4114,DE QUINCY 4.4 SSE,14.0,0.0,0.0,66.44665032344778,Rural,Low,14.0,14.0,100.0,66.44665032344778,Rural,High
US1LACC0017,30.2308,-93.2109,LAKE CHARLES 1.5 NNW,14.0,0.0,0.0,58.6085619193988,Inland,Low,14.0,14.0,100.0,58.6085619193988,Inland,High
US1LACC0018,30.1842,-93.2011,LAKE CHARLES 1.8 S,,,,,,,14.0,8.0,57.14,52.705446634509855,Inland,High
US1LACM0003,30.0483,-93.2414,LAKE CHARLES 11.5 SSW,14.0,3.0,21.43,34.95130463718475,Coastal,High,14.0,0.0,0.0,34.95130463718475,Coastal,Low
US1LAEB0002,30.4218,-91.1576,BATON ROUGE 2.7 SW,14.0,0.0,0.0,86.54268952286439,Inland,Low,14.0,0.0,0.0,86.54268952286439,Inland,Low
US1LAEB0005,30.3657,-91.1168,GARDERE 1.2 ENE,14.0,14.0,100.0,79.94147736292864,Rural,High,14.0,13.0,92.86,79.94147736292864,Rural,High
US1LAEB0009,30.6069,-91.0533,BROWNFIELDS 5.8 NE,14.0,1.0,7.14,87.75029870651258,Rural,High,14.0,0.0,0.0,87.75029870651258,Rural,Low
US1LAEB0014,30.4393,-91.0685,BATON ROUGE 3.5 E,14.0,1.0,7.14,78.2217766305705,Inland,High,14.0,5.0,35.71,78.2217766305705,Inland,High
US1LAEB0019,30.5096,-91.0016,MONTICELLO 3.0 ENE,14.0,14.0,100.0,76.03679048634777,Rural,High,14.0,5.0,35.71,76.03679048634777,Rural,High
US1LAEB0023,30.5541,-91.054,BROWNFIELDS 4.0 E,14.0,0.0,0.0,84.06070644041162,Rural,Low,14.0,0.0,0.0,84.06070644041162,Rural,Low
US1LAEB0027,30.4507,-91.0843,BATON ROUGE 2.5 E,14.0,0.0,0.0,80.43370710118862,Inland,Low,14.0,1.0,7.14,80.43370710118862,Inland,Low
US1LAEB0031,30.5441,-91.005,CENTRAL 2.2 SE,14.0,14.0,100.0,78.78152478466954,Rural,High,14.0,0.0,0.0,78.78152478466954,Rural,Low
