Date,Stations Reporting,Stations Missing,Total Stations,% Missing,Missing Station IDs
2017-08-23,275,93,368,25.3,"US1LACC0005,US1LACC0014,US1LAEB0005,US1LAEB0019,US1LAEB0054,US1LAPC0002,US1LARP0009,US1MSAD0001,US1TXAG0001,US1TXAG0010,US1TXAS0002,US1TXAS0004,US1TXAS0012,US1TXAS0015,US1TXAS0017,US1TXAS0018,US1TXBRZ018,US1TXBRZ027,US1TXBZS040,US1TXBZS075,US1TXBZS092,US1TXBZS097,US1TXBZS098,US1TXBZS104,US1TXCHM008,US1TXCLR010,US1TXFB0017,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0042,US1TXFB0051,US1TXGV0005,US1TXGV0009,US1TXGV0015,US1TXGV0017,US1TXGV0018,US1TXGV0052,US1TXGV0061,US1TXGV0062,US1TXGV0065,US1TXGV0066,US1TXGV0073,US1TXHRN001,US1TXHRN006,US1TXHRR004,US1TXHRR043,US1TXHRR089,US1TXHRR095,US1TXHRR114,US1TXHRR116,US1TXHRR147,US1TXHRR150,US1TXHRR164,US1TXHRR165,US1TXHRR223,US1TXHRR225,US1TXHRR236,US1TXHRR237,US1TXHRR238,US1TXHRR243,US1TXJJ0003,US1TXLR0001,US1TXLR0010,US1TXMDS002,US1TXMNG004,US1TXMNG008,US1TXMNG018,US1TXMNG036,US1TXMNG054,US1TXMNG058,US1TXMTG004,US1TXNW0002,US1TXPL0003,US1TXPL0028,US1TXPL0032,US1TXSA0002,US1TXSJ0012,US1TXTR0009,US1TXWA0003,US1TXWA0018,US1TXWH0005,US1TXWK0011,US1TXWK0014,US1TXWK0015,US1TXWK0020,US1TXWK0025,USC00160617,USC00165072,USC00165287,USC00167729,USC00167732,USC00419898"
2017-08-24,292,76,368,20.7,"US1LACC0005,US1LACC0014,US1LAEB0005,US1LAEB0014,US1LAEB0019,US1LAEB0054,US1LAEB0059,US1LALY0006,US1LAPC0002,US1MSAD0001,US1TXAG0010,US1TXAS0002,US1TXAS0004,US1TXAS0012,US1TXAS0015,US1TXAS0017,US1TXAS0018,US1TXBRZ027,US1TXBZS075,US1TXBZS092,US1TXBZS098,US1TXCHM008,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0042,US1TXFB0051,US1TXGV0005,US1TXGV0015,US1TXGV0022,US1TXGV0052,US1TXGV0061,US1TXGV0063,US1TXGV0065,US1TXGV0066,US1TXGV0073,US1TXHRN001,US1TXHRN006,US1TXHRR043,US1TXHRR114,US1TXHRR116,US1TXHRR147,US1TXHRR150,US1TXHRR165,US1TXHRR223,US1TXHRR225,US1TXHRR236,US1TXHRR237,US1TXHRR238,US1TXHRR243,US1TXJJ0003,US1TXJS0002,US1TXLR0001,US1TXLR0010,US1TXMNG008,US1TXMNG018,US1TXMNG036,US1TXMNG054,US1TXMNG058,US1TXMTG004,US1TXPL0003,US1TXPL0032,US1TXSA0002,US1TXTR0009,US1TXWH0005,US1TXWK0011,US1TXWK0014,US1TXWK0015,US1TXWK0020,USC00160617,USC00165072,USC00165920,USC00167729,USC00167732,USC00415659,USC00419898"
2017-08-25,301,67,368,18.2,"US1LAAC0003,US1LACC0005,US1LACC0014,US1LAEB0005,US1LAEB0014,US1LAEB0019,US1LAEB0059,US1LALY0006,US1LAPC0002,US1MSAD0001,US1MSAD0004,US1TXAG0010,US1TXAS0002,US1TXAS0012,US1TXAS0017,US1TXBRZ027,US1TXBZS075,US1TXBZS092,US1TXBZS098,US1TXBZS104,US1TXCHM008,US1TXCLR010,US1TXFB0012,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0032,US1TXFB0051,US1TXGV0009,US1TXGV0015,US1TXGV0022,US1TXGV0061,US1TXGV0065,US1TXGV0066,US1TXHRN001,US1TXHRN005,US1TXHRR043,US1TXHRR095,US1TXHRR114,US1TXHRR147,US1TXHRR165,US1TXHRR223,US1TXHRR225,US1TXHRR237,US1TXHRR243,US1TXJJ0003,US1TXLR0001,US1TXMDS002,US1TXMNG008,US1TXMNG018,US1TXMNG054,US1TXMNG063,US1TXPL0003,US1TXSA0002,US1TXTR0009,US1TXWH0005,US1TXWK0011,US1TXWK0014,US1TXWK0015,US1TXWK0020,USC00165072,USC00165920,USC00167729,USC00167732,USC00414563,USC00415659,USC00419898"
2017-08-26,313,55,368,14.9,"US1LAAV0001,US1LACC0005,US1LACC0014,US1LACC0018,US1LAEB0014,US1LAEB0053,US1LAEB0054,US1LAEB0059,US1LAJD0002,US1MSAD0001,US1TXAG0010,US1TXBRZ027,US1TXBZS098,US1TXFB0027,US1TXFB0028,US1TXFB0032,US1TXGV0022,US1TXGV0043,US1TXGV0061,US1TXGV0062,US1TXGV0066,US1TXGV0073,US1TXHRN001,US1TXHRN005,US1TXHRR237,US1TXJJ0003,US1TXLR0001,US1TXMNG018,US1TXMNG030,US1TXMNG054,US1TXMNG063,US1TXMTG004,US1TXSA0002,US1TXSJ0010,US1TXTR0009,US1TXWK0011,US1TXWK0014,US1TXWK0020,USC00160462,USC00160548,USC00160617,USC00163979,USC00165287,USC00165920,USC00166431,USC00167448,USC00167729,USC00167732,USC00410235,USC00412676,USC00414563,USC00415659,USC00419491,USC00419898,USW00012953"
2017-08-27,317,51,368,13.9,"US1LAAV0001,US1LACC0014,US1LACC0018,US1LAEB0005,US1LAEB0014,US1LAEB0053,US1LAEB0054,US1LAEB0059,US1LAJD0002,US1MSAD0001,US1MSAD0004,US1TXAG0010,US1TXBRZ027,US1TXBZS092,US1TXBZS098,US1TXFB0028,US1TXFB0032,US1TXGV0009,US1TXGV0015,US1TXGV0022,US1TXGV0043,US1TXGV0061,US1TXGV0062,US1TXGV0066,US1TXGV0068,US1TXHRN005,US1TXHRR043,US1TXHRR052,US1TXHRR114,US1TXHRR225,US1TXHRR237,US1TXLR0015,US1TXMNG004,US1TXMNG030,US1TXMNG063,US1TXMTG004,US1TXSJ0010,USC00160462,USC00163979,USC00165287,USC00165920,USC00167448,USC00167729,USC00167732,USC00169369,USC00410235,USC00412676,USC00415659,USC00419491,USC00419898,USW00012953"
2017-08-28,324,44,368,12.0,"US1LAAV0001,US1LAEB0005,US1LAEB0014,US1LAEB0053,US1LAJD0002,US1MSAD0001,US1TXAG0010,US1TXBRZ027,US1TXBZS092,US1TXBZS098,US1TXFB0025,US1TXFB0028,US1TXFB0032,US1TXGV0009,US1TXGV0015,US1TXGV0022,US1TXGV0043,US1TXGV0061,US1TXGV0062,US1TXGV0066,US1TXGV0068,US1TXHRR043,US1TXHRR052,US1TXHRR114,US1TXHRR176,US1TXHRR225,US1TXHRR237,US1TXJJ0010,US1TXLR0015,US1TXMNG004,US1TXMNG018,US1TXMNG054,US1TXMNG063,US1TXMTG004,US1TXSA0002,USC00160462,USC00167448,USC00167729,USC00167732,USC00410235,USC00412676,USC00415659,USC00419491,USW00012953"
2017-08-29,327,41,368,11.1,"US1LAEB0005,US1LAEB0054,US1TXAG0010,US1TXBZS075,US1TXBZS092,US1TXBZS098,US1TXFB0025,US1TXFB0028,US1TXFB0032,US1TXFB0053,US1TXGV0009,US1TXGV0015,US1TXGV0022,US1TXGV0043,US1TXGV0061,US1TXGV0062,US1TXGV0066,US1TXGV0068,US1TXHRR043,US1TXHRR052,US1TXHRR114,US1TXHRR176,US1TXHRR225,US1TXHRR237,US1TXJJ0010,US1TXLR0015,US1TXMDS002,US1TXMNG004,US1TXMNG018,US1TXMNG054,US1TXMNG063,US1TXSA0002,US1TXWL0009,USC00167729,USC00167732,USC00410235,USC00412676,USC00415659,USC00416280,USC00419491,USW00012953"
2017-08-30,307,61,368,16.6,"US1LAAV0001,US1LACC0018,US1LAEB0005,US1LAEB0053,US1TXAG0010,US1TXAS0002,US1TXAS0012,US1TXBRZ027,US1TXBZS040,US1TXBZS075,US1TXBZS092,US1TXBZS098,US1TXBZS104,US1TXFB0017,US1TXFB0018,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0042,US1TXFB0053,US1TXGV0005,US1TXGV0009,US1TXGV0015,US1TXGV0022,US1TXGV0029,US1TXGV0043,US1TXGV0061,US1TXGV0062,US1TXGV0068,US1TXHRR004,US1TXHRR043,US1TXHRR052,US1TXHRR089,US1TXHRR114,US1TXHRR176,US1TXHRR223,US1TXHRR225,US1TXHRR237,US1TXJJ0003,US1TXJJ0009,US1TXJJ0010,US1TXLR0010,US1TXLR0015,US1TXMNG004,US1TXMNG018,US1TXMNG063,US1TXSA0002,US1TXWA0018,US1TXWH0005,US1TXWH0009,USC00164288,USC00167729,USC00167732,USC00169369,USC00410235,USC00412676,USC00415659,USC00416280,USC00419605,USC00419898,USW00012953"
2017-08-31,297,71,368,19.3,"US1LAAV0001,US1LACC0005,US1LAEB0005,US1LAEB0053,US1LAEB0054,US1LAPC0002,US1TXAG0010,US1TXAS0002,US1TXAS0012,US1TXBRZ018,US1TXBRZ027,US1TXBZS040,US1TXBZS075,US1TXBZS092,US1TXBZS097,US1TXBZS098,US1TXBZS104,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0042,US1TXFB0053,US1TXGV0005,US1TXGV0009,US1TXGV0015,US1TXGV0018,US1TXGV0029,US1TXGV0061,US1TXGV0062,US1TXGV0065,US1TXGV0068,US1TXGV0073,US1TXHRR004,US1TXHRR043,US1TXHRR089,US1TXHRR095,US1TXHRR114,US1TXHRR150,US1TXHRR223,US1TXHRR225,US1TXHRR236,US1TXHRR237,US1TXJJ0003,US1TXJJ0010,US1TXLR0001,US1TXLR0010,US1TXMNG008,US1TXMNG018,US1TXMNG036,US1TXMNG058,US1TXOR0001,US1TXPL0003,US1TXPL0028,US1TXPL0032,US1TXSA0002,US1TXSB0001,US1TXWA0010,US1TXWA0018,US1TXWH0005,US1TXWH0009,US1TXWK0011,US1TXWK0014,USC00164288,USC00167729,USC00167732,USC00410235,USC00410611,USC00415477,USC00415659,USC00419605,USW00012953"
2017-09-01,281,87,368,23.6,"US1LACC0005,US1LACC0018,US1LAEB0005,US1LAEB0054,US1LAEB0059,US1LAPC0002,US1TXAG0005,US1TXAG0010,US1TXAS0002,US1TXAS0012,US1TXAS0018,US1TXBRZ018,US1TXBRZ027,US1TXBZS040,US1TXBZS075,US1TXBZS088,US1TXBZS092,US1TXBZS097,US1TXBZS104,US1TXFB0025,US1TXFB0042,US1TXFB0053,US1TXGV0009,US1TXGV0015,US1TXGV0017,US1TXGV0018,US1TXGV0043,US1TXGV0052,US1TXGV0061,US1TXGV0062,US1TXGV0065,US1TXGV0066,US1TXGV0068,US1TXGV0071,US1TXGV0073,US1TXHRR004,US1TXHRR043,US1TXHRR095,US1TXHRR114,US1TXHRR150,US1TXHRR164,US1TXHRR223,US1TXHRR225,US1TXHRR236,US1TXHRR237,US1TXHRR238,US1TXJJ0003,US1TXJJ0010,US1TXJS0006,US1TXLR0001,US1TXLR0010,US1TXMDS002,US1TXMNG008,US1TXMNG018,US1TXMNG036,US1TXMNG054,US1TXMNG058,US1TXOR0001,US1TXPL0028,US1TXPL0032,US1TXSA0002,US1TXSB0001,US1TXSJ0012,US1TXTR0009,US1TXWA0010,US1TXWA0018,US1TXWH0005,US1TXWH0009,US1TXWK0011,US1TXWK0014,US1TXWK0015,US1TXWK0020,USC00160617,USC00165072,USC00165287,USC00167729,USC00410235,USC00410611,USC00410613,USC00411810,USC00414563,USC00415659,USC00416680,USC00419605,USC00419898,USW00012953,USW00012976"
