ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1LAAC0003,30.2353,-92.2843,RAYNE 1.0 W,14,1,7.14
US1LAAV0001,30.9517,-92.1921,BUNKIE 0.3 WSW,14,6,42.86
US1LACC0005,30.2545,-93.2694,WESTLAKE 0.7 WNW,14,10,71.43
US1LACC0014,30.145,-93.1764,LAKE CHARLES 4.8 SSE,14,5,35.71
US1LACC0018,30.1842,-93.2011,LAKE CHARLES 1.8 S,14,8,57.14
US1LAEB0005,30.3657,-91.1168,GARDERE 1.2 ENE,14,13,92.86
US1LAEB0014,30.4393,-91.0685,BATON ROUGE 3.5 E,14,5,35.71
US1LAEB0019,30.5096,-91.0016,MONTICELLO 3.0 ENE,14,5,35.71
US1LAEB0027,30.4507,-91.0843,BATON ROUGE 2.5 E,14,1,7.14
US1LAEB0053,30.4089,-91.1058,BATON ROUGE 3.0 SSE,14,9,64.29
US1LAEB0054,30.4281,-91.0243,BATON ROUGE 6.2 ESE,14,9,64.29
US1LAEB0059,30.357,-91.077,BATON ROUGE 7.0 SSE,14,9,64.29
US1LAJD0002,30.236,-92.823,WELSH 0.7 W,14,3,21.43
US1LALY0006,30.2521,-92.0889,SCOTT 1.0 N,14,6,42.86
US1LAPC0002,30.6807,-91.4115,NEW ROADS 2.7 ESE,14,7,50.0
US1LARP0009,31.3195,-92.4223,PINEVILLE 1.0 SSW,14,1,7.14
US1MSAD0001,31.4213,-91.3985,NATCHEZ 8.8 S,14,10,71.43
US1MSAD0004,31.4845,-91.2526,NATCHEZ 9.1 ESE,14,6,42.86
US1TXAG0001,31.3213,-94.8445,LUFKIN 7.0 W,14,1,7.14
US1TXAG0005,31.3212,-94.7211,LUFKIN 0.9 SSE,14,5,35.71
US1TXAG0009,31.298,-94.8473,LUFKIN 7.6 WSW,14,1,7.14
US1TXAG0010,31.3283,-94.7815,HUDSON 0.9 E,14,13,92.86
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE,14,10,71.43
US1TXAS0004,29.9515,-96.2544,BELLVILLE 0.4 NE,14,2,14.29
US1TXAS0012,29.8662,-96.3264,CAT SPRING 1.4 N,14,10,71.43
US1TXAS0015,30.0341,-96.2209,BELLVILLE 6.5 NNE,14,2,14.29
US1TXAS0017,29.6411,-96.051,WALLIS 1.1 NE,14,3,21.43
US1TXAS0018,29.9508,-96.2452,BELLVILLE 0.9 ENE,14,4,28.57
US1TXBRZ018,29.4176,-95.2673,ALVIN 1.6 SW,14,7,50.0
US1TXBRZ027,29.0269,-95.4337,LAKE JACKSON 1.3 SE,14,13,92.86
US1TXBZS040,30.6277,-96.2089,COLLEGE STATION 6.4 ENE,14,8,57.14
US1TXBZS075,30.6014,-96.3145,COLLEGE STATION 0.1 WNW,14,11,78.57
US1TXBZS088,30.7138,-96.3902,BRYAN 3.5 NNW,14,3,21.43
US1TXBZS092,30.5774,-96.3146,COLLEGE STATION 1.6 S,14,13,92.86
US1TXBZS097,30.624,-96.3199,COLLEGE STATION 1.7 NNW,14,7,50.0
US1TXBZS098,30.7714,-96.3734,BRYAN 7.1 N,14,9,64.29
US1TXBZS104,30.5728,-96.3002,COLLEGE STATION 2.0 SSE,14,9,64.29
US1TXCHM008,29.8722,-94.8893,MONT BELVIEU 1.5 NNW,14,4,28.57
US1TXCLR010,29.8188,-96.478,NEW ULM 5.1 S,14,5,35.71
US1TXFB0012,29.6166,-95.6332,SUGAR LAND 1.0 W,14,1,7.14
US1TXFB0017,29.6176,-95.7268,RICHMOND 3.4 NE,14,2,14.29
US1TXFB0018,29.612,-95.7318,RICHMOND 2.9 NE,14,1,7.14
US1TXFB0022,29.5261,-95.7221,RICHMOND 4.6 SE,14,2,14.29
US1TXFB0025,29.6388,-95.6269,SUGAR LAND 1.5 NNW,14,12,85.71
US1TXFB0027,29.5828,-95.6294,SUGAR LAND 2.6 SSW,14,6,42.86
