Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2021-09-25,US1FLAL0002,0,4.32,-4.32,-108.22,True
2021-09-25,US1FLAL0004,0,1.96,-1.96,-48.82,True
2021-09-25,US1FLAL0007,0,9.88,-9.88,-248.63,True
2021-09-25,US1FLAL0010,0,3.71,-3.71,-92.83,True
2021-09-25,US1FLAL0017,0,2.71,-2.71,-67.73,True
2021-09-25,US1FLAL0026,0,2.45,-2.45,-61.15,True
2021-09-25,US1FLAL0031,0,1.88,-1.88,-46.66,True
2021-09-25,US1FLAL0048,0,4.49,-4.49,-112.62,True
2021-09-25,US1FLAL0050,0,3.27,-3.27,-81.79,True
2021-09-25,US1FLAL0051,0,2.03,-2.03,-50.54,True
2021-09-25,US1FLAL0054,0,2.37,-2.37,-59.19,True
2021-09-25,US1FLAL0055,0,6.68,-6.68,-167.78,True
2021-09-25,US1FLAL0058,0,3.59,-3.59,-89.87,True
2021-09-25,US1FLAL0060,0,8.74,-8.74,-219.8,True
2021-09-25,US1FLAL0071,0,1.58,-1.58,-39.21,True
2021-09-25,US1FLAL0075,0,2.75,-2.75,-68.76,True
2021-09-25,US1FLAL0079,0,2.97,-2.97,-74.19,True
2021-09-25,US1FLAL0080,0,1.88,-1.88,-46.81,True
2021-09-25,US1FLAL0081,127,0.0,127.0,3205.37,True
2021-09-25,US1FLAL0096,0,32.36,-32.36,-815.88,True
2021-09-25,US1FLBK0005,0,0.9,-0.9,-22.08,True
2021-09-25,US1FLBK0006,0,0.83,-0.83,-20.36,True
2021-09-25,US1FLBK0007,0,0.87,-0.87,-21.32,True
2021-09-25,US1FLBV0001,0,4.14,-4.14,-103.78,True
2021-09-25,US1FLBV0002,0,0.65,-0.65,-15.79,True
2021-09-25,US1FLBV0005,0,0.87,-0.87,-21.22,True
2021-09-25,US1FLBV0012,0,0.66,-0.66,-15.98,True
2021-09-25,US1FLBV0013,0,0.57,-0.57,-13.78,True
2021-09-25,US1FLBV0020,0,0.72,-0.72,-17.52,True
2021-09-25,US1FLBV0023,0,0.5,-0.5,-12.06,True
2021-09-25,US1FLBV0028,0,13.09,-13.09,-329.66,True
2021-09-25,US1FLBV0036,0,0.47,-0.47,-11.3,True
2021-09-25,US1FLBV0047,0,0.54,-0.54,-13.05,True
2021-09-25,US1FLBV0052,0,0.71,-0.71,-17.14,True
2021-09-25,US1FLBV0054,0,0.58,-0.58,-13.95,True
2021-09-25,US1FLBV0059,0,4.14,-4.14,-103.69,True
2021-09-25,US1FLBV0063,0,0.65,-0.65,-15.76,True
2021-09-25,US1FLBV0067,0,6.84,-6.84,-171.87,True
2021-09-25,US1FLBV0072,0,5.91,-5.91,-148.42,True
2021-09-25,US1FLBV0073,0,0.01,-0.01,0.34,False
2021-09-25,US1FLBV0078,0,0.5,-0.5,-11.83,True
2021-09-25,US1FLBV0089,0,0.49,-0.49,-11.61,True
2021-09-25,US1FLBV0092,0,0.77,-0.77,-18.69,True
2021-09-25,US1FLBV0095,0,0.47,-0.47,-11.29,True
2021-09-25,US1FLBV0099,0,0.77,-0.77,-18.85,True
2021-09-25,US1FLBV0102,0,0.89,-0.89,-21.7,True
2021-09-25,US1FLBV0107,0,0.76,-0.76,-18.39,True
2021-09-25,US1FLBV0110,0,1.86,-1.86,-46.29,True
2021-09-25,US1FLBV0111,0,0.76,-0.76,-18.59,True
2021-09-25,US1FLBV0113,0,0.49,-0.49,-11.65,True
2021-09-25,US1FLBV0114,0,2.77,-2.77,-69.32,True
2021-09-25,US1FLBV0118,0,12.59,-12.59,-316.96,True
2021-09-25,US1FLBV0123,0,1.58,-1.58,-39.23,True
2021-09-25,US1FLBV0124,0,0.72,-0.72,-17.52,True
2021-09-25,US1FLBV0125,0,0.7,-0.7,-17.07,True
2021-09-25,US1FLBW0007,5,78.82,-73.82,-1862.11,True
2021-09-25,US1FLBW0016,168,62.82,105.18,2654.78,True
2021-09-25,US1FLBW0026,15,71.79,-56.79,-1432.48,True
2021-09-25,US1FLBW0076,61,72.41,-11.41,-287.15,True
2021-09-25,US1FLBW0079,28,74.51,-46.51,-1172.97,True
2021-09-25,US1FLBW0095,13,69.18,-56.18,-1416.94,True
2021-09-25,US1FLBW0099,130,52.76,77.24,1949.81,True
2021-09-25,US1FLBW0110,58,67.21,-9.21,-231.84,True
2021-09-25,US1FLBW0121,127,54.9,72.1,1819.98,True
2021-09-25,US1FLBW0137,0,73.28,-73.28,-1848.4,True
2021-09-25,US1FLBW0151,53,52.75,0.25,6.91,True
2021-09-25,US1FLBW0155,0,65.61,-65.61,-1654.88,True
2021-09-25,US1FLBW0159,30,70.78,-40.78,-1028.47,True
2021-09-25,US1FLBW0160,5,64.41,-59.41,-1498.51,True
2021-09-25,US1FLBW0161,0,68.24,-68.24,-1721.2,True
2021-09-25,US1FLBW0162,69,64.75,4.25,107.88,True
2021-09-25,US1FLBW0166,0,70.03,-70.03,-1766.42,True
2021-09-25,US1FLBW0167,23,70.14,-47.14,-1188.97,True
2021-09-25,US1FLCB0010,0,1.38,-1.38,-34.04,True
2021-09-25,US1FLCB0012,0,1.44,-1.44,-35.74,True
2021-09-25,US1FLCB0019,0,1.46,-1.46,-36.1,True
2021-09-25,US1FLCB0024,0,2.16,-2.16,-53.92,True
2021-09-25,US1FLCB0025,0,1.02,-1.02,-25.18,True
2021-09-25,US1FLCB0026,0,1.97,-1.97,-49.0,True
2021-09-25,US1FLCH0013,0,20.27,-20.27,-510.8,True
2021-09-25,US1FLCH0015,0,22.67,-22.67,-571.43,True
2021-09-25,US1FLCH0019,0,14.89,-14.89,-375.03,True
2021-09-25,US1FLCH0023,0,14.84,-14.84,-373.83,True
2021-09-25,US1FLCH0029,0,28.28,-28.28,-712.94,True
2021-09-25,US1FLCH0034,117,22.41,94.59,2387.51,True
2021-09-25,US1FLCH0035,0,15.61,-15.61,-393.19,True
2021-09-25,US1FLCH0039,30,30.49,-0.49,-11.76,True
2021-09-25,US1FLCH0040,0,21.47,-21.47,-541.09,True
2021-09-25,US1FLCR0012,137,77.12,59.88,1511.72,True
2021-09-25,US1FLCR0013,64,69.22,-5.22,-130.96,True
2021-09-25,US1FLCR0038,244,78.47,165.53,4177.52,True
2021-09-25,US1FLCR0052,25,95.66,-70.66,-1782.26,True
2021-09-25,US1FLCR0053,157,61.28,95.72,2416.07,True
2021-09-25,US1FLCR0057,0,92.6,-92.6,-2335.93,True
2021-09-25,US1FLCR0059,0,85.09,-85.09,-2146.36,True
2021-09-25,US1FLCR0062,0,71.68,-71.68,-1808.05,True
2021-09-25,US1FLCR0066,0,78.78,-78.78,-1987.22,True
2021-09-25,US1FLCT0008,0,0.53,-0.53,-12.74,True
2021-09-25,US1FLCT0011,0,0.49,-0.49,-11.66,True
2021-09-25,US1FLCT0029,0,0.53,-0.53,-12.78,True
2021-09-25,US1FLCT0030,0,0.37,-0.37,-8.61,True
2021-09-25,US1FLCT0031,0,0.34,-0.34,-7.89,True
2021-09-25,US1FLCT0034,0,0.5,-0.5,-11.97,True
2021-09-25,US1FLCT0035,0,0.32,-0.32,-7.28,True
2021-09-25,US1FLCT0036,0,0.45,-0.45,-10.73,True
2021-09-25,US1FLCT0037,0,0.71,-0.71,-17.19,True
2021-09-25,US1FLCT0038,0,0.35,-0.35,-8.25,True
2021-09-25,US1FLCT0039,0,0.3,-0.3,-6.85,True
2021-09-25,US1FLCT0041,0,0.58,-0.58,-13.98,True
2021-09-25,US1FLCY0001,0,0.41,-0.41,-9.73,True
