Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2022-09-25,US1FLAL0002,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0004,0,0.01,-0.01,0.24,False
2022-09-25,US1FLAL0007,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0010,0,0.01,-0.01,0.5,False
2022-09-25,US1FLAL0026,0,0.01,-0.01,0.43,False
2022-09-25,US1FLAL0031,0,0.01,-0.01,0.49,False
2022-09-25,US1FLAL0048,0,0.01,-0.01,0.47,False
2022-09-25,US1FLAL0050,0,0.01,-0.01,0.47,False
2022-09-25,US1FLAL0051,0,0.01,-0.01,0.39,False
2022-09-25,US1FLAL0054,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0055,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0058,0,0.01,-0.01,0.46,False
2022-09-25,US1FLAL0060,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0062,0,0.02,-0.02,0.22,False
2022-09-25,US1FLAL0063,0,0.0,-0.0,0.53,False
2022-09-25,US1FLAL0071,0,0.01,-0.01,0.32,False
2022-09-25,US1FLAL0075,0,0.01,-0.01,0.46,False
2022-09-25,US1FLAL0079,0,0.01,-0.01,0.46,False
2022-09-25,US1FLAL0080,0,0.01,-0.01,0.49,False
2022-09-25,US1FLAL0081,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0086,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0096,0,0.0,0.0,0.67,False
2022-09-25,US1FLAL0097,0,0.0,-0.0,0.53,False
2022-09-25,US1FLAL0098,0,0.0,0.0,0.67,False
2022-09-25,US1FLBK0006,0,0.03,-0.03,-0.24,False
2022-09-25,US1FLBK0007,0,0.03,-0.03,-0.23,False
2022-09-25,US1FLBV0001,0,13.28,-13.28,-388.95,True
2022-09-25,US1FLBV0002,0,3.27,-3.27,-95.19,True
2022-09-25,US1FLBV0005,0,11.35,-11.35,-332.3,True
2022-09-25,US1FLBV0006,0,6.98,-6.98,-204.17,True
2022-09-25,US1FLBV0011,0,22.94,-22.94,-672.48,True
2022-09-25,US1FLBV0012,0,1.41,-1.41,-40.82,True
2022-09-25,US1FLBV0013,8,1.22,6.78,199.58,True
2022-09-25,US1FLBV0020,0,2.27,-2.27,-65.94,True
2022-09-25,US1FLBV0023,0,1.05,-1.05,-30.04,True
2022-09-25,US1FLBV0028,0,34.85,-34.85,-1021.88,True
2022-09-25,US1FLBV0036,0,0.93,-0.93,-26.59,True
2022-09-25,US1FLBV0038,0,0.23,-0.23,-6.09,True
2022-09-25,US1FLBV0047,0,1.25,-1.25,-35.98,True
2022-09-25,US1FLBV0052,0,8.4,-8.4,-245.86,True
2022-09-25,US1FLBV0054,0,1.21,-1.21,-34.74,True
2022-09-25,US1FLBV0055,0,11.94,-11.94,-349.82,True
2022-09-25,US1FLBV0059,0,13.28,-13.28,-389.1,True
2022-09-25,US1FLBV0063,0,3.36,-3.36,-97.83,True
2022-09-25,US1FLBV0072,0,19.5,-19.5,-571.57,True
2022-09-25,US1FLBV0078,0,1.06,-1.06,-30.57,True
2022-09-25,US1FLBV0089,0,3.38,-3.38,-98.42,True
2022-09-25,US1FLBV0092,0,3.02,-3.02,-87.98,True
2022-09-25,US1FLBV0095,0,1.01,-1.01,-28.89,True
2022-09-25,US1FLBV0102,0,11.23,-11.23,-328.79,True
2022-09-25,US1FLBV0107,0,9.57,-9.57,-280.07,True
2022-09-25,US1FLBV0109,0,2.96,-2.96,-86.25,True
2022-09-25,US1FLBV0110,0,15.96,-15.96,-467.83,True
2022-09-25,US1FLBV0111,0,5.04,-5.04,-147.26,True
2022-09-25,US1FLBV0113,0,3.36,-3.36,-97.83,True
2022-09-25,US1FLBV0118,0,33.27,-33.27,-975.68,True
2022-09-25,US1FLBV0123,0,14.4,-14.4,-422.0,True
2022-09-25,US1FLBV0125,0,10.49,-10.49,-307.03,True
2022-09-25,US1FLBV0126,0,2.07,-2.07,-60.04,True
2022-09-25,US1FLBV0133,0,1.32,-1.32,-38.04,True
2022-09-25,US1FLBV0134,0,1.12,-1.12,-32.29,True
2022-09-25,US1FLBV0137,0,9.85,-9.85,-288.44,True
2022-09-25,US1FLBV0143,0,1.28,-1.28,-36.75,True
2022-09-25,US1FLBV0144,0,2.36,-2.36,-68.48,True
2022-09-25,US1FLBW0007,216,140.45,75.55,2217.65,True
2022-09-25,US1FLBW0026,0,147.95,-147.95,-4341.15,True
