ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
BF1FP000001,26.5481,-78.7028,FREEPORT LUCAYA 7.4 WNW,11,0,0.0
US1FLAL0002,29.5272,-82.4271,ARCHER 5.5 E,11,0,0.0
US1FLAL0004,29.8006,-82.2836,BROOKER 6.6 SSE,11,0,0.0
US1FLAL0007,29.5908,-82.4314,GAINESVILLE 8.1 SW,11,0,0.0
US1FLAL0010,29.6802,-82.3988,GAINESVILLE 3.8 W,11,0,0.0
US1FLAL0017,29.7869,-82.6276,HIGH SPRINGS 3.2 SW,11,9,81.82
US1FLAL0026,29.6555,-82.3171,GAINESVILLE 1.7 SE,11,0,0.0
US1FLAL0031,29.738,-82.4162,GAINESVILLE 6.5 NW,11,0,0.0
US1FLAL0048,29.6778,-82.4264,GAINESVILLE 5.4 W,11,0,0.0
US1FLAL0050,29.6478,-82.3618,GAINESVILLE 2.4 SW,11,0,0.0
US1FLAL0051,29.5348,-82.2681,MICANOPY 2.1 NNE,11,0,0.0
US1FLAL0054,29.5198,-82.3127,MICANOPY 2.1 WNW,11,0,0.0
US1FLAL0055,29.6572,-82.4636,GAINESVILLE 7.7 W,11,0,0.0
US1FLAL0058,29.6056,-82.3601,GAINESVILLE 5.0 SSW,11,0,0.0
US1FLAL0060,29.6467,-82.4563,GAINESVILLE 7.5 WSW,11,2,18.18
US1FLAL0061,29.6416,-82.4246,GAINESVILLE 5.8 WSW,11,10,90.91
US1FLAL0062,29.7091,-82.0662,MELROSE 1.7 W,11,0,0.0
US1FLAL0063,29.6843,-82.3846,GAINESVILLE 3.0 WNW,11,2,18.18
US1FLAL0071,29.6164,-82.1658,HAWTHORNE 5.0 WNW,11,0,0.0
US1FLAL0072,29.6808,-82.3295,GAINESVILLE 0.6 NE,11,10,90.91
US1FLAL0075,29.6692,-82.3496,GAINESVILLE 0.9 WSW,11,0,0.0
US1FLAL0078,29.6007,-82.3453,GAINESVILLE 5.1 S,11,10,90.91
US1FLAL0079,29.6181,-82.3421,GAINESVILLE 3.9 S,11,0,0.0
US1FLAL0080,29.7377,-82.4169,GAINESVILLE 6.5 NW,11,0,0.0
US1FLAL0081,29.6164,-82.4514,GAINESVILLE 8.0 WSW,11,1,9.09
US1FLAL0085,29.6958,-82.3586,GAINESVILLE 2.0 NW,11,10,90.91
US1FLAL0086,29.5845,-82.4327,GAINESVILLE 8.5 SW,11,0,0.0
US1FLAL0095,29.656,-82.3233,GAINESVILLE 0.5 N,11,10,90.91
US1FLAL0096,29.6122,-82.4445,GAINESVILLE 7.8 WSW,11,0,0.0
US1FLAL0097,29.6834,-82.3853,GAINESVILLE 3.0 WNW,11,0,0.0
US1FLAL0098,29.8455,-82.612,HIGH SPRINGS 2.0 NW,11,0,0.0
US1FLAL0102,29.687,-82.6006,NEWBERRY 3.0 NNE,11,11,100.0
US1FLBK0003,30.3212,-82.2757,SANDERSON 4.9 NNW,11,11,100.0
US1FLBK0005,30.237,-82.2189,GLEN ST. MARY 4.4 SW,11,11,100.0
US1FLBK0006,30.2985,-82.1624,GLEN ST. MARY 1.7 N,11,0,0.0
US1FLBK0007,30.2161,-82.1606,MACCLENNY 4.9 SSW,11,0,0.0
US1FLBV0001,27.9512,-80.642,PALM BAY 2.6 SSE,11,0,0.0
US1FLBV0002,28.1882,-80.6805,PALM SHORES 1.4 W,11,0,0.0
US1FLBV0005,28.0235,-80.6881,PALM BAY 3.1 NNW,11,3,27.27
US1FLBV0006,28.1312,-80.6436,MELBOURNE 1.1 N,11,1,9.09
US1FLBV0011,28.0165,-80.5332,MELBOURNE BEACH 3.9 SSE,11,4,36.36
US1FLBV0012,28.3861,-80.6003,CAPE CANAVERAL 0.6 ESE,11,1,9.09
