ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
BF1FP000001,26.5481,-78.7028,FREEPORT LUCAYA 7.4 WNW,11.0,0.0,0.0,3.069364605137993,Coastal,Low,11.0,0.0,0.0,3.069364605137993,Coastal,Low
US1FLAL0002,29.5272,-82.4271,ARCHER 5.5 E,11.0,0.0,0.0,61.29600252068538,Rural,Low,11.0,0.0,0.0,61.29600252068538,Rural,Low
US1FLAL0004,29.8006,-82.2836,BROOKER 6.6 SSE,11.0,0.0,0.0,98.59786184726293,Rural,Low,11.0,0.0,0.0,98.59786184726293,Rural,Low
US1FLAL0007,29.5908,-82.4314,GAINESVILLE 8.1 SW,11.0,0.0,0.0,67.20555576568673,Rural,Low,11.0,0.0,0.0,67.20555576568673,Rural,Low
US1FLAL0010,29.6802,-82.3988,GAINESVILLE 3.8 W,11.0,0.0,0.0,78.59075370206486,Inland,Low,11.0,0.0,0.0,78.59075370206486,Inland,Low
US1FLAL0017,29.7869,-82.6276,HIGH SPRINGS 3.2 SW,11.0,2.0,18.18,80.62130280144252,Rural,High,11.0,9.0,81.82,80.62130280144252,Rural,High
US1FLAL0026,29.6555,-82.3171,GAINESVILLE 1.7 SE,11.0,0.0,0.0,81.69748975743266,Inland,Low,11.0,0.0,0.0,81.69748975743266,Inland,Low
US1FLAL0031,29.738,-82.4162,GAINESVILLE 6.5 NW,11.0,0.0,0.0,83.77887023704133,Rural,Low,11.0,0.0,0.0,83.77887023704133,Rural,Low
US1FLAL0048,29.6778,-82.4264,GAINESVILLE 5.4 W,11.0,0.0,0.0,76.62434425278596,Inland,Low,11.0,0.0,0.0,76.62434425278596,Inland,Low
US1FLAL0050,29.6478,-82.3618,GAINESVILLE 2.4 SW,11.0,0.0,0.0,77.73735249540766,Inland,Low,11.0,0.0,0.0,77.73735249540766,Inland,Low
US1FLAL0051,29.5348,-82.2681,MICANOPY 2.1 NNE,11.0,0.0,0.0,75.04529222122275,Rural,Low,11.0,0.0,0.0,75.04529222122275,Rural,Low
