ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1FLAL0017,29.7869,-82.6276,HIGH SPRINGS 3.2 SW,11,9,81.82
US1FLAL0060,29.6467,-82.4563,GAINESVILLE 7.5 WSW,11,2,18.18
US1FLAL0061,29.6416,-82.4246,GAINESVILLE 5.8 WSW,11,10,90.91
US1FLAL0063,29.6843,-82.3846,GAINESVILLE 3.0 WNW,11,2,18.18
US1FLAL0072,29.6808,-82.3295,GAINESVILLE 0.6 NE,11,10,90.91
US1FLAL0078,29.6007,-82.3453,GAINESVILLE 5.1 S,11,10,90.91
US1FLAL0081,29.6164,-82.4514,GAINESVILLE 8.0 WSW,11,1,9.09
US1FLAL0085,29.6958,-82.3586,GAINESVILLE 2.0 NW,11,10,90.91
US1FLAL0095,29.656,-82.3233,GAINESVILLE 0.5 N,11,10,90.91
US1FLBV0005,28.0235,-80.6881,PALM BAY 3.1 NNW,11,3,27.27
US1FLBV0006,28.1312,-80.6436,MELBOURNE 1.1 N,11,1,9.09
US1FLBV0011,28.0165,-80.5332,MELBOURNE BEACH 3.9 SSE,11,4,36.36
US1FLBV0012,28.3861,-80.6003,CAPE CANAVERAL 0.6 ESE,11,1,9.09
US1FLBV0032,28.4017,-80.6729,MERRITT ISLAND 4.1 NE,11,9,81.82
US1FLBV0054,28.3652,-80.6647,MERRITT ISLAND 3.8 N,11,1,9.09
US1FLBV0055,28.0562,-80.6299,MELBOURNE 4.1 S,11,4,36.36
US1FLBV0067,27.9147,-80.6523,PALM BAY 4.9 S,11,1,9.09
US1FLBV0085,28.4247,-80.8018,COCOA 4.6 NW,11,9,81.82
US1FLBV0092,28.2045,-80.6012,SATELLITE BEACH 2.0 N,11,7,63.64
US1FLBV0113,28.1668,-80.5912,SATELLITE BEACH 0.8 SE,11,2,18.18
US1FLBV0123,27.9926,-80.7007,PALM BAY 2.5 W,11,1,9.09
US1FLBV0125,28.0799,-80.6334,MELBOURNE 2.5 S,11,1,9.09
US1FLBV0136,28.006,-80.6688,PALM BAY 1.5 NNW,11,7,63.64
US1FLBV0145,28.612,-80.8305,TITUSVILLE 1.7 NNW,11,2,18.18
US1FLBW0095,26.1069,-80.2394,PLANTATION 1.9 SE,11,2,18.18
US1FLBW0099,26.072,-80.3679,WESTON 2.8 SE,11,5,45.45
US1FLBW0116,26.1391,-80.2953,PLANTATION 2.3 WNW,11,2,18.18
US1FLBW0139,26.1818,-80.2999,SUNRISE 2.1 N,11,7,63.64
US1FLBW0145,26.1806,-80.1684,OAKLAND PARK 1.0 WNW,11,5,45.45
US1FLBW0148,26.2632,-80.2592,CORAL SPRINGS 0.4 S,11,5,45.45
US1FLBW0153,26.0078,-80.2297,PEMBROKE PINES 4.1 E,11,6,54.55
US1FLBW0161,26.0198,-80.3408,PEMBROKE PINES 0.7 N,11,1,9.09
US1FLBW0168,26.0278,-80.3236,PEMBROKE PINES 1.6 NE,11,1,9.09
US1FLBW0170,26.0077,-80.1391,HOLLYWOOD 2.2 SE,11,7,63.64
US1FLCB0019,30.0681,-82.622,LAKE CITY 8.7 S,11,3,27.27
US1FLCH0013,26.9805,-82.2094,PORT CHARLOTTE 6.2 W,11,8,72.73
US1FLCH0015,26.9828,-82.0552,PORT CHARLOTTE 3.3 E,11,8,72.73
US1FLCH0017,26.9197,-82.0653,PUNTA GORDA 1.6 NNW,11,3,27.27
US1FLCH0019,26.916,-82.068,PUNTA GORDA 1.4 NNW,11,8,72.73
US1FLCH0023,26.9175,-82.0689,PUNTA GORDA 1.6 NNW,11,8,72.73
US1FLCH0029,26.8966,-82.2221,PORT CHARLOTTE 9.3 SW,11,7,63.64
US1FLCH0035,27.0323,-82.1902,NORTH PORT 1.2 SSE,11,4,36.36
US1FLCH0036,27.0287,-82.0711,PORT CHARLOTTE 3.8 NE,11,5,45.45
US1FLCH0037,27.0231,-82.0663,PORT CHARLOTTE 3.7 NE,11,8,72.73
US1FLCH0046,26.9345,-82.2572,PORT CHARLOTTE 9.8 WSW,11,1,9.09
US1FLCH0050,26.9968,-82.0466,PORT CHARLOTTE 3.9 ENE,11,3,27.27
US1FLCH0051,26.9883,-82.1189,PORT CHARLOTTE 0.7 WNW,11,7,63.64
US1FLCR0041,26.2406,-81.6976,NAPLES 9.0 NE,11,10,90.91
US1FLCR0052,26.2744,-81.5318,NAPLES 18.6 ENE,11,1,9.09
US1FLCR0057,26.3329,-81.4339,AVE MARIA 0.4 SE,11,9,81.82
US1FLCR0066,26.129,-81.7458,EAST NAPLES 0.9 NE,11,7,63.64
US1FLCT0024,28.9142,-82.4215,HERNANDO 2.9 W,11,8,72.73
US1FLCT0031,28.8816,-82.3971,INVERNESS 4.4 NW,11,1,9.09
US1FLCT0038,28.8828,-82.4333,HERNANDO 3.9 WSW,11,1,9.09
