ID,LAT,LON,NAME
US1ALAT0013,32.6444,-86.4302,DEATSVILLE 3.4 NW
US1ALBB0008,32.9878,-87.0882,CENTREVILLE 3.3 NE
US1ALBL0005,33.8029,-86.5601,SPRINGVILLE 5.3 WNW
US1ALBL0006,34.0913,-86.6066,BLOUNTSVILLE 1.3 NW
US1ALBL0009,33.9416,-86.4555,ONEONTA 0.9 SE
US1ALBL0013,33.9153,-86.3464,ONEONTA 7.5 ESE
US1ALBL0018,33.8713,-86.7518,WARRIOR 5.1 NE
US1ALBL0021,34.2305,-86.4792,ARAB 7.0 S
US1ALBR0006,31.8826,-85.5839,CLAYTON 7.8 W
US1ALBT0002,31.7205,-86.8763,GEORGIANA 9.8 NW
US1ALBW0003,30.6424,-87.9076,DAPHNE 1.2 NNW
US1ALBW0004,30.622,-87.9014,DAPHNE 0.4 SW
US1ALBW0008,30.3439,-87.7848,FOLEY 7.4 SW
US1ALBW0013,30.5667,-87.9005,FAIRHOPE 3.7 NNW
US1ALBW0026,30.6216,-87.7578,LOXLEY 0.4 SSW
US1ALBW0031,30.3789,-87.6975,FOLEY 2.0 SSW
US1ALBW0032,30.5566,-87.9013,FAIRHOPE 3.1 NNW
US1ALBW0036,30.6759,-87.8563,DAPHNE 4.2 NE
US1ALBW0040,30.5072,-87.9083,FAIRHOPE 1.5 WSW
US1ALBW0058,30.6849,-87.8683,SPANISH FORT 1.2 NE
US1ALBW0059,31.0359,-87.7413,BAY MINETTE 10.9 N
US1ALBW0060,30.6077,-87.9081,DAPHNE 1.5 SSW
US1ALBW0066,30.3146,-87.7116,GULF SHORES 3.1 N
US1ALBW0071,30.9809,-87.7574,BAY MINETTE 7.0 N
US1ALBW0079,30.5724,-87.8444,DAPHNE 4.9 SE
US1ALBW0082,30.5138,-87.9113,FAIRHOPE 1.6 W
US1ALBW0085,30.4955,-87.744,SUMMERDALE 2.7 WNW
US1ALBW0086,30.4831,-87.9114,POINT CLEAR 0.6 SW
US1ALBW0088,31.0373,-87.7417,BAY MINETTE 11.0 N
US1ALBW0089,30.4161,-87.5965,ELBERTA 0.3 NE
US1ALBW0092,30.2328,-87.8123,GULF SHORES 7.1 WSW
US1ALBW0094,30.2514,-87.733,GULF SHORES 2.3 SW
US1ALBW0095,30.3506,-87.6324,FOLEY 4.9 SE
