ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1ALAT0013,32.6444,-86.4302,DEATSVILLE 3.4 NW,11,6,54.55
US1ALBR0006,31.8826,-85.5839,CLAYTON 7.8 W,11,3,27.27
US1ALBT0002,31.7205,-86.8763,GEORGIANA 9.8 NW,11,9,81.82
US1ALBW0008,30.3439,-87.7848,FOLEY 7.4 SW,11,1,9.09
US1ALBW0032,30.5566,-87.9013,FAIRHOPE 3.1 NNW,11,1,9.09
US1ALBW0036,30.6759,-87.8563,DAPHNE 4.2 NE,11,2,18.18
US1ALBW0060,30.6077,-87.9081,DAPHNE 1.5 SSW,11,5,45.45
US1ALBW0066,30.3146,-87.7116,GULF SHORES 3.1 N,11,4,36.36
US1ALBW0082,30.5138,-87.9113,FAIRHOPE 1.6 W,11,9,81.82
US1ALBW0095,30.3506,-87.6324,FOLEY 4.9 SE,11,9,81.82
US1ALBW0097,30.5325,-87.8939,FAIRHOPE 1.4 NNW,11,2,18.18
US1ALBW0098,30.6345,-87.796,LOXLEY 2.4 WNW,11,6,54.55
US1ALBW0103,30.2636,-87.6421,NATURE CENTER-GULF SHORES 3.6,11,3,27.27
US1ALBW0104,30.2668,-87.6804,LEARNING CAMPUS-GULF SHORES 1.,11,2,18.18
US1ALCC0002,31.3271,-87.2431,REPTON 5.7 S,11,3,27.27
US1ALCK0003,31.6447,-87.854,GROVE HILL 6.1 SW,11,2,18.18
US1ALCK0009,31.7089,-87.779,GROVE HILL 0.4 NNW,11,4,36.36
US1ALCN0008,33.7623,-85.8182,WEAVER 0.7 NW,11,1,9.09
US1ALCS0003,32.8217,-86.0534,ALEXANDER CITY 10.0 SW,11,3,27.27
US1ALCS0007,32.8021,-86.0054,ALEXANDER CITY 9.6 SSW,11,7,63.64
US1ALCT0014,34.7754,-87.4736,MUSCLE SHOALS 9.7 NNE,11,7,63.64
US1ALDK0018,34.3171,-85.9816,CROSSVILLE 2.2 NNE,11,6,54.55
US1ALDK0022,34.471,-85.6348,FORT PAYNE 3.6 ENE,11,7,63.64
US1ALDL0011,31.3039,-85.7896,ENTERPRISE 3.8 ESE,11,1,9.09
US1ALEL0018,32.6784,-86.1402,WETUMPKA 9.9 NNE,11,2,18.18
US1ALEL0033,32.7623,-86.3257,TITUS 3.5 N,11,8,72.73
US1ALET0008,34.0489,-85.9385,GADSDEN 5.1 ENE,11,2,18.18
US1ALET0010,34.0384,-86.0017,GADSDEN 2.1 NNE,11,6,54.55
US1ALFY0010,33.7756,-87.8267,FAYETTE 5.6 N,11,2,18.18
US1ALJC0009,34.7015,-86.0978,SCOTTSBORO 4.6 NW,11,8,72.73
US1ALJC0016,34.6863,-85.8796,PISGAH 1.8 W,11,3,27.27
US1ALJF0024,33.7029,-86.5275,ARGO 1.5 NW,11,6,54.55
US1ALJF0037,33.379,-86.9775,BESSEMER 1.0 WNW,11,2,18.18
US1ALJF0039,33.4349,-86.7558,VESTAVIA HILLS 1.8 E,11,3,27.27
US1ALJF0054,33.4497,-87.0179,HUEYTOWN 1.4 NW,11,3,27.27
US1ALJF0062,33.7205,-86.593,TRUSSVILLE 5.8 N,11,2,18.18
US1ALJF0069,33.4658,-87.0249,CONCORD 0.4 ESE,11,1,9.09
US1ALJF0073,33.422,-86.8392,HOOVER 3.4 NNW,11,6,54.55
US1ALJF0074,33.5247,-86.5459,LEEDS 1.8 SSE,11,4,36.36
US1ALJF0078,33.407,-86.8209,HOOVER 2.2 N,11,5,45.45
US1ALLD0009,34.9129,-87.8829,CLOVERDALE 6.6 WSW,11,1,9.09
US1ALLD0023,34.8337,-87.658,FLORENCE 0.6 NE,11,6,54.55
US1ALLD0039,34.9102,-87.8082,FLORENCE 9.9 NW,11,8,72.73
US1ALLD0043,34.8823,-87.7038,FLORENCE 4.4 NNW,11,10,90.91
US1ALLD0046,34.8503,-87.7069,FLORENCE 2.8 WNW,11,5,45.45
US1ALLD0050,34.8598,-87.3371,ROGERSVILLE 3.8 NW,11,1,9.09
US1ALLE0015,32.5761,-85.4857,AUBURN 1.2 SSW,11,3,27.27
US1ALLE0017,32.6251,-85.5121,AUBURN 2.9 NW,11,2,18.18
US1ALLE0020,32.6041,-85.4593,AUBURN 1.4 ENE,11,4,36.36
US1ALMB0061,30.6186,-88.2779,MOBILE 11.9 WSW,11,5,45.45
US1ALMB0071,30.6682,-88.2632,MOBILE 10.4 W,11,4,36.36
US1ALMB0072,30.6362,-88.2717,MOBILE 11.2 WSW,11,1,9.09
US1ALMB0073,30.6602,-88.1612,MOBILE 4.5 WSW,11,4,36.36
US1ALMB0090,30.6236,-88.266,MOBILE 11.2 WSW,11,5,45.45
US1ALMB0092,30.2537,-88.0928,DAUPHIN ISLAND 4.8 E,11,6,54.55
US1ALMB0095,30.6276,-88.2215,MOBILE 8.6 WSW,11,2,18.18
US1ALMB0096,30.4555,-88.1487,THEODORE 6.4 SSE,11,10,90.91
US1ALMB0099,30.6873,-88.0941,MOBILE 0.7 NNW,11,7,63.64
US1ALMD0006,34.9352,-86.5835,HAZEL GREEN 1.2 NW,11,6,54.55
US1ALMD0033,34.6706,-86.515,HAMPTON COVE 2.1 WNW,11,2,18.18
US1ALMD0084,34.668,-86.542,HUNTSVILLE 5.6 ESE,11,9,81.82
US1ALMD0094,34.9164,-86.632,HAZEL GREEN 3.7 W,11,4,36.36
US1ALMD0097,34.74,-86.5668,HUNTSVILLE 4.1 ENE,11,1,9.09
US1ALMD0098,34.7982,-86.7048,HUNTSVILLE 7.7 NW,11,1,9.09
US1ALMD0099,34.7714,-86.4763,RYLAND 0.3 ENE,11,6,54.55
US1ALMD0105,34.8128,-86.7705,HARVEST 3.2 SSW,11,1,9.09
US1ALMD0108,34.7002,-86.7542,MADISON 0.3 SW,11,5,45.45
US1ALMD0109,34.5919,-86.5402,HUNTSVILLE 9.4 SSE,11,1,9.09
US1ALMD0111,34.8935,-86.4373,NEW MARKET 1.3 SSW,11,1,9.09
US1ALMN0006,31.4126,-87.484,FRISCO CITY 5.0 WSW,11,1,9.09
US1ALMS0013,34.2785,-86.2912,ALBERTVILLE 4.8 WNW,11,3,27.27
US1ALMS0029,34.3562,-86.3525,GUNTERSVILLE 4.7 W,11,1,9.09
US1ALMS0034,34.3878,-86.3511,GUNTERSVILLE 5.1 WNW,11,5,45.45
US1ALRS0007,32.3303,-85.1565,SEALE 2.4 NNE,11,5,45.45
US1ALSC0006,33.5834,-86.4633,MOODY 2.0 ESE,11,3,27.27
