ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1ALAT0013,32.6444,-86.4302,DEATSVILLE 3.4 NW,6,5,83.33
US1ALAT0014,32.4825,-86.4854,PRATTVILLE 2.7 WNW,6,5,83.33
US1ALBR0006,31.8826,-85.5839,CLAYTON 7.8 W,6,2,33.33
US1ALCF0004,31.3361,-85.8709,ENTERPRISE 1.5 WNW,6,6,100.0
US1ALCS0003,32.8217,-86.0534,ALEXANDER CITY 10.0 SW,6,0,0.0
US1ALCS0007,32.8021,-86.0054,ALEXANDER CITY 9.6 SSW,6,1,16.67
US1ALDL0011,31.3039,-85.7896,ENTERPRISE 3.8 ESE,6,3,50.0
US1ALEL0004,32.5504,-86.3845,MILLBROOK 4.0 NNW,6,0,0.0
US1ALEL0012,32.6267,-86.1276,WETUMPKA 7.2 NE,6,6,100.0
US1ALEL0018,32.6784,-86.1402,WETUMPKA 9.9 NNE,6,0,0.0
US1ALEL0022,32.5741,-86.2877,WETUMPKA 5.4 WNW,6,0,0.0
US1ALEL0024,32.5149,-86.3851,MILLBROOK 1.7 NW,6,0,0.0
US1ALEL0028,32.4984,-86.0922,WETUMPKA 7.1 ESE,6,5,83.33
US1ALGV0005,31.1172,-86.0501,SAMSON 0.4 NNW,6,6,100.0
US1ALHS0003,31.2423,-85.4364,DOTHAN 2.6 SW,6,6,100.0
US1ALHS0013,31.095,-85.464,REHOBETH 2.1 SSW,6,1,16.67
US1ALHS0016,31.2929,-85.2997,KINSEY 2.2 E,6,5,83.33
US1ALLE0004,32.5949,-85.4711,AUBURN 0.6 ENE,6,0,0.0
US1ALLE0007,32.5844,-85.593,AUBURN 6.6 W,6,0,0.0
US1ALLE0015,32.5761,-85.4857,AUBURN 1.2 SSW,6,6,100.0
US1ALMC0003,32.4481,-85.8172,TUSKEGEE 6.2 W,6,0,0.0
US1ALMY0006,32.0323,-86.2056,RAMER 1.5 SE,6,0,0.0
US1ALMY0007,32.3772,-86.2575,MONTGOMERY 2.2 NE,6,0,0.0
US1ALMY0009,32.3788,-86.2159,MONTGOMERY 4.3 ENE,6,6,100.0
US1ALMY0011,32.1678,-86.2933,MONTGOMERY 12.9 S,6,0,0.0
US1ALMY0014,32.3783,-86.137,MONTGOMERY 8.8 E,6,0,0.0
US1ALRS0001,32.4948,-85.0295,PHENIX CITY 2.2 NNW,6,0,0.0
US1ALRS0003,32.2918,-85.1893,SEALE 1.4 W,6,0,0.0
US1ALTP0007,32.9884,-85.9492,ALEXANDER CITY 3.1 NNE,6,0,0.0
US1FLBY0007,30.2068,-85.8554,PANAMA CITY BEACH 0.3 SW,6,3,50.0
US1FLBY0010,30.2535,-85.9369,PANAMA CITY BEACH 5.9 WNW,6,3,50.0
US1FLBY0011,30.2018,-85.8345,PANAMA CITY BEACH 1.2 ESE,6,3,50.0
US1FLBY0013,30.2209,-85.6431,LYNN HAVEN 1.6 SSE,6,0,0.0
US1FLBY0014,30.1841,-85.7765,PANAMA CITY BEACH 4.9 ESE,6,6,100.0
US1FLBY0015,30.4328,-85.3992,FOUNTAIN 3.4 SSE,6,1,16.67
US1FLBY0016,30.1383,-85.5656,PANAMA CITY 6.9 ESE,6,0,0.0
US1FLBY0019,30.242,-85.6457,LYNN HAVEN 0.4 E,6,3,50.0
US1FLBY0021,30.1628,-85.7807,PANAMA CITY BEACH 5.4 SE,6,3,50.0
US1FLBY0027,30.4119,-85.5376,YOUNGSTOWN 6.7 WNW,6,6,100.0
US1FLDX0002,29.644,-83.0473,CROSS CITY 4.7 E,6,0,0.0
US1FLDX0003,29.6579,-83.0332,OLD TOWN 4.9 NW,6,0,0.0
US1FLFR0002,29.731,-85.007,APALACHICOLA 0.8 WNW,6,3,50.0
US1FLFR0003,29.7627,-84.8866,EASTPOINT 1.4 NW,6,3,50.0
