ID,Distance_to_Coast_km,Region
US1ALAT0013,378.0567165225105,Rural
US1ALAT0014,361.741982493719,Rural
US1ALBR0006,392.00062874831985,Rural
US1ALCF0004,342.2222352592847,Rural
US1ALCS0003,417.0405818843895,Rural
US1ALCS0007,418.820502238937,Rural
US1ALDL0011,348.2252656679533,Rural
US1ALEL0004,373.79755996856017,Rural
US1ALEL0012,397.22482131144204,Rural
US1ALEL0018,400.224843384111,Rural
US1ALEL0022,382.2098830914074,Rural
US1ALEL0024,371.044538948307,Rural
US1ALEL0028,390.3626763149291,Rural
US1ALGV0005,318.0726744793624,Rural
US1ALHS0003,377.94536689519595,Rural
US1ALHS0013,370.97186044631457,Rural
US1ALHS0016,388.4724726417053,Rural
US1ALLE0004,442.8609724346962,Rural
US1ALLE0007,432.974552496082,Rural
US1ALLE0015,440.5267906433794,Rural
US1ALMC0003,407.06378584779003,Rural
US1ALMY0006,350.3547793698909,Rural
US1ALMY0007,369.81598225128,Rural
US1ALMY0009,372.9262215306161,Rural
US1ALMY0011,352.5831996379574,Rural
US1ALMY0014,378.6209707176977,Rural
US1ALRS0001,422.12637786935926,Rural
US1ALRS0003,422.6617827999128,Rural
US1ALTP0007,436.9062647573061,Rural
US1FLBY0007,321.40423928606265,Rural
US1FLBY0010,313.5540404340324,Rural
US1FLBY0011,323.4198926257642,Rural
US1FLBY0013,341.7863713036504,Rural
US1FLBY0014,329.02746091410484,Rural
US1FLBY0015,365.7352185841832,Rural
US1FLBY0016,349.4385748124106,Rural
US1FLBY0019,341.52395009630095,Rural
US1FLBY0021,328.68065337770065,Rural
US1FLBY0027,352.36115058979095,Rural
US1FLDX0002,174.63631899470582,Rural
US1FLDX0003,172.74882093332744,Rural
US1FLFR0002,318.0208332294146,Rural
US1FLFR0003,311.8977368572718,Rural
US1FLFR0006,303.60893608832373,Rural
US1FLFR0008,301.73710257872415,Rural
US1FLGD0001,313.4696259762264,Rural
US1FLGD0002,295.6940488516469,Inland
US1FLGD0003,313.8386753768151,Rural
US1FLGD0004,309.38402378650636,Rural
US1FLGD0006,315.01521987729814,Rural
US1FLGD0007,294.6807768173062,Inland
US1FLHM0004,164.6140513911225,Rural
US1FLJF0003,249.3802201566114,Inland
US1FLJF0005,243.60098081985217,Rural
US1FLJF0007,239.75958677897276,Rural
US1FLJF0009,232.0339672806965,Rural
US1FLJF0010,242.58413507563702,Rural
US1FLJK0002,368.94450753876987,Rural
US1FLJK0003,365.3106992258337,Rural
US1FLJK0006,370.93413835832445,Rural
US1FLLB0001,324.45309127083425,Rural
US1FLLB0003,328.0396395708091,Rural
US1FLLN0004,270.79898965812384,Inland
US1FLLN0010,278.645908168314,Inland
US1FLLN0017,277.1389844274494,Inland
US1FLLN0018,301.91261308751854,Inland
US1FLLN0025,277.49624447509245,Inland
US1FLLN0028,274.3937060897745,Inland
US1FLLN0029,279.98621474585326,Inland
US1FLLN0031,262.1912451600386,Inland
US1FLLN0034,276.86032566357466,Inland
US1FLLN0037,282.7514784962596,Inland
US1FLLN0041,276.0062910717883,Inland
US1FLLN0043,277.6190434780837,Inland
US1FLLN0047,268.5906155936265,Inland
US1FLLN0051,271.4054357523808,Inland
US1FLLN0055,268.6021793516583,Inland
US1FLLN0059,262.5728520565876,Inland
US1FLLN0060,266.98783529742843,Inland
US1FLLN0063,269.44835586379924,Inland
US1FLLN0064,276.95524028726,Inland
US1FLLN0065,260.46520815481506,Inland
US1FLLN0066,272.69353756717254,Inland
US1FLLN0068,263.6892086242949,Inland
US1FLLN0072,270.6624510226393,Inland
US1FLLN0074,268.5190618178885,Inland
US1FLLN0087,272.4136501073104,Inland
US1FLMS0003,192.35818505664233,Rural
US1FLOK0001,266.867998703397,Rural
US1FLOK0002,262.26423517835053,Rural
US1FLOK0003,265.1595388854243,Rural
US1FLOK0015,266.93112856857766,Rural
US1FLOK0020,267.98621496512453,Rural
US1FLOK0028,260.61882714774885,Rural
US1FLOK0033,261.0795491090486,Rural
US1FLOK0037,265.3209565074624,Rural
US1FLOK0042,261.46397634276263,Rural
US1FLSW0008,168.3201508222139,Rural
US1FLTY0004,211.55234103120023,Rural
US1FLWK0001,284.6507447978318,Inland
US1FLWK0007,282.3044606401589,Rural
US1FLWK0009,281.1946540890355,Rural
US1FLWK0010,285.4036766259471,Inland
US1FLWS0001,321.7330283767463,Rural
US1FLWS0003,350.0616603548073,Rural
US1FLWT0002,294.93545880603676,Rural
US1FLWT0003,288.08469838679366,Rural
US1FLWT0005,289.1213590273772,Rural
US1FLWT0006,298.21304219225885,Rural
US1FLWT0012,301.41157226884934,Rural
US1FLWT0013,296.4758725433121,Rural
US1FLWT0014,307.85276786846333,Rural
US1FLWT0017,278.6877304393612,Rural
US1FLWT0027,289.8996524433179,Rural
US1GABB0006,363.0854591296773,Rural
US1GABB0016,347.946606480771,Rural
US1GABB0019,355.3251673426441,Rural
US1GABB0021,355.52297987756225,Rural
US1GABB0022,354.69272907318975,Rural
US1GABD0001,344.9078200697997,Rural
US1GABH0002,241.22560763341255,Rural
US1GABL0001,293.6264077897749,Rural
US1GABL0003,293.75528235364646,Rural
US1GACQ0001,230.1117243492175,Rural
US1GACQ0002,251.86681445597029,Rural
US1GACQ0009,235.87427124752492,Rural
US1GACR0002,354.5622313342529,Rural
US1GACY0002,375.1560964491908,Rural
US1GADC0003,307.8919938073335,Rural
US1GADG0004,255.19321303218646,Rural
US1GADG0005,269.1404117715285,Rural
US1GADH0001,299.15074306665446,Rural
US1GADH0008,308.3266754908233,Rural
US1GAER0003,365.2021439048592,Rural
US1GAGY0002,283.4297989033009,Rural
US1GAGY0003,270.2658737835136,Rural
US1GAHR0002,429.28504764682236,Rural
US1GAHR0005,422.2274025050258,Rural
US1GAHR0007,406.0773497115706,Rural
US1GAHS0003,333.2428922919152,Rural
US1GAHS0005,328.32259240312754,Rural
US1GAHS0011,310.0921047069004,Rural
US1GAHS0012,327.445377612593,Rural
US1GAHS0015,322.73261136908604,Rural
US1GAHS0016,325.6723975351511,Rural
US1GAHS0017,321.7133316179938,Rural
US1GAJN0006,351.4400306876179,Rural
US1GALE0002,307.2619606351996,Rural
US1GALW0004,180.99930170944666,Rural
US1GALW0007,196.2695492185846,Rural
US1GALW0008,192.9868842984148,Rural
US1GALW0010,191.25564925115606,Rural
US1GALW0012,187.95072778504405,Rural
