ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1ALAT0013,32.6444,-86.4302,DEATSVILLE 3.4 NW,6,5,83.33
US1ALAT0014,32.4825,-86.4854,PRATTVILLE 2.7 WNW,6,5,83.33
US1ALBR0006,31.8826,-85.5839,CLAYTON 7.8 W,6,2,33.33
US1ALCS0007,32.8021,-86.0054,ALEXANDER CITY 9.6 SSW,6,1,16.67
US1ALDL0011,31.3039,-85.7896,ENTERPRISE 3.8 ESE,6,3,50.0
US1ALEL0028,32.4984,-86.0922,WETUMPKA 7.1 ESE,6,5,83.33
US1ALHS0013,31.095,-85.464,REHOBETH 2.1 SSW,6,1,16.67
US1ALHS0016,31.2929,-85.2997,KINSEY 2.2 E,6,5,83.33
US1FLBY0007,30.2068,-85.8554,PANAMA CITY BEACH 0.3 SW,6,3,50.0
US1FLBY0010,30.2535,-85.9369,PANAMA CITY BEACH 5.9 WNW,6,3,50.0
US1FLBY0011,30.2018,-85.8345,PANAMA CITY BEACH 1.2 ESE,6,3,50.0
US1FLBY0015,30.4328,-85.3992,FOUNTAIN 3.4 SSE,6,1,16.67
US1FLBY0019,30.242,-85.6457,LYNN HAVEN 0.4 E,6,3,50.0
US1FLBY0021,30.1628,-85.7807,PANAMA CITY BEACH 5.4 SE,6,3,50.0
US1FLFR0002,29.731,-85.007,APALACHICOLA 0.8 WNW,6,3,50.0
US1FLFR0003,29.7627,-84.8866,EASTPOINT 1.4 NW,6,3,50.0
US1FLFR0006,29.6589,-84.8809,ST. GEORGE ISLAND 2.2 ENE,6,3,50.0
US1FLGD0001,30.5247,-84.6586,QUINCY 6.0 SW,6,2,33.33
US1FLGD0003,30.5294,-84.6621,QUINCY 6.0 SW,6,2,33.33
US1FLLN0010,30.4463,-84.2997,TALLAHASSEE 1.3 SW,6,3,50.0
US1FLLN0028,30.414,-84.2568,TALLAHASSEE 3.3 SSE,6,2,33.33
US1FLLN0034,30.595,-84.2679,TALLAHASSEE 9.6 N,6,5,83.33
US1FLLN0041,30.6116,-84.2568,TALLAHASSEE 10.8 N,6,4,66.67
US1FLLN0051,30.5077,-84.2198,TALLAHASSEE 5.1 NE,6,3,50.0
US1FLLN0072,30.4106,-84.218,TALLAHASSEE 5.0 SE,6,2,33.33
US1FLMS0003,30.4727,-83.3954,MADISON 1.2 ENE,6,2,33.33
US1FLOK0015,30.4784,-86.4372,NICEVILLE 4.5 SE,6,3,50.0
US1FLSW0008,30.3067,-83.1533,LIVE OAK 10.0 W,6,1,16.67
US1FLWK0001,30.1834,-84.3602,ST. MARKS 9.2 W,6,3,50.0
US1FLWS0003,30.5858,-85.5776,SUNNY HILLS 3.3 N,6,5,83.33
US1FLWT0003,30.3463,-86.2048,MIRAMAR BEACH 9.5 ESE,6,4,66.67
US1FLWT0014,30.276,-85.9965,INLET BEACH 0.7 E,6,2,33.33
US1GABB0006,32.8931,-83.7303,MACON 5.8 NW,6,4,66.67
US1GACQ0001,31.1017,-83.6189,MOULTRIE 10.0 ESE,6,5,83.33
US1GACQ0002,31.116,-83.8577,MOULTRIE 6.2 SW,6,5,83.33
US1GACQ0009,31.1619,-83.655,MOULTRIE 6.8 E,6,1,16.67
US1GACR0002,32.6981,-83.8652,FORT VALLEY 10.0 N,6,2,33.33
US1GADC0003,30.8909,-84.5428,BAINBRIDGE 2.3 ESE,6,5,83.33
US1GADH0001,31.618,-84.1352,ALBANY 3.7 NE,6,2,33.33
US1GAGY0003,30.8598,-84.1474,CAIRO 3.7 ESE,6,2,33.33
US1GAHR0002,32.8375,-84.8157,PINE MOUNTAIN 2.8 SE,6,3,50.0
US1GAHS0005,32.5448,-83.6481,BONAIRE 3.0 W,6,5,83.33
US1GAHS0012,32.4727,-83.7288,PERRY 0.8 NE,6,4,66.67
