ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1ALBW0045,30.488,-87.8002,SILVERHILL 5.0 SW,9,9,100.0
US1ALTS0003,33.0786,-87.4009,HOLT 11.4 SSE,9,9,100.0
US1LALF0010,29.702,-90.6262,RACELAND 2.1 WSW,9,9,100.0
US1LATR0015,29.635,-90.7405,HOUMA 4.4 NNW,9,9,100.0
US1MSHR0022,30.6592,-89.1297,SAUCIER 1.7 NNE,9,9,100.0
US1MSNW0005,32.5706,-89.1432,UNION 1.6 W,9,8,88.89
US1MSRN0013,32.3471,-89.9874,BRANDON 4.7 NNE,9,9,100.0
US1TXAR0007,28.0357,-97.0717,ROCKPORT 1.3 WSW,9,9,100.0
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE,9,9,100.0
US1TXBEL034,31.0684,-97.4561,BELTON 0.4 E,9,9,100.0
US1TXBEL113,31.0919,-97.4486,TEMPLE 5.1 W,9,9,100.0
US1TXBRT124,30.7061,-98.2713,BURNET 4.5 SSW,9,9,100.0
US1TXBST086,30.1685,-97.2498,BASTROP 5.1 NE,9,9,100.0
US1TXBST140,30.1153,-97.342,BASTROP 2.2 W,9,9,100.0
US1TXBST152,30.3702,-97.3113,ELGIN 3.9 ENE,9,9,100.0
US1TXBXR229,29.5178,-98.4388,TERRELL HILLS 2.8 N,9,9,100.0
US1TXCLL018,33.0539,-96.8371,PLANO 5.3 W,9,9,100.0
US1TXCLL030,33.3127,-96.5827,ANNA 3.7 SSW,9,9,100.0
US1TXCLL033,32.9921,-96.7397,RICHARDSON 2.2 NW,9,9,100.0
US1TXCML048,29.9454,-98.3706,CANYON LAKE 8.1 NW,9,9,100.0
US1TXCML092,29.6411,-98.3114,GARDEN RIDGE 1.2 WNW,9,9,100.0
US1TXCML219,29.7481,-98.2522,NEW BRAUNFELS 8.6 WNW,9,9,100.0
US1TXDA0050,32.5996,-96.9537,CEDAR HILL 1.4 N,9,9,100.0
US1TXDA0052,32.7709,-96.6409,MESQUITE 2.4 W,9,9,100.0
US1TXDN0068,33.1562,-97.0345,SHADY SHORES 0.7 SE,9,9,100.0
US1TXDN0108,33.2339,-97.2932,PONDER 3.8 N,9,9,100.0
US1TXDN0109,33.1832,-97.2862,PONDER 0.3 NNE,9,9,100.0
US1TXDW0008,29.0423,-97.6523,YORKTOWN 9.8 WNW,9,9,100.0
US1TXEL0023,32.4225,-96.8108,WAXAHACHIE 2.6 ENE,9,9,100.0
US1TXGZ0010,29.4461,-97.425,GONZALES 4.5 SSE,9,9,100.0
US1TXHYS012,30.1066,-97.8539,BUDA 1.7 NNW,9,9,100.0
US1TXHYS292,30.0284,-98.0761,WIMBERLEY 2.9 NNE,9,9,100.0
US1TXJC0002,33.0402,-98.1207,PERRIN 3.0 ENE,9,9,100.0
US1TXLL0002,30.6936,-98.4098,KINGSLAND 3.3 NE,9,9,100.0
US1TXLO0009,28.3638,-98.1405,GEORGE WEST 2.7 NNW,9,9,100.0
US1TXMCL038,31.6166,-97.1403,WACO 4.1 NE,9,9,100.0
US1TXNU0013,27.5861,-97.7908,BISHOP 0.4 ENE,9,9,100.0
US1TXNV0005,32.067,-96.745,BLOOMING GROVE 2.4 SW,9,9,100.0
US1TXSM0028,32.2093,-95.3207,FLINT 1.7 ENE,9,9,100.0
US1TXTN0087,32.8757,-97.4798,EAGLE MOUNTAIN 2.4 WSW,9,8,88.89
US1TXTV0117,30.3721,-97.8134,AUSTIN 5.9 NW,9,9,100.0
US1TXTV0207,30.3419,-98.1322,DRIPPING SPRINGS 10.9 NNW,9,9,100.0
US1TXVC0034,28.7423,-97.0268,VICTORIA 6.4 SSW,9,9,100.0
US1TXWL0009,29.8729,-96.003,BROOKSHIRE 6.9 NNW,9,9,100.0
USC00010140,32.2322,-87.4103,ALBERTA,9,0,0.0
USC00010178,33.1272,-88.155,ALICEVILLE,9,9,100.0
USC00010184,33.2103,-88.2869,BEVILL L&D,9,0,0.0
USC00010402,31.1819,-87.4389,ATMORE,9,0,0.0
USC00010505,33.4528,-87.3572,BANKHEAD L&D,9,0,0.0
USC00010583,30.8839,-87.7853,BAY MINETTE,9,0,0.0
USC00010764,33.3936,-87.0067,BESSEMER 3 WSW,9,0,0.0
USC00011080,31.1414,-87.0486,BREWTON 3 ENE,9,0,0.0
USC00011084,31.0583,-87.055,BREWTON 3 SSE,9,0,0.0
USC00011143,33.2619,-87.3103,BROOKWOOD,9,0,0.0
USC00011189,32.0911,-88.2322,BUTLER,9,0,0.0
USC00011566,31.4714,-88.2503,CHATOM,9,0,0.0
USC00011690,31.6147,-87.5003,CLAIBORNE L&D,9,0,0.0
USC00011803,30.3875,-88.2269,CODEN,9,0,0.0
USC00011810,31.7561,-88.1289,COFFEEVILLE L&D,9,0,0.0
USC00012172,30.2506,-88.0775,DAUPHIN IS #2,9,6,66.67
USC00012245,32.5194,-87.8794,DEMOPOLIS L&D,9,9,100.0
USC00012813,30.5467,-87.8808,FAIRHOPE 2 NE,9,0,0.0
USC00013160,32.8347,-88.1342,GAINESVILLE LOCK,9,0,0.0
USC00013511,32.6922,-87.5761,GREENSBORO,9,0,0.0
USC00013930,33.2531,-87.4497,HOLT L&D,9,0,0.0
USC00014193,31.5253,-87.9278,JACKSON,9,0,0.0
USC00014798,32.5811,-88.1897,LIVINGSTON,9,0,0.0
USC00015112,32.7028,-87.2681,MARION 7 NE,9,0,0.0
USC00015121,32.4717,-87.2308,MARION JUNCTION 2 NE,9,0,0.0
USC00015354,31.9306,-88.4586,MELVIN,9,9,100.0
USC00015420,32.1003,-87.3983,MILLERS FERRY L&D,9,0,0.0
USC00015658,32.9964,-87.6319,MOUNDVILLE,9,0,0.0
USC00016362,32.6567,-87.0928,PERRYVILLE,9,0,0.0
USC00016847,33.3739,-88.0053,REFORM,9,0,0.0
USC00016988,30.5653,-87.7017,ROBERTSDALE,9,0,0.0
USC00017366,32.4111,-87.0144,SELMA,9,0,0.0
USC00018178,31.9172,-87.7347,THOMASVILLE,9,0,0.0
USC00018380,33.2231,-87.61,TUSCALOOSA ACFD,9,0,0.0
USC00018385,33.2108,-87.5933,TUSCALOOSA OLIVER DAM,9,0,0.0
USC00018446,32.5506,-87.5308,UNIONTOWN,9,9,100.0
USC00018637,31.21,-87.1789,WALLACE 2 E,9,0,0.0
USC00018673,32.7747,-87.8306,WARRIOR L&D,9,0,0.0
USC00018809,33.1186,-87.1264,W BLOCTON,9,0,0.0
USC00018867,31.6508,-87.7097,WHATLEY,9,7,77.78
USC00031140,33.3053,-92.4867,CALION L&D,9,0,0.0
USC00031730,33.1111,-91.9481,CROSSETT 2 SSE,9,0,0.0
USC00032355,33.1144,-91.2628,EUDORA,9,0,0.0
USC00032475,33.0597,-92.1236,FELSENTHAL L&D,9,0,0.0
USC00033088,33.2278,-91.7939,HAMBURG,9,9,100.0
USC00034185,33.3614,-93.5675,LEWISVILLE,9,0,0.0
USC00034548,33.2586,-93.1822,MAGNOLIA,9,0,0.0
USC00034936,33.3008,-92.3494,MORO BAY SP,9,0,0.0
USC00035866,33.2511,-91.5058,PORTLAND,9,0,0.0
USC00085793,30.7794,-87.1414,MILTON EXP STN,9,0,0.0
USC00086999,30.53,-87.1983,PENSACOLA 7 NNE,9,0,0.0
USC00160007,29.9689,-92.1169,ABBEVILLE,9,0,0.0
USC00160012,30.4586,-90.0975,ABITA RVR COVINGTON,9,0,0.0
USC00160016,30.4714,-90.0436,ABITA SPRINGS 1 SW,9,0,0.0
USC00160021,30.4372,-90.0519,ABITA SPRINGS FIRE TWR,9,0,0.0
USC00160098,31.3206,-92.4611,ALEXANDRIA,9,0,0.0
USC00160103,31.2483,-92.4486,ALEXANDRIA 5 SSE,9,0,0.0
USC00160205,30.7094,-90.525,AMITE,9,0,0.0
USC00160238,30.9644,-89.815,ANGIE,9,0,0.0
USC00160277,32.5511,-92.9186,ARCADIA,9,0,0.0
USC00160349,32.1292,-93.1164,ASHLAND,9,0,0.0
USC00160462,30.5669,-91.1633,BAKER,9,0,0.0
USC00160537,32.7314,-91.9144,BASTROP,9,0,0.0
USC00160540,30.8206,-91.6622,BATCHELOR,9,0,0.0
USC00160546,30.5586,-91.0342,BATON ROUGE CNTRL,9,0,0.0
