ID,Distance_to_Coast_km,Region
US1ALBW0045,138.09120516263965,Rural
US1ALTS0003,362.5588747169214,Rural
US1LALF0010,148.1442678673203,Rural
US1LATR0015,161.21276085505613,Rural
US1MSHR0022,51.503653384161595,Rural
US1MSNW0005,263.65381339805344,Rural
US1MSRN0013,250.19698357186496,Rural
US1TXAR0007,253.37764524971146,Rural
US1TXAS0002,108.94557744173856,Rural
US1TXBEL034,247.34398301483154,Rural
US1TXBEL113,248.29284548546042,Rural
US1TXBRT124,297.9092889920812,Rural
US1TXBST012,195.6158256542213,Rural
US1TXBST086,186.69278004312005,Rural
US1TXBST140,194.07889295144594,Rural
US1TXBST152,198.75595625702206,Rural
US1TXBXR229,297.79875476955243,Rural
US1TXCLL018,391.82168210585684,Rural
US1TXCLL030,411.41003186062915,Rural
US1TXCLL033,382.1806588826207,Rural
US1TXCML048,290.1035826791624,Rural
US1TXCML092,284.400387405698,Rural
US1TXCML219,278.2302576020414,Rural
US1TXDA0001,360.8971000708956,Rural
US1TXDA0050,349.83737372742587,Rural
US1TXDA0052,355.9114230732275,Rural
US1TXDN0068,409.295085924573,Rural
US1TXDN0108,427.12852815151047,Rural
US1TXDN0109,421.7727944952625,Rural
US1TXDW0008,235.05032801007675,Rural
US1TXEL0023,326.2890372613593,Rural
US1TXGZ0010,201.71808715111294,Rural
US1TXHYS001,246.73928458622194,Rural
US1TXHYS012,242.43192242373266,Rural
US1TXHYS292,262.563584138747,Rural
US1TXJC0002,448.49864615305785,Rural
US1TXJW0014,311.953432140133,Rural
US1TXLL0002,309.94136987278387,Rural
US1TXLO0009,310.81093219380097,Rural
US1TXLT0001,208.42196337875566,Rural
US1TXMCL038,266.96376681369713,Rural
US1TXMTG001,101.68761306593731,Rural
US1TXNU0013,337.9262947553876,Rural
US1TXNU0022,337.08486525530844,Rural
US1TXNV0005,288.11009058773004,Rural
US1TXSM0028,272.39026673845143,Rural
US1TXTN0087,400.2156676107184,Rural
US1TXTV0117,244.78293109334984,Rural
US1TXTV0207,273.6087663688847,Rural
US1TXUP0001,324.54246673524267,Rural
US1TXVC0034,196.57123653254024,Rural
US1TXWL0009,62.34573690312806,Rural
USC00010140,282.88040490840154,Rural
USC00010178,340.17724919277447,Rural
USC00010184,345.6905863811603,Rural
USC00010402,200.68933934447304,Rural
USC00010505,401.3929609475373,Rural
USC00010583,155.36334052751866,Rural
USC00010764,411.15099683808455,Rural
USC00011080,230.85007745066267,Rural
USC00011084,226.33524169090379,Rural
USC00011143,384.50090894891713,Rural
USC00011189,229.56302975251424,Rural
USC00011566,167.950649247054,Rural
USC00011690,225.91648654397716,Rural
USC00011803,95.7262795564373,Rural
USC00011810,200.91080953934107,Rural
USC00012172,107.99407706999693,Rural
USC00012245,286.7644192122949,Rural
USC00012813,132.29566939022996,Rural
USC00013160,309.88964569101245,Rural
USC00013511,317.0462925963823,Rural
USC00013930,377.680202459175,Rural
USC00014193,190.94739720942314,Rural
USC00014798,281.5930986007081,Rural
USC00015121,314.28556623530494,Rural
USC00015354,204.97971093548892,Rural
USC00015420,272.1017772712247,Rural
USC00015658,344.5776987060448,Rural
USC00016847,370.5365360446968,Rural
