Date,ID,Value,Neighbor_Estimate,Residual,Robust_Z,Suspect
2005-09-18,US1TXDA0001,0,0.0,0.0,0.0,False
2005-09-18,US1TXMTG001,0,0.08,-0.08,-1.81,False
2005-09-18,US1TXUP0001,0,0.0,0.0,0.0,False
2005-09-18,USC00010140,0,0.08,-0.08,-1.9,False
2005-09-18,USC00010178,0,11.73,-11.73,-262.47,True
2005-09-18,USC00010184,0,10.88,-10.88,-243.45,True
2005-09-18,USC00010402,0,0.19,-0.19,-4.3,True
2005-09-18,USC00010505,0,70.76,-70.76,-1582.74,True
2005-09-18,USC00010583,0,0.09,-0.09,-2.12,False
2005-09-18,USC00010764,0,75.91,-75.91,-1697.93,True
2005-09-18,USC00011080,0,0.25,-0.25,-5.7,True
2005-09-18,USC00011084,0,0.2,-0.2,-4.41,True
2005-09-18,USC00011143,483,0.0,483.0,10803.44,True
2005-09-18,USC00011566,0,0.0,0.0,0.0,False
2005-09-18,USC00011690,0,0.2,-0.2,-4.48,True
2005-09-18,USC00011803,0,0.0,0.0,0.0,False
2005-09-18,USC00011810,0,0.0,0.0,0.0,False
2005-09-18,USC00012172,0,0.0,0.0,0.0,False
2005-09-18,USC00012245,0,9.85,-9.85,-220.21,True
2005-09-18,USC00012813,0,0.0,0.0,0.0,False
2005-09-18,USC00013160,0,9.96,-9.96,-222.76,True
2005-09-18,USC00013511,0,14.44,-14.44,-323.01,True
2005-09-18,USC00013930,0,73.39,-73.39,-1641.46,True
2005-09-18,USC00014193,0,0.1,-0.1,-2.3,False
2005-09-18,USC00014798,0,0.26,-0.26,-5.88,True
2005-09-18,USC00015121,0,6.55,-6.55,-146.46,True
2005-09-18,USC00015420,0,0.11,-0.11,-2.56,False
2005-09-18,USC00015658,0,24.31,-24.31,-543.64,True
2005-09-18,USC00016847,0,19.51,-19.51,-436.28,True
2005-09-18,USC00016988,0,0.0,0.0,0.0,False
2005-09-18,USC00017366,0,18.17,-18.17,-406.43,True
2005-09-18,USC00018178,0,0.1,-0.1,-2.2,False
2005-09-18,USC00018380,0,18.96,-18.96,-424.04,True
2005-09-18,USC00018385,0,19.65,-19.65,-439.46,True
2005-09-18,USC00018446,0,13.82,-13.82,-309.1,True
2005-09-18,USC00018637,0,0.31,-0.31,-7.04,True
2005-09-18,USC00018673,0,12.52,-12.52,-280.05,True
2005-09-18,USC00018809,0,59.19,-59.19,-1323.86,True
2005-09-18,USC00018867,0,0.13,-0.13,-2.88,False
2005-09-18,USC00031140,0,0.1,-0.1,-2.27,False
2005-09-18,USC00031730,0,0.65,-0.65,-14.64,True
2005-09-18,USC00032355,13,0.14,12.86,287.56,True
2005-09-18,USC00032475,0,0.55,-0.55,-12.34,True
2005-09-18,USC00034185,0,0.0,0.0,0.0,False
2005-09-18,USC00034548,0,0.0,0.0,0.0,False
2005-09-18,USC00034936,0,0.11,-0.11,-2.47,False
2005-09-18,USC00035866,0,1.44,-1.44,-32.24,True
2005-09-18,USC00085793,0,0.13,-0.13,-2.81,False
2005-09-18,USC00086999,0,0.07,-0.07,-1.56,False
2005-09-18,USC00160007,292,24.36,267.64,5986.34,True
2005-09-18,USC00160016,0,113.08,-113.08,-2529.39,True
2005-09-18,USC00160021,439,10.07,428.93,9594.0,True
2005-09-18,USC00160098,0,13.12,-13.12,-293.51,True
2005-09-18,USC00160103,0,12.95,-12.95,-289.71,True
2005-09-18,USC00160205,0,16.91,-16.91,-378.13,True
2005-09-18,USC00160238,0,17.74,-17.74,-396.79,True
2005-09-18,USC00160277,0,0.03,-0.03,-0.68,False
2005-09-18,USC00160349,0,0.0,0.0,0.0,False
2005-09-18,USC00160462,0,9.12,-9.12,-204.04,True
2005-09-18,USC00160537,0,0.4,-0.4,-8.85,True
2005-09-18,USC00160546,0,10.7,-10.7,-239.35,True
2005-09-18,USC00160548,0,17.49,-17.49,-391.11,True
2005-09-18,USC00160558,0,15.27,-15.27,-341.6,True
2005-09-18,USC00160565,0,24.62,-24.62,-550.65,True
2005-09-18,USC00160617,0,20.29,-20.29,-453.91,True
2005-09-18,USC00160718,0,0.0,0.0,0.0,False
2005-09-18,USC00160800,0,0.03,-0.03,-0.58,False
2005-09-18,USC00161200,0,0.0,0.0,0.0,False
2005-09-18,USC00161232,0,7.85,-7.85,-175.62,True
2005-09-18,USC00161235,0,8.03,-8.03,-179.66,True
2005-09-18,USC00161246,0,20.0,-20.0,-447.24,True
2005-09-18,USC00161287,0,26.09,-26.09,-583.61,True
2005-09-18,USC00161365,8,22.27,-14.27,-319.17,True
2005-09-18,USC00161411,0,0.07,-0.07,-1.51,False
2005-09-18,USC00161535,33,25.56,7.44,166.3,True
2005-09-18,USC00161565,0,22.12,-22.12,-494.69,True
2005-09-18,USC00161866,51,26.8,24.2,541.35,True
2005-09-18,USC00161899,0,12.06,-12.06,-269.78,True
2005-09-18,USC00161941,0,8.49,-8.49,-189.93,True
2005-09-18,USC00161979,0,4.37,-4.37,-97.7,True
2005-09-18,USC00162002,0,35.44,-35.44,-792.6,True
2005-09-18,USC00162121,0,0.0,0.0,0.0,False
2005-09-18,USC00162151,0,27.7,-27.7,-619.53,True
2005-09-18,USC00162212,0,31.92,-31.92,-713.96,True
2005-09-18,USC00162350,0,14.96,-14.96,-334.56,True
2005-09-18,USC00162367,0,0.89,-0.89,-19.83,True
2005-09-18,USC00162534,3,28.07,-25.07,-560.83,True
2005-09-18,USC00162536,175,17.36,157.64,3525.99,True
2005-09-18,USC00162641,0,1.11,-1.11,-24.93,True
2005-09-18,USC00162812,0,12.17,-12.17,-272.18,True
2005-09-18,USC00162981,0,28.5,-28.5,-637.42,True
2005-09-18,USC00163079,0,0.11,-0.11,-2.42,False
2005-09-18,USC00163165,0,27.72,-27.72,-620.11,True
2005-09-18,USC00163313,0,33.39,-33.39,-746.89,True
2005-09-18,USC00163322,0,19.48,-19.48,-435.61,True
2005-09-18,USC00163433,0,47.63,-47.63,-1065.28,True
2005-09-18,USC00163695,0,29.3,-29.3,-655.35,True
2005-09-18,USC00163800,8,38.19,-30.19,-675.25,True
2005-09-18,USC00163804,0,0.0,0.0,0.0,False
2005-09-18,USC00163867,0,11.14,-11.14,-249.14,True
2005-09-18,USC00163877,0,0.0,0.0,0.0,False
2005-09-18,USC00163979,0,4.83,-4.83,-108.0,True
2005-09-18,USC00164034,0,22.52,-22.52,-503.67,True
2005-09-18,USC00164050,0,0.0,0.0,0.0,False
2005-09-18,USC00164131,0,0.03,-0.03,-0.77,False
2005-09-18,USC00164288,0,0.0,0.0,0.0,False
2005-09-18,USC00164355,0,0.03,-0.03,-0.77,False
2005-09-18,USC00164398,0,0.0,0.0,0.0,False
2005-09-18,USC00164407,251,28.9,222.1,4967.8,True
2005-09-18,USC00164573,0,11.72,-11.72,-262.08,True
2005-09-18,USC00164592,0,0.0,0.0,0.0,False
2005-09-18,USC00164674,3,30.25,-27.25,-609.56,True
2005-09-18,USC00164696,0,21.61,-21.61,-483.41,True
2005-09-18,USC00164700,56,22.31,33.69,753.49,True
2005-09-18,USC00164732,0,0.03,-0.03,-0.63,False
2005-09-18,USC00164735,0,0.03,-0.03,-0.59,False
2005-09-18,USC00164739,38,32.63,5.37,120.2,True
2005-09-18,USC00164775,0,53.78,-53.78,-1203.01,True
2005-09-18,USC00164816,0,0.0,0.0,0.0,False
2005-09-18,USC00164859,13,13.32,-0.32,-7.09,True
2005-09-18,USC00164931,0,0.0,0.0,0.0,False
2005-09-18,USC00165021,0,30.13,-30.13,-673.95,True
2005-09-18,USC00165065,0,29.13,-29.13,-651.55,True
2005-09-18,USC00165072,0,1.77,-1.77,-39.57,True
2005-09-18,USC00165074,0,1.67,-1.67,-37.28,True
2005-09-18,USC00165076,0,1.92,-1.92,-42.94,True
2005-09-18,USC00165090,0,1.4,-1.4,-31.26,True
2005-09-18,USC00165146,0,56.78,-56.78,-1270.04,True
2005-09-18,USC00165266,0,0.0,0.0,0.0,False
2005-09-18,USC00165287,0,0.0,0.0,0.0,False
2005-09-18,USC00165296,165,46.63,118.37,2647.57,True
