ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
US1ALBW0045,30.488,-87.8002,SILVERHILL 5.0 SW,9.0,9.0,100.0,10.307204461290235,Coastal,High,9.0,9.0,100.0,10.307204461290235,Coastal,High
US1ALTS0003,33.0786,-87.4009,HOLT 11.4 SSE,9.0,9.0,100.0,314.85153801231365,Rural,High,9.0,9.0,100.0,314.85153801231365,Rural,High
US1LALF0010,29.702,-90.6262,RACELAND 2.1 WSW,9.0,9.0,100.0,48.48886226621616,Coastal,High,9.0,9.0,100.0,48.48886226621616,Coastal,High
US1LATR0015,29.635,-90.7405,HOUMA 4.4 NNW,9.0,9.0,100.0,44.20553446173633,Coastal,High,9.0,9.0,100.0,44.20553446173633,Coastal,High
US1MSHR0022,30.6592,-89.1297,SAUCIER 1.7 NNE,9.0,9.0,100.0,34.03225793391333,Coastal,High,9.0,9.0,100.0,34.03225793391333,Coastal,High
US1MSNW0005,32.5706,-89.1432,UNION 1.6 W,9.0,8.0,88.89,269.8441417198442,Rural,High,9.0,9.0,100.0,269.8441417198442,Rural,High
US1MSRN0013,32.3471,-89.9874,BRANDON 4.7 NNE,9.0,9.0,100.0,256.0643238705879,Rural,High,9.0,9.0,100.0,256.0643238705879,Rural,High
US1TXAR0007,28.0357,-97.0717,ROCKPORT 1.3 WSW,9.0,9.0,100.0,3.6725042604514853,Coastal,High,9.0,9.0,100.0,3.6725042604514853,Coastal,High
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE,9.0,9.0,100.0,144.19803419442832,Rural,High,9.0,9.0,100.0,144.19803419442832,Rural,High
US1TXBEL034,31.0684,-97.4561,BELTON 0.4 E,9.0,9.0,100.0,313.43579698415624,Rural,High,9.0,9.0,100.0,313.43579698415624,Rural,High
US1TXBEL113,31.0919,-97.4486,TEMPLE 5.1 W,9.0,9.0,100.0,316.12837795691485,Rural,High,9.0,9.0,100.0,316.12837795691485,Rural,High
US1TXBRT124,30.7061,-98.2713,BURNET 4.5 SSW,9.0,9.0,100.0,311.0056464398876,Rural,High,9.0,9.0,100.0,311.0056464398876,Rural,High
US1TXBST012,29.8608,-97.3942,ROSANKY 2.8 WNW,,,,,,,9.0,9.0,100.0,166.41035549634782,Rural,High
US1TXBST086,30.1685,-97.2498,BASTROP 5.1 NE,9.0,9.0,100.0,195.64771656227845,Rural,High,9.0,9.0,100.0,195.64771656227845,Rural,High
US1TXBST140,30.1153,-97.342,BASTROP 2.2 W,9.0,9.0,100.0,193.0793038004309,Rural,High,9.0,9.0,100.0,193.0793038004309,Rural,High
US1TXBST152,30.3702,-97.3113,ELGIN 3.9 ENE,9.0,9.0,100.0,222.4353389077176,Rural,High,9.0,9.0,100.0,222.4353389077176,Rural,High
US1TXBXR229,29.5178,-98.4388,TERRELL HILLS 2.8 N,9.0,9.0,100.0,222.63924903289612,Inland,High,9.0,9.0,100.0,222.63924903289612,Inland,High
US1TXCLL018,33.0539,-96.8371,PLANO 5.3 W,9.0,9.0,100.0,474.625524892424,Inland,High,9.0,9.0,100.0,474.625524892424,Inland,High
US1TXCLL030,33.3127,-96.5827,ANNA 3.7 SSW,9.0,9.0,100.0,495.6594292202478,Rural,High,9.0,9.0,100.0,495.6594292202478,Rural,High
US1TXCLL033,32.9921,-96.7397,RICHARDSON 2.2 NW,9.0,9.0,100.0,462.67958314694954,Inland,High,9.0,9.0,100.0,462.67958314694954,Inland,High
US1TXCML048,29.9454,-98.3706,CANYON LAKE 8.1 NW,9.0,9.0,100.0,246.47415643385585,Rural,High,9.0,9.0,100.0,246.47415643385585,Rural,High
US1TXCML092,29.6411,-98.3114,GARDEN RIDGE 1.2 WNW,9.0,9.0,100.0,218.3434998809859,Rural,High,9.0,9.0,100.0,218.3434998809859,Rural,High
US1TXCML219,29.7481,-98.2522,NEW BRAUNFELS 8.6 WNW,9.0,9.0,100.0,220.58071260254826,Rural,High,9.0,9.0,100.0,220.58071260254826,Rural,High
US1TXDA0001,32.7998,-96.7012,DALLAS 3.7 E,,,,,,,9.0,0.0,0.0,437.6879247007066,Inland,Low
US1TXDA0050,32.5996,-96.9537,CEDAR HILL 1.4 N,9.0,9.0,100.0,427.0073680431062,Inland,High,9.0,9.0,100.0,427.0073680431062,Inland,High
US1TXDA0052,32.7709,-96.6409,MESQUITE 2.4 W,9.0,9.0,100.0,431.42224308477176,Inland,High,9.0,9.0,100.0,431.42224308477176,Inland,High
US1TXDN0068,33.1562,-97.0345,SHADY SHORES 0.7 SE,9.0,9.0,100.0,496.3757224166036,Rural,High,9.0,9.0,100.0,496.3757224166036,Rural,High
US1TXDN0108,33.2339,-97.2932,PONDER 3.8 N,9.0,9.0,100.0,518.8699395699747,Rural,High,9.0,9.0,100.0,518.8699395699747,Rural,High
US1TXDN0109,33.1832,-97.2862,PONDER 0.3 NNE,9.0,9.0,100.0,512.5868746773405,Rural,High,9.0,9.0,100.0,512.5868746773405,Rural,High
US1TXDW0008,29.0423,-97.6523,YORKTOWN 9.8 WNW,9.0,9.0,100.0,118.35050444581788,Rural,High,9.0,9.0,100.0,118.35050444581788,Rural,High
US1TXEL0023,32.4225,-96.8108,WAXAHACHIE 2.6 ENE,9.0,9.0,100.0,398.82425477194505,Inland,High,9.0,9.0,100.0,398.82425477194505,Inland,High
US1TXGZ0010,29.4461,-97.425,GONZALES 4.5 SSE,9.0,9.0,100.0,125.51583646352344,Rural,High,9.0,9.0,100.0,125.51583646352344,Rural,High
US1TXHYS001,29.9632,-97.918,SAN MARCOS 5.8 N,,,,,,,9.0,9.0,100.0,211.45352595622919,Rural,High
US1TXHYS012,30.1066,-97.8539,BUDA 1.7 NNW,9.0,9.0,100.0,221.13329931262186,Rural,High,9.0,9.0,100.0,221.13329931262186,Rural,High
US1TXHYS292,30.0284,-98.0761,WIMBERLEY 2.9 NNE,9.0,9.0,100.0,229.56046800796534,Rural,High,9.0,9.0,100.0,229.56046800796534,Rural,High
US1TXJC0002,33.0402,-98.1207,PERRIN 3.0 ENE,9.0,9.0,100.0,548.5451985725036,Rural,High,9.0,9.0,100.0,548.5451985725036,Rural,High
US1TXJW0014,28.0304,-97.8932,SANDIA 1.0 NW,,,,,,,9.0,9.0,100.0,45.91908938352129,Coastal,High
US1TXLL0002,30.6936,-98.4098,KINGSLAND 3.3 NE,9.0,9.0,100.0,318.91556113511064,Rural,High,9.0,9.0,100.0,318.91556113511064,Rural,High
US1TXLO0009,28.3638,-98.1405,GEORGE WEST 2.7 NNW,9.0,9.0,100.0,92.67785923356142,Rural,High,9.0,9.0,100.0,92.67785923356142,Rural,High
US1TXLT0001,31.434,-96.3497,GROESBECK 12.4 ESE,,,,,,,9.0,9.0,100.0,261.35131918442124,Rural,High
US1TXMCL038,31.6166,-97.1403,WACO 4.1 NE,9.0,9.0,100.0,335.30464401954544,Inland,High,9.0,9.0,100.0,335.30464401954544,Inland,High
US1TXMTG001,28.9997,-95.9532,BAY CITY 1.6 NNE,,,,,,,9.0,0.0,0.0,37.10417027964193,Coastal,Low
US1TXNU0013,27.5861,-97.7908,BISHOP 0.4 ENE,9.0,9.0,100.0,14.877508014157907,Coastal,High,9.0,9.0,100.0,14.877508014157907,Coastal,High
US1TXNU0022,27.5914,-97.7847,BISHOP 0.9 ENE,,,,,,,9.0,9.0,100.0,15.472645493695126,Coastal,High
US1TXNV0005,32.067,-96.745,BLOOMING GROVE 2.4 SW,9.0,9.0,100.0,354.8505592586655,Rural,High,9.0,9.0,100.0,354.8505592586655,Rural,High
US1TXSM0028,32.2093,-95.3207,FLINT 1.7 ENE,9.0,9.0,100.0,320.4082121350038,Rural,High,9.0,9.0,100.0,320.4082121350038,Rural,High
US1TXTN0087,32.8757,-97.4798,EAGLE MOUNTAIN 2.4 WSW,9.0,8.0,88.89,488.87050162900647,Rural,High,9.0,9.0,100.0,488.87050162900647,Rural,High
US1TXTV0117,30.3721,-97.8134,AUSTIN 5.9 NW,9.0,9.0,100.0,246.8258856845684,Inland,High,9.0,9.0,100.0,246.8258856845684,Inland,High
US1TXTV0207,30.3419,-98.1322,DRIPPING SPRINGS 10.9 NNW,9.0,9.0,100.0,264.09328004406126,Rural,High,9.0,9.0,100.0,264.09328004406126,Rural,High
US1TXUP0001,32.6423,-94.8328,GILMER 9.0 SE,,,,,,,9.0,0.0,0.0,362.8425804548531,Rural,Low
US1TXVC0034,28.7423,-97.0268,VICTORIA 6.4 SSW,9.0,9.0,100.0,41.87897884972417,Coastal,High,9.0,9.0,100.0,41.87897884972417,Coastal,High
US1TXWL0009,29.8729,-96.003,BROOKSHIRE 6.9 NNW,9.0,9.0,100.0,106.51707151443605,Rural,High,9.0,9.0,100.0,106.51707151443605,Rural,High
USC00010140,32.2322,-87.4103,ALBERTA,9.0,0.0,0.0,206.70931938980385,Rural,Low,9.0,0.0,0.0,206.70931938980385,Rural,Low
USC00010178,33.1272,-88.155,ALICEVILLE,9.0,9.0,100.0,313.7769897858997,Rural,High,9.0,0.0,0.0,313.7769897858997,Rural,Low
USC00010184,33.2103,-88.2869,BEVILL L&D,9.0,0.0,0.0,325.7765852426762,Rural,Low,9.0,0.0,0.0,325.7765852426762,Rural,Low
USC00010402,31.1819,-87.4389,ATMORE,9.0,0.0,0.0,82.63383884233116,Rural,Low,9.0,0.0,0.0,82.63383884233116,Rural,Low
USC00010505,33.4528,-87.3572,BANKHEAD L&D,9.0,0.0,0.0,364.5874543823805,Rural,Low,9.0,0.0,0.0,364.5874543823805,Rural,Low
USC00010583,30.8839,-87.7853,BAY MINETTE,9.0,0.0,0.0,32.09659152819338,Coastal,Low,9.0,0.0,0.0,32.09659152819338,Coastal,Low
USC00010764,33.3936,-87.0067,BESSEMER 3 WSW,9.0,0.0,0.0,365.8166286405493,Inland,Low,9.0,0.0,0.0,365.8166286405493,Inland,Low
USC00011080,31.1414,-87.0486,BREWTON 3 ENE,9.0,0.0,0.0,69.30117726189543,Rural,Low,9.0,0.0,0.0,69.30117726189543,Rural,Low
USC00011084,31.0583,-87.055,BREWTON 3 SSE,9.0,0.0,0.0,58.533755390470574,Rural,Low,9.0,0.0,0.0,58.533755390470574,Rural,Low
USC00011143,33.2619,-87.3103,BROOKWOOD,9.0,0.0,0.0,340.8688679071498,Rural,Low,9.0,0.0,0.0,340.8688679071498,Rural,Low
USC00011189,32.0911,-88.2322,BUTLER,9.0,0.0,0.0,177.9711630380115,Rural,Low,9.0,9.0,100.0,177.9711630380115,Rural,High
USC00011566,31.4714,-88.2503,CHATOM,9.0,0.0,0.0,98.48909686955032,Rural,Low,9.0,0.0,0.0,98.48909686955032,Rural,Low
USC00011690,31.6147,-87.5003,CLAIBORNE L&D,9.0,0.0,0.0,128.00791907376382,Rural,Low,9.0,0.0,0.0,128.00791907376382,Rural,Low
USC00011803,30.3875,-88.2269,CODEN,9.0,0.0,0.0,1.03374429896269,Coastal,Low,9.0,0.0,0.0,1.03374429896269,Coastal,Low
USC00011810,31.7561,-88.1289,COFFEEVILLE L&D,9.0,0.0,0.0,133.06147650381328,Rural,Low,9.0,0.0,0.0,133.06147650381328,Rural,Low
USC00012172,30.2506,-88.0775,DAUPHIN IS #2,9.0,6.0,66.67,0.28542237525621217,Coastal,High,9.0,3.0,33.33,0.28542237525621217,Coastal,High
USC00012245,32.5194,-87.8794,DEMOPOLIS L&D,9.0,9.0,100.0,233.55747532177682,Rural,High,9.0,0.0,0.0,233.55747532177682,Rural,Low
USC00012813,30.5467,-87.8808,FAIRHOPE 2 NE,9.0,0.0,0.0,3.2786629017729028,Coastal,Low,9.0,0.0,0.0,3.2786629017729028,Coastal,Low
USC00013160,32.8347,-88.1342,GAINESVILLE LOCK,9.0,0.0,0.0,274.8969841444296,Rural,Low,9.0,0.0,0.0,274.8969841444296,Rural,Low
USC00013511,32.6922,-87.5761,GREENSBORO,9.0,0.0,0.0,260.73294127979614,Rural,Low,9.0,0.0,0.0,260.73294127979614,Rural,Low
USC00013930,33.2531,-87.4497,HOLT L&D,9.0,0.0,0.0,336.4780770925008,Rural,Low,9.0,0.0,0.0,336.4780770925008,Rural,Low
USC00014193,31.5253,-87.9278,JACKSON,9.0,0.0,0.0,103.05968723204867,Rural,Low,9.0,0.0,0.0,103.05968723204867,Rural,Low
USC00014798,32.5811,-88.1897,LIVINGSTON,9.0,0.0,0.0,241.75562595480878,Rural,Low,9.0,0.0,0.0,241.75562595480878,Rural,Low
USC00015112,32.7028,-87.2681,MARION 7 NE,9.0,0.0,0.0,270.62087393137745,Rural,Low,,,,,,
USC00015121,32.4717,-87.2308,MARION JUNCTION 2 NE,9.0,0.0,0.0,243.21268430367977,Rural,Low,9.0,0.0,0.0,243.21268430367977,Rural,Low
USC00015354,31.9306,-88.4586,MELVIN,9.0,9.0,100.0,162.62495079583914,Rural,High,9.0,9.0,100.0,162.62495079583914,Rural,High
USC00015420,32.1003,-87.3983,MILLERS FERRY L&D,9.0,0.0,0.0,190.8737357690127,Rural,Low,9.0,0.0,0.0,190.8737357690127,Rural,Low
USC00015658,32.9964,-87.6319,MOUNDVILLE,9.0,0.0,0.0,299.39563414407456,Rural,Low,9.0,2.0,22.22,299.39563414407456,Rural,High
USC00016362,32.6567,-87.0928,PERRYVILLE,9.0,0.0,0.0,268.05974927657167,Rural,Low,,,,,,
USC00016847,33.3739,-88.0053,REFORM,9.0,0.0,0.0,346.31894907510184,Rural,Low,9.0,0.0,0.0,346.31894907510184,Rural,Low
USC00016988,30.5653,-87.7017,ROBERTSDALE,9.0,0.0,0.0,22.842670793083904,Coastal,Low,9.0,0.0,0.0,22.842670793083904,Coastal,Low
USC00017366,32.4111,-87.0144,SELMA,9.0,0.0,0.0,235.54443854000073,Inland,Low,9.0,0.0,0.0,235.54443854000073,Inland,Low
USC00018178,31.9172,-87.7347,THOMASVILLE,9.0,0.0,0.0,157.17213982979536,Rural,Low,9.0,0.0,0.0,157.17213982979536,Rural,Low
USC00018380,33.2231,-87.61,TUSCALOOSA ACFD,9.0,0.0,0.0,329.55908297941875,Inland,Low,9.0,0.0,0.0,329.55908297941875,Inland,Low
USC00018385,33.2108,-87.5933,TUSCALOOSA OLIVER DAM,9.0,0.0,0.0,328.2093638301147,Inland,Low,9.0,0.0,0.0,328.2093638301147,Inland,Low
USC00018446,32.5506,-87.5308,UNIONTOWN,9.0,9.0,100.0,243.44607218666948,Rural,High,9.0,0.0,0.0,243.44607218666948,Rural,Low
USC00018637,31.21,-87.1789,WALLACE 2 E,9.0,0.0,0.0,79.94092189001144,Rural,Low,9.0,0.0,0.0,79.94092189001144,Rural,Low
USC00018673,32.7747,-87.8306,WARRIOR L&D,9.0,0.0,0.0,267.6297611326286,Rural,Low,9.0,0.0,0.0,267.6297611326286,Rural,Low
USC00018809,33.1186,-87.1264,W BLOCTON,9.0,0.0,0.0,327.9404827548775,Rural,Low,9.0,0.0,0.0,327.9404827548775,Rural,Low
USC00018867,31.6508,-87.7097,WHATLEY,9.0,7.0,77.78,123.91710691242946,Rural,High,9.0,0.0,0.0,123.91710691242946,Rural,Low
USC00031140,33.3053,-92.4867,CALION L&D,9.0,0.0,0.0,457.35798526706907,Rural,Low,9.0,0.0,0.0,457.35798526706907,Rural,Low
USC00031730,33.1111,-91.9481,CROSSETT 2 SSE,9.0,0.0,0.0,405.04342830814227,Rural,Low,9.0,0.0,0.0,405.04342830814227,Rural,Low
USC00032355,33.1144,-91.2628,EUDORA,9.0,0.0,0.0,375.34350964573315,Rural,Low,9.0,0.0,0.0,375.34350964573315,Rural,Low
USC00032475,33.0597,-92.1236,FELSENTHAL L&D,9.0,0.0,0.0,408.8082855686617,Rural,Low,9.0,0.0,0.0,408.8082855686617,Rural,Low
USC00033088,33.2278,-91.7939,HAMBURG,9.0,9.0,100.0,411.18005223947966,Rural,High,,,,,,
USC00034185,33.3614,-93.5675,LEWISVILLE,9.0,0.0,0.0,442.40937199621953,Rural,Low,9.0,0.0,0.0,442.40937199621953,Rural,Low
USC00034548,33.2586,-93.1822,MAGNOLIA,9.0,0.0,0.0,433.3442626488173,Rural,Low,9.0,0.0,0.0,433.3442626488173,Rural,Low
USC00034936,33.3008,-92.3494,MORO BAY SP,9.0,0.0,0.0,449.283851734909,Rural,Low,9.0,0.0,0.0,449.283851734909,Rural,Low
USC00035866,33.2511,-91.5058,PORTLAND,9.0,0.0,0.0,401.4899501693936,Rural,Low,9.0,0.0,0.0,401.4899501693936,Rural,Low
USC00085793,30.7794,-87.1414,MILTON EXP STN,9.0,0.0,0.0,25.079416198425957,Coastal,Low,9.0,2.0,22.22,25.079416198425957,Coastal,High
USC00086999,30.53,-87.1983,PENSACOLA 7 NNE,9.0,0.0,0.0,2.3597275003338285,Coastal,Low,9.0,0.0,0.0,2.3597275003338285,Coastal,Low
USC00160007,29.9689,-92.1169,ABBEVILLE,9.0,0.0,0.0,22.94680125116581,Coastal,Low,9.0,0.0,0.0,22.94680125116581,Coastal,Low
USC00160012,30.4586,-90.0975,ABITA RVR COVINGTON,9.0,0.0,0.0,10.513499591169312,Coastal,Low,9.0,9.0,100.0,10.513499591169312,Coastal,High
USC00160016,30.4714,-90.0436,ABITA SPRINGS 1 SW,9.0,0.0,0.0,13.882773252279536,Coastal,Low,9.0,0.0,0.0,13.882773252279536,Coastal,Low
USC00160021,30.4372,-90.0519,ABITA SPRINGS FIRE TWR,9.0,0.0,0.0,9.449367528083958,Coastal,Low,9.0,0.0,0.0,9.449367528083958,Coastal,Low
USC00160098,31.3206,-92.4611,ALEXANDRIA,9.0,0.0,0.0,199.6648322703654,Inland,Low,9.0,2.0,22.22,199.6648322703654,Inland,High
USC00160103,31.2483,-92.4486,ALEXANDRIA 5 SSE,9.0,0.0,0.0,190.21948933829208,Rural,Low,9.0,0.0,0.0,190.21948933829208,Rural,Low
USC00160205,30.7094,-90.525,AMITE,9.0,0.0,0.0,53.39162963178423,Rural,Low,9.0,0.0,0.0,53.39162963178423,Rural,Low
USC00160238,30.9644,-89.815,ANGIE,9.0,0.0,0.0,82.59995740099016,Rural,Low,9.0,0.0,0.0,82.59995740099016,Rural,Low
USC00160277,32.5511,-92.9186,ARCADIA,9.0,0.0,0.0,347.9978061787862,Rural,Low,9.0,0.0,0.0,347.9978061787862,Rural,Low
USC00160349,32.1292,-93.1164,ASHLAND,9.0,0.0,0.0,288.5328330980494,Rural,Low,9.0,0.0,0.0,288.5328330980494,Rural,Low
USC00160462,30.5669,-91.1633,BAKER,9.0,0.0,0.0,95.23671146876683,Inland,Low,9.0,0.0,0.0,95.23671146876683,Inland,Low
USC00160537,32.7314,-91.9144,BASTROP,9.0,0.0,0.0,359.52319979128197,Rural,Low,9.0,0.0,0.0,359.52319979128197,Rural,Low
USC00160540,30.8206,-91.6622,BATCHELOR,9.0,0.0,0.0,129.25324775052906,Rural,Low,9.0,9.0,100.0,129.25324775052906,Rural,High
USC00160546,30.5586,-91.0342,BATON ROUGE CNTRL,9.0,0.0,0.0,82.52854032858845,Rural,Low,9.0,0.0,0.0,82.52854032858845,Rural,Low
USC00160548,30.4192,-91.1303,BATON ROUGE CONCORD,9.0,0.0,0.0,83.57923952342647,Inland,Low,9.0,0.0,0.0,83.57923952342647,Inland,Low
USC00160558,30.4494,-91.0478,BATON ROUGE SHERWOOD,9.0,0.0,0.0,76.69092332281498,Inland,Low,9.0,0.0,0.0,76.69092332281498,Inland,Low
USC00160565,30.1328,-91.3228,BAYOU SORREL LOCK,9.0,0.0,0.0,61.23464290587877,Rural,Low,9.0,0.0,0.0,61.23464290587877,Rural,Low
USC00160617,30.7903,-92.4969,BEAVER FIRE TWR,9.0,0.0,0.0,136.10692418934894,Rural,Low,9.0,0.0,0.0,136.10692418934894,Rural,Low
USC00160658,29.9747,-93.0897,BELL CITY 13 SW,9.0,0.0,0.0,28.019047129585516,Coastal,Low,9.0,9.0,100.0,28.019047129585516,Coastal,High
USC00160718,32.6997,-93.6619,BENTON 5E,9.0,9.0,100.0,354.09435829731774,Rural,High,9.0,0.0,0.0,354.09435829731774,Rural,Low
USC00160800,32.3744,-92.9433,BIENVILLE 3 NE,9.0,0.0,0.0,324.8637382539439,Rural,Low,9.0,0.0,0.0,324.8637382539439,Rural,Low
USC00160945,30.7808,-89.8567,BOGALUSA,9.0,0.0,0.0,58.82550036740607,Rural,Low,9.0,9.0,100.0,58.82550036740607,Rural,High
USC00161200,32.5331,-93.71,BOSSIER CITY 2,9.0,0.0,0.0,331.86649301361984,Inland,Low,9.0,0.0,0.0,331.86649301361984,Inland,Low
USC00161232,31.395,-92.7167,BOYCE 3 WNW,9.0,0.0,0.0,216.5010104499898,Rural,Low,9.0,0.0,0.0,216.5010104499898,Rural,Low
USC00161235,31.3025,-92.73,BOYCE 7 SW,9.0,0.0,0.0,204.4226160422882,Rural,Low,9.0,0.0,0.0,204.4226160422882,Rural,Low
USC00161246,30.3919,-91.2711,BRUSLY 2 W,9.0,0.0,0.0,93.02576587576921,Rural,Low,9.0,0.0,0.0,93.02576587576921,Rural,Low
USC00161287,30.9594,-92.1786,BUNKIE,9.0,0.0,0.0,147.10375734741746,Rural,Low,9.0,2.0,22.22,147.10375734741746,Rural,High
USC00161292,29.3414,-89.5158,BURAS,9.0,0.0,0.0,6.530194618981482,Coastal,Low,9.0,9.0,100.0,6.530194618981482,Coastal,High
USC00161365,30.2817,-91.6911,BUTTE LA ROSE,9.0,0.0,0.0,60.49539154631083,Rural,Low,9.0,0.0,0.0,60.49539154631083,Rural,Low
USC00161411,32.5372,-92.3597,CALHOUN 2 N,9.0,0.0,0.0,354.53422030108715,Rural,Low,9.0,0.0,0.0,354.53422030108715,Rural,Low
USC00161535,30.32,-92.0444,CARENCRO,9.0,0.0,0.0,63.133060646427246,Rural,Low,9.0,0.0,0.0,63.133060646427246,Rural,Low
USC00161565,30.1981,-91.1256,CARVILLE 2 SW,9.0,0.0,0.0,76.23449691618431,Rural,Low,9.0,0.0,0.0,76.23449691618431,Rural,Low
USC00161639,29.9664,-89.9761,CHALMETTE,9.0,0.0,0.0,10.999894782776275,Coastal,Low,9.0,9.0,100.0,10.999894782776275,Coastal,High
USC00161866,31.7236,-91.5408,CLAYTON,9.0,0.0,0.0,227.06532162256815,Rural,Low,9.0,0.0,0.0,227.06532162256815,Rural,Low
USC00161891,30.8544,-91.0092,CLINTON FORESTRY HQ,9.0,9.0,100.0,104.93203764614704,Rural,High,9.0,9.0,100.0,104.93203764614704,Rural,High
USC00161899,30.8178,-90.9733,CLINTON 5 SE,9.0,0.0,0.0,98.86510008082422,Rural,Low,9.0,2.0,22.22,98.86510008082422,Rural,High
USC00161941,31.5183,-92.7142,COLFAX,9.0,0.0,0.0,231.49517920440385,Rural,Low,9.0,0.0,0.0,231.49517920440385,Rural,Low
USC00161979,32.1672,-92.1078,COLUMBIA LOCK,9.0,0.0,0.0,303.4767028853217,Rural,Low,9.0,0.0,0.0,303.4767028853217,Rural,Low
USC00162002,29.9953,-90.8178,CONVENT 2S,9.0,0.0,0.0,46.87818026535852,Coastal,Low,9.0,2.0,22.22,46.87818026535852,Coastal,High
USC00162121,32.8869,-93.4569,COTTON VALLEY 5 NNW,9.0,0.0,0.0,380.4703706340892,Rural,Low,9.0,0.0,0.0,380.4703706340892,Rural,Low
USC00162144,32.0075,-93.2694,COUSHATTA GRAND BAYOU,9.0,9.0,100.0,268.9557255344685,Rural,High,9.0,9.0,100.0,268.9557255344685,Rural,High
USC00162151,30.5269,-90.2147,COVINGTON 8 WNW,9.0,0.0,0.0,17.778968348618683,Coastal,Low,9.0,0.0,0.0,17.778968348618683,Coastal,Low
USC00162154,30.5131,-90.09,COVINGTON 3 NE,9.0,0.0,0.0,17.520716251173013,Coastal,Low,9.0,9.0,100.0,17.520716251173013,Coastal,High
USC00162212,30.2411,-92.3475,CROWLEY 2 NE,9.0,0.0,0.0,63.372152316175395,Rural,Low,9.0,0.0,0.0,63.372152316175395,Rural,Low
USC00162217,32.2428,-91.5889,CROWVILLE,9.0,9.0,100.0,285.6307377308825,Rural,High,9.0,9.0,100.0,285.6307377308825,Rural,High
USC00162350,30.4803,-90.9614,DENHAM SPRINGS,9.0,0.0,0.0,70.22659667543284,Rural,Low,9.0,0.0,0.0,70.22659667543284,Rural,Low
USC00162367,30.8428,-93.2869,DE RIDDER,9.0,0.0,0.0,123.83997728216812,Inland,Low,9.0,0.0,0.0,123.83997728216812,Inland,Low
USC00162534,30.0719,-91.0278,DONALDSONVILLE 4 SW,9.0,0.0,0.0,63.50694512996462,Rural,Low,9.0,0.0,0.0,63.50694512996462,Rural,Low
USC00162536,30.0992,-90.9269,DONALDSONVILLE 4E,9.0,0.0,0.0,55.2758311691144,Inland,Low,9.0,3.0,33.33,55.2758311691144,Inland,High
USC00162641,30.7414,-93.1389,DRY CREEK 8NW,9.0,0.0,0.0,120.90320257744008,Rural,Low,9.0,0.0,0.0,120.90320257744008,Rural,Low
USC00162812,31.1042,-92.705,ELMER 2 SW,9.0,0.0,0.0,179.93897269348588,Rural,Low,9.0,0.0,0.0,179.93897269348588,Rural,Low
USC00162981,30.4917,-92.4303,EUNICE,9.0,0.0,0.0,96.98830908523243,Rural,Low,9.0,0.0,0.0,96.98830908523243,Rural,Low
USC00163079,32.7736,-92.4086,FARMERVILLE,9.0,0.0,0.0,386.2183944916697,Rural,Low,9.0,1.0,11.11,386.2183944916697,Rural,High
USC00163165,30.5506,-90.1919,FOLSOM 6 S,9.0,0.0,0.0,20.639340354976525,Coastal,Low,9.0,0.0,0.0,20.639340354976525,Coastal,Low
USC00163313,29.8233,-91.5442,FRANKLIN 3 NW,9.0,0.0,0.0,14.742915019353404,Coastal,Low,9.0,0.0,0.0,14.742915019353404,Coastal,Low
USC00163322,30.8353,-90.1625,FRANKLINTON #2,9.0,0.0,0.0,57.571336742122085,Rural,Low,9.0,0.0,0.0,57.571336742122085,Rural,Low
USC00163331,30.7842,-90.2022,FRANKLINTON 5 SW,9.0,9.0,100.0,50.88984922377601,Rural,High,,,,,,
USC00163433,29.4631,-90.3072,GALLIANO,9.0,0.0,0.0,12.675864364330085,Coastal,Low,9.0,2.0,22.22,12.675864364330085,Coastal,High
