ID,LAT,LON,NAME
US1ALBW0045,30.488,-87.8002,SILVERHILL 5.0 SW
US1ALTS0003,33.0786,-87.4009,HOLT 11.4 SSE
US1LALF0010,29.702,-90.6262,RACELAND 2.1 WSW
US1LATR0015,29.635,-90.7405,HOUMA 4.4 NNW
US1MSHR0022,30.6592,-89.1297,SAUCIER 1.7 NNE
US1MSNW0005,32.5706,-89.1432,UNION 1.6 W
US1MSRN0013,32.3471,-89.9874,BRANDON 4.7 NNE
US1TXAR0007,28.0357,-97.0717,ROCKPORT 1.3 WSW
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE
US1TXBEL034,31.0684,-97.4561,BELTON 0.4 E
US1TXBEL113,31.0919,-97.4486,TEMPLE 5.1 W
US1TXBRT124,30.7061,-98.2713,BURNET 4.5 SSW
US1TXBST012,29.8608,-97.3942,ROSANKY 2.8 WNW
US1TXBST086,30.1685,-97.2498,BASTROP 5.1 NE
US1TXBST140,30.1153,-97.342,BASTROP 2.2 W
US1TXBST152,30.3702,-97.3113,ELGIN 3.9 ENE
US1TXBXR229,29.5178,-98.4388,TERRELL HILLS 2.8 N
US1TXCLL018,33.0539,-96.8371,PLANO 5.3 W
US1TXCLL030,33.3127,-96.5827,ANNA 3.7 SSW
US1TXCLL033,32.9921,-96.7397,RICHARDSON 2.2 NW
US1TXCML048,29.9454,-98.3706,CANYON LAKE 8.1 NW
US1TXCML092,29.6411,-98.3114,GARDEN RIDGE 1.2 WNW
US1TXCML219,29.7481,-98.2522,NEW BRAUNFELS 8.6 WNW
US1TXDA0001,32.7998,-96.7012,DALLAS 3.7 E
US1TXDA0050,32.5996,-96.9537,CEDAR HILL 1.4 N
US1TXDA0052,32.7709,-96.6409,MESQUITE 2.4 W
US1TXDN0068,33.1562,-97.0345,SHADY SHORES 0.7 SE
US1TXDN0108,33.2339,-97.2932,PONDER 3.8 N
US1TXDN0109,33.1832,-97.2862,PONDER 0.3 NNE
US1TXDW0008,29.0423,-97.6523,YORKTOWN 9.8 WNW
US1TXEL0023,32.4225,-96.8108,WAXAHACHIE 2.6 ENE
US1TXGZ0010,29.4461,-97.425,GONZALES 4.5 SSE
US1TXHYS001,29.9632,-97.918,SAN MARCOS 5.8 N
US1TXHYS012,30.1066,-97.8539,BUDA 1.7 NNW
US1TXHYS292,30.0284,-98.0761,WIMBERLEY 2.9 NNE
US1TXJC0002,33.0402,-98.1207,PERRIN 3.0 ENE
US1TXJW0014,28.0304,-97.8932,SANDIA 1.0 NW
US1TXLL0002,30.6936,-98.4098,KINGSLAND 3.3 NE
US1TXLO0009,28.3638,-98.1405,GEORGE WEST 2.7 NNW
US1TXLT0001,31.434,-96.3497,GROESBECK 12.4 ESE
US1TXMCL038,31.6166,-97.1403,WACO 4.1 NE
US1TXMTG001,28.9997,-95.9532,BAY CITY 1.6 NNE
US1TXNU0013,27.5861,-97.7908,BISHOP 0.4 ENE
US1TXNU0022,27.5914,-97.7847,BISHOP 0.9 ENE
US1TXNV0005,32.067,-96.745,BLOOMING GROVE 2.4 SW
US1TXSM0028,32.2093,-95.3207,FLINT 1.7 ENE
US1TXTN0087,32.8757,-97.4798,EAGLE MOUNTAIN 2.4 WSW
US1TXTV0117,30.3721,-97.8134,AUSTIN 5.9 NW
US1TXTV0207,30.3419,-98.1322,DRIPPING SPRINGS 10.9 NNW
US1TXUP0001,32.6423,-94.8328,GILMER 9.0 SE
US1TXVC0034,28.7423,-97.0268,VICTORIA 6.4 SSW
US1TXWL0009,29.8729,-96.003,BROOKSHIRE 6.9 NNW
USC00010140,32.2322,-87.4103,ALBERTA
USC00010178,33.1272,-88.155,ALICEVILLE
USC00010184,33.2103,-88.2869,BEVILL L&D
USC00010402,31.1819,-87.4389,ATMORE
USC00010505,33.4528,-87.3572,BANKHEAD L&D
USC00010583,30.8839,-87.7853,BAY MINETTE
USC00010764,33.3936,-87.0067,BESSEMER 3 WSW
USC00011080,31.1414,-87.0486,BREWTON 3 ENE
USC00011084,31.0583,-87.055,BREWTON 3 SSE
USC00011143,33.2619,-87.3103,BROOKWOOD
USC00011189,32.0911,-88.2322,BUTLER
USC00011566,31.4714,-88.2503,CHATOM
USC00011690,31.6147,-87.5003,CLAIBORNE L&D
USC00011803,30.3875,-88.2269,CODEN
USC00011810,31.7561,-88.1289,COFFEEVILLE L&D
USC00012172,30.2506,-88.0775,DAUPHIN IS #2
USC00012245,32.5194,-87.8794,DEMOPOLIS L&D
USC00012813,30.5467,-87.8808,FAIRHOPE 2 NE
USC00013160,32.8347,-88.1342,GAINESVILLE LOCK
USC00013511,32.6922,-87.5761,GREENSBORO
USC00013930,33.2531,-87.4497,HOLT L&D
USC00014193,31.5253,-87.9278,JACKSON
USC00014798,32.5811,-88.1897,LIVINGSTON
USC00015121,32.4717,-87.2308,MARION JUNCTION 2 NE
USC00015354,31.9306,-88.4586,MELVIN
USC00015420,32.1003,-87.3983,MILLERS FERRY L&D
USC00015658,32.9964,-87.6319,MOUNDVILLE
USC00016847,33.3739,-88.0053,REFORM
USC00016988,30.5653,-87.7017,ROBERTSDALE
USC00017366,32.4111,-87.0144,SELMA
USC00018178,31.9172,-87.7347,THOMASVILLE
USC00018380,33.2231,-87.61,TUSCALOOSA ACFD
USC00018385,33.2108,-87.5933,TUSCALOOSA OLIVER DAM
USC00018446,32.5506,-87.5308,UNIONTOWN
USC00018637,31.21,-87.1789,WALLACE 2 E
USC00018673,32.7747,-87.8306,WARRIOR L&D
USC00018809,33.1186,-87.1264,W BLOCTON
USC00018867,31.6508,-87.7097,WHATLEY
USC00031140,33.3053,-92.4867,CALION L&D
USC00031730,33.1111,-91.9481,CROSSETT 2 SSE
USC00032355,33.1144,-91.2628,EUDORA
USC00032475,33.0597,-92.1236,FELSENTHAL L&D
USC00034185,33.3614,-93.5675,LEWISVILLE
USC00034548,33.2586,-93.1822,MAGNOLIA
USC00034936,33.3008,-92.3494,MORO BAY SP
USC00035866,33.2511,-91.5058,PORTLAND
USC00085793,30.7794,-87.1414,MILTON EXP STN
USC00086999,30.53,-87.1983,PENSACOLA 7 NNE
USC00160007,29.9689,-92.1169,ABBEVILLE
USC00160012,30.4586,-90.0975,ABITA RVR COVINGTON
USC00160016,30.4714,-90.0436,ABITA SPRINGS 1 SW
USC00160021,30.4372,-90.0519,ABITA SPRINGS FIRE TWR
USC00160098,31.3206,-92.4611,ALEXANDRIA
USC00160103,31.2483,-92.4486,ALEXANDRIA 5 SSE
USC00160205,30.7094,-90.525,AMITE
USC00160238,30.9644,-89.815,ANGIE
USC00160277,32.5511,-92.9186,ARCADIA
USC00160349,32.1292,-93.1164,ASHLAND
USC00160462,30.5669,-91.1633,BAKER
USC00160537,32.7314,-91.9144,BASTROP
USC00160540,30.8206,-91.6622,BATCHELOR
USC00160546,30.5586,-91.0342,BATON ROUGE CNTRL
USC00160548,30.4192,-91.1303,BATON ROUGE CONCORD
USC00160558,30.4494,-91.0478,BATON ROUGE SHERWOOD
USC00160565,30.1328,-91.3228,BAYOU SORREL LOCK
USC00160617,30.7903,-92.4969,BEAVER FIRE TWR
USC00160658,29.9747,-93.0897,BELL CITY 13 SW
USC00160718,32.6997,-93.6619,BENTON 5E
USC00160800,32.3744,-92.9433,BIENVILLE 3 NE
USC00160945,30.7808,-89.8567,BOGALUSA
USC00161200,32.5331,-93.71,BOSSIER CITY 2
USC00161232,31.395,-92.7167,BOYCE 3 WNW
USC00161235,31.3025,-92.73,BOYCE 7 SW
USC00161246,30.3919,-91.2711,BRUSLY 2 W
USC00161287,30.9594,-92.1786,BUNKIE
USC00161292,29.3414,-89.5158,BURAS
USC00161365,30.2817,-91.6911,BUTTE LA ROSE
USC00161411,32.5372,-92.3597,CALHOUN 2 N
USC00161535,30.32,-92.0444,CARENCRO
USC00161565,30.1981,-91.1256,CARVILLE 2 SW
USC00161639,29.9664,-89.9761,CHALMETTE
USC00161866,31.7236,-91.5408,CLAYTON
USC00161891,30.8544,-91.0092,CLINTON FORESTRY HQ
USC00161899,30.8178,-90.9733,CLINTON 5 SE
USC00161941,31.5183,-92.7142,COLFAX
USC00161979,32.1672,-92.1078,COLUMBIA LOCK
USC00162002,29.9953,-90.8178,CONVENT 2S
