ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
USC00012172,30.2506,-88.0775,DAUPHIN IS #2,9,3,33.33
USC00015658,32.9964,-87.6319,MOUNDVILLE,9,2,22.22
USC00085793,30.7794,-87.1414,MILTON EXP STN,9,2,22.22
USC00160098,31.3206,-92.4611,ALEXANDRIA,9,2,22.22
USC00161287,30.9594,-92.1786,BUNKIE,9,2,22.22
USC00161899,30.8178,-90.9733,CLINTON 5 SE,9,2,22.22
USC00162002,29.9953,-90.8178,CONVENT 2S,9,2,22.22
USC00162536,30.0992,-90.9269,DONALDSONVILLE 4E,9,3,33.33
USC00163079,32.7736,-92.4086,FARMERVILLE,9,1,11.11
USC00163433,29.4631,-90.3072,GALLIANO,9,2,22.22
USC00163979,29.8894,-93.4022,HACKBERRY 8 SSW,9,5,55.56
USC00164030,30.5031,-90.3772,HAMMOND 5 E,9,1,11.11
USC00164131,32.9683,-93.1297,HAYNESVILLE,9,2,22.22
USC00164288,31.3747,-93.3911,HODGES GARDENS,9,2,22.22
USC00164573,30.8331,-91.1261,JACKSON 3E,9,3,33.33
USC00164674,29.9594,-91.7111,JEANERETTE 5 NW,9,2,22.22
USC00165021,30.2192,-92.065,LAFAYETTE,9,2,22.22
USC00165065,30.0206,-92.7681,LAKE ARTHUR 7 SW,9,3,33.33
USC00165072,30.3014,-93.2689,LAKE CHARLES 7 NW,9,2,22.22
USC00165074,30.2544,-93.2186,LAKE CHARLES 2 N,9,2,22.22
USC00165076,30.2142,-93.2494,LAKE CHARLES PORT,9,2,22.22
USC00165296,29.7869,-92.2083,LELAND BOWMAN LOCK,9,4,44.44
USC00165438,30.5197,-90.7544,LIVINGSTON,9,1,11.11
USC00165896,31.5119,-93.62,MANY 9 WSW,9,2,22.22
USC00166431,30.2944,-93.2083,MOSS BLUFF,9,2,22.22
USC00166561,29.9342,-91.0164,NAPOLEONVILLE,9,3,33.33
USC00166657,30.0292,-91.8844,NEW IBERIA AP - ACADIANA RGNL,9,2,22.22
USC00166836,30.8214,-92.6697,OAKDALE,9,2,22.22
USC00166968,30.2869,-93.1444,OLD TOWN BAY,9,2,22.22
USC00167448,30.4508,-91.2183,PORT ALLEN,9,2,22.22
USC00167732,31.1872,-92.2906,RED RIVER LOCK # 2,9,2,22.22
USC00167932,29.7286,-92.8181,ROCKEFELLER WL REFUGE,9,5,55.56
USC00168046,30.9461,-93.2789,ROSEPINE RSCH STN,9,2,22.22
USC00169369,30.695,-92.2664,VILLE PLATTE,9,1,11.11
USC00220521,30.3758,-89.5989,BAY ST LOUIS NASA,9,2,22.22
USC00229639,30.8528,-89.1369,WIGGINS,9,5,55.56
USC00229793,31.0931,-91.2325,WOODVILLE 4 ESE,9,3,33.33
USC00410235,29.7878,-94.6342,ANAHUAC,9,1,11.11
USC00410257,29.1572,-95.4592,ANGLETON 2 W,9,3,33.33
USC00410305,28.3081,-96.8047,ARANSAS WR,9,4,44.44
USC00410433,30.4144,-97.7664,AUSTIN GREAT HILLS,9,5,55.56
USC00410611,30.0969,-94.0997,BEAUMONT CITY,9,2,22.22
USC00411810,30.3636,-95.0839,CLEVELAND,9,3,33.33
USC00412114,31.3072,-95.4508,CROCKETT,9,3,33.33
USC00412444,31.8614,-95.2619,DIALVILLE 2 W,9,2,22.22
USC00413005,31.4625,-98.1619,EVANT 1SSW,9,2,22.22
USC00413941,32.6761,-94.5781,HARLETON,9,2,22.22
USC00414315,29.7283,-95.1306,HOUSTON DEER PARK,9,2,22.22
USC00414878,30.375,-94.2994,KOUNTZE,9,2,22.22
USC00415435,30.2503,-94.1783,LUMBERTON,9,2,22.22
USC00416024,30.3908,-95.6969,MONTGOMERY,9,1,11.11
USC00416270,33.4547,-94.4089,NEW BOSTON,9,2,22.22
USC00416335,31.9747,-95.1381,NEW SUMMERFIELD 2W,9,2,22.22
USC00416341,30.8331,-93.7369,NEWTON,9,2,22.22
USC00416664,30.0858,-93.7417,ORANGE,9,2,22.22
USC00416680,30.2267,-93.7389,ORANGE 9 N,9,2,22.22
USC00417040,31.2447,-93.9658,PINELAND,9,2,22.22
USC00417172,29.9044,-93.9708,PORT ARTHUR CITY,9,2,22.22
USC00417951,31.5192,-94.1186,SAN AUGUSTINE,9,2,22.22
USC00418311,30.3703,-94.2019,SILSBEE 4 N,9,2,22.22
USC00418728,29.6197,-95.6575,SUGAR LAND,9,1,11.11
USC00419101,30.7931,-94.1819,TOWN BLUFF DAM,9,2,22.22
USC00419491,30.3236,-96.1594,WASHINGTON SP,9,2,22.22
USC00419898,30.7678,-94.4117,WOODVILLE,9,2,22.22
USW00003866,32.55,-88.5667,MERIDIAN NAAS,9,1,11.11
USW00012923,29.2703,-94.8642,GALVESTON SCHOLES FLD,9,2,22.22
USW00012928,27.5089,-97.8042,KINGSVILLE NAAS,9,2,22.22
USW00012968,29.5589,-91.525,SALT PT,9,4,44.44
USW00012975,29.5192,-95.2422,HOUSTON CLOVER FLD,9,2,22.22
USW00013838,30.6147,-88.0631,MOBILE DWTN AP,9,2,22.22
USW00053915,30.0292,-91.8844,NEW IBERIA AP - ACADIANA RGNL,9,1,11.11
USW00053961,32.8833,-92.1164,MONROE 26 N,9,1,11.11
USW00093806,33.2122,-87.6156,TUSCALOOSA AP ASOS,9,1,11.11
USW00093841,30.7167,-87.0167,WHITING FLD NAS,9,1,11.11
