ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,12,12,100.0,49.947905553515994,Coastal
US1CTFR0003,41.1486,-73.4591,NEW CANAAN 1.9 ENE,12,12,100.0,10.880259230494257,Coastal
US1CTFR0005,41.1028,-73.4893,DARIEN 3.6 N,12,3,25.0,6.829166770947744,Coastal
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE,12,0,0.0,44.690849450824714,Coastal
US1CTFR0012,41.1306,-73.5961,STAMFORD 3.3 NW,12,12,100.0,15.790831356935145,Coastal
US1CTFR0016,41.4017,-73.481,DANBURY 0.5 W,12,12,100.0,45.112848707532734,Coastal
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,12,1,8.33,1.28468954153456,Coastal
US1CTFR0063,41.2113,-73.4693,WILTON 1.9 NW,12,12,100.0,19.21874781918093,Coastal
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE,12,1,8.33,90.2003683919364,Rural
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW,12,4,33.33,58.84688357900633,Inland
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,12,11,91.67,59.45973519375042,Rural
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE,12,0,0.0,107.64329650567493,Rural
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW,12,10,83.33,75.52052021234383,Rural
US1CTLT0003,41.921,-73.055,WINSTED 0.7 SE,12,12,100.0,93.11138799513824,Rural
US1CTLT0005,41.961,-73.09,WINSTED 2.6 NNW,12,12,100.0,99.72179013280123,Rural
US1CTMD0001,41.5779,-72.4866,EAST HAMPTON 0.6 NE,12,4,33.33,33.16303083211729,Coastal
US1CTMD0002,41.5709,-72.626,PORTLAND 0.9 S,12,3,25.0,40.04475676773766,Coastal
US1CTNH0003,41.35,-72.9391,HAMDEN 3.8 SW,12,12,100.0,7.400382544003881,Coastal
US1CTNH0006,41.5113,-73.0106,PROSPECT 1.8 NW,12,12,100.0,32.58706818910897,Coastal
US1CTNH0009,41.2057,-73.0138,MILFORD 2.9 ESE,12,0,0.0,0.151239478588046,Coastal
US1CTNH0013,41.3243,-72.9506,NEW HAVEN 1.7 NW,12,0,0.0,5.183173316913051,Coastal
US1CTNH0014,41.5124,-72.9437,PROSPECT 1.9 ENE,12,1,8.33,30.99331251226356,Coastal
US1CTNL0005,41.4752,-72.2055,OAKDALE 2.6 WNW,12,0,0.0,22.502928703993614,Coastal
US1CTTL0003,41.7621,-72.3164,COVENTRY LAKE 1.1 SE,12,12,100.0,59.45149218305585,Rural
US1CTTL0004,41.7414,-72.2174,MANSFIELD CENTER 1.9 SW,12,4,33.33,58.63817986840162,Inland
US1CTTL0005,41.9453,-72.3802,STAFFORD SPRINGS 3.7 W,12,9,75.0,86.28020358926558,Rural
US1CTWN0001,41.9252,-72.0924,WOODSTOCK VALLEY 1.4 SW,12,0,0.0,79.64463258873894,Rural
US1CTWN0003,41.8442,-72.0379,POMFRET CENTER 4.9 SW,12,11,91.67,70.36430244592246,Rural
US1MABE0002,42.1998,-73.3551,GREAT BARRINGTON 0.4 N,12,12,100.0,142.40273283506204,Rural
US1MABE0003,42.2898,-73.3195,STOCKBRIDGE .2 NNE,12,1,8.33,153.94250313911687,Rural
US1MABE0004,42.2591,-73.1321,BECKET 5.6 SSW,12,0,0.0,144.5495131147799,Rural
US1MABE0005,42.2529,-73.2313,TYRINGHAM 1.5 WNW,12,11,91.67,145.93786446026255,Rural
US1MAFR0012,42.4522,-72.5661,SUNDERLAND 1.3 SE,12,12,100.0,161.68726774005006,Rural
US1MAHD0007,42.1136,-72.53,SPRINGFIELD 0.5 ESE,12,3,25.0,112.5485739596762,Inland
US1MAHD0009,42.1098,-72.4581,WILBRAHAM 2.1 SSW,12,7,58.33,111.16748994822511,Rural
US1MAHD0056,42.2276,-72.6228,HOLYOKE 1.4 NE,12,12,100.0,131.16004029343543,Inland
US1MAHS0002,42.2794,-72.787,WESTHAMPTON 1.8 SW,12,1,8.33,143.3235322380535,Rural
US1MAWR0006,42.0842,-72.0225,SOUTHBRIDGE 0.6 E,12,8,66.67,80.71315673902916,Rural
US1NJAT0001,39.5483,-74.8671,BUENA VISTA TWP 2.6 NNE,12,1,8.33,42.891856541349824,Coastal
US1NJAT0002,39.5565,-74.8048,HAMILTON TWP 5.5 NW,12,1,8.33,40.301443741327205,Coastal
US1NJAT0005,39.6404,-74.8261,HAMMONTON 3.3 WSW,12,0,0.0,48.1602880406357,Coastal
US1NJAT0051,39.6429,-74.7895,HAMMONTON 1.5 SW,12,12,100.0,44.32697955544437,Coastal
US1NJBG0002,40.9027,-74.0834,SADDLE BROOK TWP 0.6 E,12,0,0.0,15.695399712972085,Coastal
US1NJBG0003,40.9147,-73.9775,TENAFLY 1.3 W,12,0,0.0,5.304760980995981,Coastal
US1NJBG0005,40.983,-74.0159,WESTWOOD 0.8 ESE,12,12,100.0,12.078481715501134,Coastal
US1NJBG0006,41.0586,-74.1341,RAMSEY 0.6 E,12,12,100.0,24.374765234419694,Coastal
US1NJBG0008,40.9071,-74.0934,SADDLE BROOK TWP 0.3 NNE,12,0,0.0,16.966250945699084,Coastal
US1NJBG0010,40.9915,-74.0123,RIVER VALE TWP 1.5 S,12,11,91.67,11.706318465362674,Coastal
US1NJBG0015,40.7915,-74.1398,NORTH ARLINGTON 0.7 WNW,12,0,0.0,11.237542697647312,Coastal
US1NJBG0017,40.9511,-74.1183,GLEN ROCK 0.7 SSE,12,0,0.0,21.861445947113303,Coastal
US1NJBG0018,40.8481,-74.0002,PALISADES PARK 0.2 WNW,12,3,25.0,3.9295639968622225,Coastal
US1NJBG0023,41.0191,-74.2334,OAKLAND 0.9 SSE,12,0,0.0,36.06943042390582,Coastal
US1NJBG0029,41.0328,-74.245,OAKLAND 0.2 WNW,12,1,8.33,37.09858994069328,Coastal
US1NJBG0030,41.0253,-74.2236,OAKLAND 1.0 ESE,12,0,0.0,34.87294509420773,Coastal
US1NJBG0031,40.9628,-73.96,DEMAREST 0.6 NNW,12,12,100.0,5.460465635822615,Coastal
US1NJBG0033,40.8536,-74.0943,WOOD RIDGE 0.6 NNW,12,0,0.0,13.760813424814073,Coastal
US1NJBT0003,40.0786,-74.8209,BURLINGTON 1.7 E,12,1,8.33,24.31401328870209,Coastal
US1NJBT0004,39.9684,-74.8648,MOUNT LAUREL TWP 2.5 ENE,12,0,0.0,18.99738505594572,Coastal
US1NJBT0005,39.8315,-74.8083,MEDFORD TWP 2.4 SSE,12,0,0.0,34.10588527043926,Coastal
US1NJBT0006,39.9716,-74.9343,MOORESTOWN TWP 0.6 SE,12,0,0.0,11.873875066567463,Coastal
US1NJBT0007,40.1146,-74.6393,CHESTERFIELD TWP 0.4 ESE,12,2,16.67,45.105093612090585,Coastal
US1NJBT0010,39.9164,-74.5788,PEMBERTON TWP 3.0 SSE,12,7,58.33,48.415457982039975,Coastal
US1NJBT0011,40.0672,-74.8223,BURLINGTON TWP 0.9 ENE,12,12,100.0,23.598002210918892,Coastal
US1NJBT0018,39.8596,-74.8537,MEDFORD TWP 1.7 W,12,0,0.0,28.107380353158327,Coastal
US1NJBT0019,39.9368,-74.9084,MOUNT LAUREL TWP 0.8 SSW,12,12,100.0,17.256622192429877,Coastal
US1NJBT0022,39.9407,-74.7456,SOUTHAMPTON TWP 2.4 NW,12,7,58.33,32.836856921667575,Coastal
US1NJBT0023,40.0085,-74.908,MOORESTOWN TWP 2.7 NE,12,5,41.67,12.917261433622272,Coastal
US1NJBT0025,39.821,-74.5383,WOODLAND TWP 1.8 SW,12,0,0.0,39.795569691933196,Coastal
US1NJBT0027,39.9448,-74.9128,MOUNT LAUREL TWP 0.5 WSW,12,0,0.0,16.124733559386787,Coastal
US1NJBT0028,39.8572,-74.817,MEDFORD LAKES 0.6 W,12,0,0.0,32.149728749216614,Coastal
US1NJBT0029,39.854,-74.6807,TABERNACLE TWP 2.7 NNW,12,0,0.0,44.857435566440124,Coastal
US1NJBT0032,39.8378,-74.7467,TABERNACLE TWP 5.0 WNW,12,0,0.0,40.267820201034546,Coastal
US1NJBT0035,39.9321,-74.7736,SOUTHAMPTON TWP 3.2 WNW,12,0,0.0,30.398147498147303,Coastal
US1NJBT0036,39.8594,-74.7971,MEDFORD LAKES 0.4 ENE,12,8,66.67,33.86962750734307,Coastal
US1NJBT0037,39.9664,-74.8293,HAINESPORT TWP 0.8 SSE,12,1,8.33,22.811280420601364,Coastal
US1NJBT0040,39.9071,-74.717,SOUTHAMPTON TWP 0.5 S,12,12,100.0,37.63457301139795,Coastal
US1NJBT0041,39.9296,-74.8779,MOUNT LAUREL TWP 1.9 SE,12,12,100.0,20.53402921769342,Coastal
