ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,12,7,58.33
US1CTFR0003,41.1486,-73.4591,NEW CANAAN 1.9 ENE,12,12,100.0
US1CTFR0005,41.1028,-73.4893,DARIEN 3.6 N,12,12,100.0
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE,12,0,0.0
US1CTFR0012,41.1306,-73.5961,STAMFORD 3.3 NW,12,12,100.0
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,12,3,25.0
US1CTFR0063,41.2113,-73.4693,WILTON 1.9 NW,12,12,100.0
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE,12,0,0.0
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW,12,0,0.0
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,12,11,91.67
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE,12,0,0.0
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW,12,2,16.67
US1CTHR0011,41.7302,-72.7401,WEST HARTFORD 2.7 SSE,12,12,100.0
US1CTHR0012,41.6228,-72.4765,MARLBOROUGH 1.7 W,12,11,91.67
US1CTLT0003,41.921,-73.055,WINSTED 0.7 SE,12,11,91.67
US1CTLT0005,41.961,-73.09,WINSTED 2.6 NNW,12,12,100.0
US1CTLT0007,41.7744,-73.169,LITCHFIELD 2.3 NNE,12,3,25.0
US1CTMD0001,41.5779,-72.4866,EAST HAMPTON 0.6 NE,12,9,75.0
US1CTMD0002,41.5709,-72.626,PORTLAND 0.9 S,12,0,0.0
US1CTMD0005,41.2965,-72.4413,WESTBROOK CENTER 1.1 N,12,2,16.67
US1CTNH0009,41.2057,-73.0138,MILFORD 2.9 ESE,12,7,58.33
US1CTNH0013,41.3243,-72.9506,NEW HAVEN 1.7 NW,12,0,0.0
US1CTNH0014,41.5124,-72.9437,PROSPECT 1.9 ENE,12,0,0.0
US1CTNH0015,41.363,-73.128,SEYMOUR 3.6 SW,12,5,41.67
US1CTNL0005,41.4752,-72.2055,OAKDALE 2.6 WNW,12,11,91.67
US1CTTL0004,41.7414,-72.2174,MANSFIELD CENTER 1.9 SW,12,8,66.67
