ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,12.0,12.0,100.0,0.0,Coastal,High,12.0,7.0,58.33,0.0,Coastal,High
US1CTFR0003,41.1486,-73.4591,NEW CANAAN 1.9 ENE,12.0,12.0,100.0,0.0,Coastal,High,12.0,12.0,100.0,0.0,Coastal,High
US1CTFR0005,41.1028,-73.4893,DARIEN 3.6 N,12.0,3.0,25.0,0.0,Coastal,High,12.0,12.0,100.0,0.0,Coastal,High
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE,12.0,0.0,0.0,1.2591867138231896,Coastal,Low,12.0,0.0,0.0,1.2591867138231896,Coastal,Low
US1CTFR0012,41.1306,-73.5961,STAMFORD 3.3 NW,12.0,12.0,100.0,1.1677609030426466,Coastal,High,12.0,12.0,100.0,1.1677609030426466,Coastal,High
US1CTFR0016,41.4017,-73.481,DANBURY 0.5 W,12.0,12.0,100.0,0.0,Coastal,High,,,,,,
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,12.0,1.0,8.33,0.5561186362934997,Coastal,Low,12.0,3.0,25.0,0.5561186362934997,Coastal,High
US1CTFR0063,41.2113,-73.4693,WILTON 1.9 NW,12.0,12.0,100.0,3.663010232182178,Coastal,High,12.0,12.0,100.0,3.663010232182178,Coastal,High
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE,12.0,1.0,8.33,1.7998164119780848,Coastal,Low,12.0,0.0,0.0,1.7998164119780848,Coastal,Low
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW,12.0,4.0,33.33,0.0,Coastal,High,12.0,0.0,0.0,0.0,Coastal,Low
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,12.0,11.0,91.67,1.3009013619350571,Coastal,High,12.0,11.0,91.67,1.3009013619350571,Coastal,High
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE,12.0,0.0,0.0,12.531369269065069,Coastal,Low,12.0,0.0,0.0,12.531369269065069,Coastal,Low
