ID,LAT,LON,NAME
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW
US1CTHR0012,41.6228,-72.4765,MARLBOROUGH 1.7 W
US1CTLT0003,41.921,-73.055,WINSTED 0.7 SE
US1CTLT0007,41.7744,-73.169,LITCHFIELD 2.3 NNE
US1CTMD0001,41.5779,-72.4866,EAST HAMPTON 0.6 NE
US1CTMD0002,41.5709,-72.626,PORTLAND 0.9 S
US1CTMD0005,41.2965,-72.4413,WESTBROOK CENTER 1.1 N
US1CTNH0009,41.2057,-73.0138,MILFORD 2.9 ESE
US1CTNH0013,41.3243,-72.9506,NEW HAVEN 1.7 NW
US1CTNH0014,41.5124,-72.9437,PROSPECT 1.9 ENE
US1CTNH0015,41.363,-73.128,SEYMOUR 3.6 SW
US1CTNL0005,41.4752,-72.2055,OAKDALE 2.6 WNW
US1CTTL0004,41.7414,-72.2174,MANSFIELD CENTER 1.9 SW
US1CTWN0003,41.8442,-72.0379,POMFRET CENTER 4.9 SW
US1MABE0003,42.2898,-73.3195,STOCKBRIDGE .2 NNE
US1MABE0004,42.2591,-73.1321,BECKET 5.6 SSW
US1MABE0005,42.2529,-73.2313,TYRINGHAM 1.5 WNW
US1MAHD0009,42.1098,-72.4581,WILBRAHAM 2.1 SSW
US1MAHS0002,42.2794,-72.787,WESTHAMPTON 1.8 SW
US1MAWR0006,42.0842,-72.0225,SOUTHBRIDGE 0.6 E
US1MAWR0118,42.0528,-72.1269,STURBRIDGE 4.6 SW
US1NJAT0001,39.5483,-74.8671,BUENA VISTA TWP 2.6 NNE
US1NJAT0002,39.5565,-74.8048,HAMILTON TWP 5.5 NW
US1NJAT0005,39.6404,-74.8261,HAMMONTON 3.3 WSW
US1NJBG0002,40.9027,-74.0834,SADDLE BROOK TWP 0.6 E
US1NJBG0003,40.9147,-73.9775,TENAFLY 1.3 W
US1NJBG0010,40.9915,-74.0123,RIVER VALE TWP 1.5 S
US1NJBG0015,40.7915,-74.1398,NORTH ARLINGTON 0.7 WNW
US1NJBG0017,40.9511,-74.1183,GLEN ROCK 0.7 SSE
US1NJBG0018,40.8481,-74.0002,PALISADES PARK 0.2 WNW
US1NJBG0023,41.0191,-74.2334,OAKLAND 0.9 SSE
