ID,LAT,LON,NAME,Total Days,Missing Days,Missing %
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,12,7,58.33
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,12,3,25.0
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,12,11,91.67
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW,12,2,16.67
US1CTHR0012,41.6228,-72.4765,MARLBOROUGH 1.7 W,12,11,91.67
US1CTLT0003,41.921,-73.055,WINSTED 0.7 SE,12,11,91.67
US1CTLT0007,41.7744,-73.169,LITCHFIELD 2.3 NNE,12,3,25.0
US1CTMD0001,41.5779,-72.4866,EAST HAMPTON 0.6 NE,12,9,75.0
US1CTMD0005,41.2965,-72.4413,WESTBROOK CENTER 1.1 N,12,2,16.67
US1CTNH0009,41.2057,-73.0138,MILFORD 2.9 ESE,12,7,58.33
US1CTNH0015,41.363,-73.128,SEYMOUR 3.6 SW,12,5,41.67
US1CTNL0005,41.4752,-72.2055,OAKDALE 2.6 WNW,12,11,91.67
US1CTTL0004,41.7414,-72.2174,MANSFIELD CENTER 1.9 SW,12,8,66.67
US1CTWN0003,41.8442,-72.0379,POMFRET CENTER 4.9 SW,12,11,91.67
US1MABE0004,42.2591,-73.1321,BECKET 5.6 SSW,12,10,83.33
US1MABE0005,42.2529,-73.2313,TYRINGHAM 1.5 WNW,12,10,83.33
US1MAHS0002,42.2794,-72.787,WESTHAMPTON 1.8 SW,12,1,8.33
US1MAWR0006,42.0842,-72.0225,SOUTHBRIDGE 0.6 E,12,9,75.0
US1NJAT0002,39.5565,-74.8048,HAMILTON TWP 5.5 NW,12,4,33.33
US1NJBG0002,40.9027,-74.0834,SADDLE BROOK TWP 0.6 E,12,5,41.67
US1NJBG0010,40.9915,-74.0123,RIVER VALE TWP 1.5 S,12,11,91.67
US1NJBG0033,40.8536,-74.0943,WOOD RIDGE 0.6 NNW,12,5,41.67
