feature,importance,held_out_event
pressure_neighbor_div,0.442445622142531,Sandy
wind_speed_neighbor_div,0.14305779707627317,Sandy
wind_speed_rollstd_12h,0.12051995936102541,Sandy
pressure_rollstd_12h,0.0790224391405305,Sandy
wind_speed_stuck_run,0.06741748764291093,Sandy
pressure_rollstd_3h,0.02966549213832238,Sandy
wind_speed_rollstd_6h,0.025252979020233487,Sandy
pressure_rollstd_6h,0.02359114843789019,Sandy
wind_speed_rollstd_3h,0.020728895363903342,Sandy
pressure_diff1h,0.020065351328743288,Sandy
wind_speed_diff1h,0.018636896491828137,Sandy
pressure_stuck_run,0.009595931855808102,Sandy
hours_since_valid,0.0,Sandy
pressure_neighbor_div,0.2952656748093758,Ian
pressure_rollstd_12h,0.1433348784156575,Ian
wind_speed_rollstd_12h,0.13735123167621263,Ian
pressure_diff1h,0.10739687351871102,Ian
wind_speed_neighbor_div,0.10382962501413663,Ian
wind_speed_stuck_run,0.10197535990138182,Ian
pressure_rollstd_6h,0.02768653360126095,Ian
pressure_stuck_run,0.023693352939335072,Ian
wind_speed_rollstd_6h,0.02145942764817627,Ian
wind_speed_rollstd_3h,0.018441194868999942,Ian
pressure_rollstd_3h,0.010934165729762099,Ian
wind_speed_diff1h,0.008631681876990269,Ian
hours_since_valid,0.0,Ian
pressure_neighbor_div,0.2585212092679757,Harvey
wind_speed_stuck_run,0.15605472280368962,Harvey
wind_speed_rollstd_12h,0.14013378742986643,Harvey
pressure_rollstd_12h,0.13291017861773938,Harvey
wind_speed_neighbor_div,0.10878718609034137,Harvey
pressure_diff1h,0.09836467074054064,Harvey
pressure_rollstd_6h,0.03439551800937539,Harvey
wind_speed_rollstd_3h,0.02665573968086388,Harvey
wind_speed_rollstd_6h,0.021425048909920565,Harvey
wind_speed_diff1h,0.008717411802999038,Harvey
pressure_rollstd_3h,0.007698589345798277,Harvey
pressure_stuck_run,0.006335937300889594,Harvey
hours_since_valid,0.0,Harvey
pressure_neighbor_div,0.2630789387206156,Rita
wind_speed_rollstd_12h,0.14315040788777053,Rita
pressure_diff1h,0.1420805516520866,Rita
wind_speed_stuck_run,0.11346897755352538,Rita
pressure_rollstd_12h,0.11249282388123333,Rita
wind_speed_neighbor_div,0.11099265085641624,Rita
pressure_rollstd_6h,0.03843244818432297,Rita
pressure_rollstd_3h,0.02059352892885813,Rita
wind_speed_rollstd_3h,0.01968823512855881,Rita
wind_speed_rollstd_6h,0.016210906006986475,Rita
wind_speed_diff1h,0.014493591803820849,Rita
pressure_stuck_run,0.005316939395805028,Rita
hours_since_valid,0.0,Rita
pressure_neighbor_div,0.31727489487596794,Michael
wind_speed_rollstd_12h,0.14251834456592158,Michael
pressure_diff1h,0.13691882745732628,Michael
pressure_rollstd_12h,0.11713626297157563,Michael
wind_speed_stuck_run,0.10235394806423369,Michael
wind_speed_neighbor_div,0.08764500887026508,Michael
pressure_rollstd_6h,0.04827141975979078,Michael
pressure_rollstd_3h,0.012310727358169415,Michael
wind_speed_rollstd_6h,0.011373751855257916,Michael
wind_speed_diff1h,0.011207532257758002,Michael
wind_speed_rollstd_3h,0.0091083767610736,Michael
pressure_stuck_run,0.0038809052026601166,Michael
hours_since_valid,0.0,Michael
